wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
China Continental Team of Gansu Bank,https://en.wikipedia.org/wiki/China_Continental_Team_of_Gansu_Bank,,,2012,,,,,,,,,,,,,,,,
BOC Aviation,https://en.wikipedia.org/wiki/BOC_Aviation,,,1996 (29 years ago) (1996) in Singapore,,"79 Robinson Road, #15-01, Downtown Core, Singapore",Aircraft leasing,,,,,,Bank of China,,,,,,SEHK: 2588,www.bocaviation.com
Gulf Air,https://en.wikipedia.org/wiki/Gulf_Air,,,24 March 1950; 75 years ago (1950-03-24)(as Gulf Aviation),,"Muharraq, Bahrain",,Khalid Hussain Taqi (Chairman)Martin Gauss (Group CEO),,,,,,,,,,,,www.gulfair.com
Just Group plc,https://en.wikipedia.org/wiki/Just_Group_plc,,Public limited company,2004; 21 years ago (2004),,"Enterprise House, Bancroft Road, Reigate, United Kingdom",Financial services,John Hastings-Bass(Chairman)David Richardson (CEO),£80 million (2024),,£113 million (2024),,,,"£1,809 million (2024)",Just Retirement,,,LSE: JUSTFTSE 250 component,www.justgroupplc.co.uk
HSBC,https://en.wikipedia.org/wiki/HSBC,Worldwide,Public,"First established on 3 March 1865; 160 years ago (1865-03-03) in British Hong Kong (as The Hongkong and Shanghai Bank)First incorporated on 14 August 1866; 159 years ago (1866-08-14) (as The Hongkong and Shanghai Banking Corporation)25 March 1991; 34 years ago (1991-03-25) in London (as HSBC Holdings plc, as parent holding company to the entity in Hong Kong now as a subsidiary)",Sir Thomas Sutherland,"8 Canada Square, London, England, United Kingdom",Financial services,Brendan Nelson(Group Chairman)Georges Elhedery(Group Chief Executive),US$24.999 billion (2024),"221,000 (2025)",US$32.309 billion (2024),,,Asset managementBankingCommoditiesCredit cardsEquities tradingInsuranceInvestment managementMortgage loansPrivate equityWealth management,US$62.440 billion (2024),Subsidiaries Hang Seng BankHSBC Bank AustraliaHSBC Bank BermudaHSBC Bank IndiaHSBC Bank Hong KongHSBC TrinkausHSBC Bank MalaysiaHSBC MéxicoHSBC Bank Middle EastHSBC Sri LankaHSBC Bank USAHSBC FinanceHSBC UKM&S Financial ServicesHSBC Innovation Bank Limited,US$3.017 trillion (2024),US$192.273 billion (2024),LSE: HSBA SEHK: 5 NYSE: HSBC BSX: HSBC.BH FTSE 100 component (HSBA) Hang Seng component (5),hsbc.com
Halyk Bank,https://en.wikipedia.org/wiki/Halyk_Bank,"Kazakhstan, Kyrgyzstan, Georgia, Russia, Tajikistan, Uzbekistan",Joint Stock Company,1923,,"Almaty, Kazakhstan","Banking, Financial services",Alexander Pavlov (Chairman)Umut Shayakhmetova (Chairperson of the Management Board),352.6 billion tenge (2020),"13,452 (2020)",,,,,380.2 billion tenge (2020),Halyk Bank KyrgyzstanHalyk Bank GeorgiaMoskommertsbankKazkommertsbank TajikistanTenge Bank,"12,1 trillion tenge (2022)","1,493.2 billion tenge (2020)",KASE: HSBKLSE: HSBK,halykbank.kz
Liontrust Asset Management,https://en.wikipedia.org/wiki/Liontrust_Asset_Management,,Public limited company,2 August 1994; 31 years ago (1994-08-02),,"London, England",Investment management,Luke Savage(Chairman)John Ions(Chief Executive),£(3.5) million (2024),,£(1.8) million (2024),,,Asset Management services,£197.9 million (2024),,,,LSE: LIOFTSE 250 Component,liontrust.co.uk
Allianz Technology Trust,https://en.wikipedia.org/wiki/Allianz_Technology_Trust,Worldwide,Public company,18 October 1995; 30 years ago (1995-10-18),,,Investment Management,,,,,,,,,,,,LSE: ATTFTSE 250 component,allianztechnologytrust.com
RIT Capital Partners,https://en.wikipedia.org/wiki/RIT_Capital_Partners,,Public limited company,1961,"Jacob Rothschild, 4th Baron Rothschild","Spencer House, London, UK",,Sir James Leigh-Pemberton (Chairman) Andrew Jones (Chief Operating Officer),,78,,,,,,,,,LSE: RCPFTSE 250 component,www.ritcap.com
Blue Planet Software,https://en.wikipedia.org/wiki/Blue_Planet_Software,Worldwide,,"Bullet-Proof Software Inc. August 10, 1983; 42 years ago (1983-08-10) in Kōhoku-ku, Kanagawa, Japan Blue Planet Software Inc. 1996; 29 years ago (1996)Honolulu, Hawaii, United States",Henk Rogers,,Video games,Henk RogersMaya Rogers,,,,,,Video games,,,,,,
Hang Seng Bank,https://en.wikipedia.org/wiki/Hang_Seng_Bank,,Public (subsidiary),3 March 1933; 92 years ago (1933-03-03),"Lam Bing Yim, Ho Sin Hang, Leung Chik Wai, Ho Tim, and Ho, Lian Shen","Hang Seng Bank Headquarters Building, Central, Hong Kong",Finance and insurance,Edward Cheng (chairman)Luanne Lim (vice-chairman and CEO),HKD 24.8 billion (2019),"over 9,680",HKD 28.6 billion (2019),,HSBC Group (63.04%),Financial services,,,"HKD 1,677.0 billion (2019)",,SEHK: 11Hang Seng Index component,hangseng.com
Huatai Securities,https://en.wikipedia.org/wiki/Huatai_Securities,,Public,9 April 1991; 34 years ago (1991-04-09),,"No. 228 Middle Jiangdong Road, Nanjing, Jiangsu, People's Republic of China",Financial services,Wei Zhang (Chairman)Yi Zhou (CEO),CN¥12.98 billion (FY 2021),"14,372 (FY 2021)",,,,,CN¥51.92 billion (FY 2021),Huatai InternationalChina Southern Asset Management,CN¥806.65 billion (FY 2021),CN¥152.04 billion (FY 2021),SSE: 601688 (A share)SEHK: 6886 (H share)LSE: HTSC (GDR),www.htsc.com.cn
JPMorgan Russian Securities,https://en.wikipedia.org/wiki/JPMorgan_Russian_Securities,,Public company,2002; 23 years ago (2002),,"25 Bank Street, Canary Wharf, London, England",Investment trust,Eric Sanderson (Chairman),,,,,,,,,,,LSE: JII,
Federal Bank,https://en.wikipedia.org/wiki/Federal_Bank,,Public,"23 April 1931; 94 years ago (1931-04-23)(as Travancore Federal Bank) at Nedumpuram, Thiruvalla2 December 1949; 76 years ago (1949-12-02)(as Federal Bank)",K. P. Hormis,"Aluva, Kochi, Kerala, India",BankingFinancial services,KVS Manian (MD & CEO),"₹4,051.89 crore (US$480 million)(FY25)","15,545","₹6,101.13 crore (US$720 million) (FY25)",,,Retail BankingWholesale BankingFinance and InsuranceMortgage loansWealth managementInvestment bankingCredit cardsDebit cards,,,"₹349,004.80 crore (US$41 billion)(FY25)",,NSE: FEDERALBNKBSE: 500469LSE: FEDS,federal.bank.in
Guaranty Bank & Trust,https://en.wikipedia.org/wiki/Guaranty_Bank_%26_Trust,Texas,Public company,"January 1913; 112 years ago (January 1913) in Mount Pleasant, Texas",,"Addison, Texas, United States",,"Ty Abston (President, CEO, and Chairman of the Board)",,412 (2016),,,Glacier Bancorp,,,,US$ 3.2 billion (December 2023),,NYSE: GNTYRussell 2000 Component,gnty.com
Myanmar Investment Commission,https://en.wikipedia.org/wiki/Myanmar_Investment_Commission,,,,,"No.1, Thitsar Road, Yankin Township, Yangon",,,,,,,,,,,,,,www.dica.gov.mm
JPMorgan Emerging Markets Investment Trust,https://en.wikipedia.org/wiki/JPMorgan_Emerging_Markets_Investment_Trust,,Public company,1991; 34 years ago (1991),,"25 Bank Street, Canary Wharf, London, England",Investment trust,Aidan Lisser (Chairman),,,,,,,,,,,LSE: JMGFTSE 250 Index component,
Minerva University,https://en.wikipedia.org/wiki/Minerva_University,,Private university,,Ben Nelson,,,,,,,,,,,,,,,www.minerva.edu
Non-Standard Finance plc,https://en.wikipedia.org/wiki/Non-Standard_Finance_plc,,Public,2015 (2015),,"London, UK",Financial services,John van Kuffeler (chairman),£1.3 million,,£3.9 million,,,,£31.3 million,,,,LSE: NSF,www.nonstandardfinance.com
Bank of Cyprus,https://en.wikipedia.org/wiki/Bank_of_Cyprus,Cyprus,Public company,1899,,"Strovolos, Cyprus","Banking, financial services",Takis Arapoglou (Chairman) Panicos Nicolaou (CEO),€71 mn (2024),"2,847 (2023)",€199 mn (2024),,,"Retail and business banking, Credit cards, mortgage loans, corporate banking, factoring, insurance, brokerage, private banking, wealth management, Investment management, investment banking",€1.096 billion (2024),Genikes InsuranceEuroLife (Cyprus),€26.486 billion (2024),"€2,101 mn (2024)",CSE: BOCY ATHEX: BOCHGR,bankofcyprus.com.cy
Resources Global Professionals,https://en.wikipedia.org/wiki/Resources_Global_Professionals,,Public,"Irvine, California (1996)",,"Dallas, Texas",,"Donald B. Murray, Founder and Chairman; Kate Duchene, Chief Executive Officer & President",,,,,"Resources Connection, Inc.",,,,,,Nasdaq: RGP,RGP.com
Allied Bank Limited,https://en.wikipedia.org/wiki/Allied_Bank_Limited,,Public,"3 December 1942; 83 years ago (1942-12-03)Lahore, Pakistan as ""Australasia Bank""",,"Lahore, Pakistan",Banking,Mohammad Naeem Mukhtar (chairman) Aizid Razzaq Gill (CEO),Rs. 43.11 billion (US$150 million) (2024),"12,058 (2024)",Rs. 87.92 billion (US$300 million) (2024),,Ibrahim Group,Financial services,Rs. 404.74 billion (US$1.4 billion) (2024),,Rs. 2.81 trillion (US$9.7 billion) (2024),Rs. 233.90 billion (US$810 million) (2024),PSX: ABL KSE 100 component,www.abl.com
Diamond Bank,https://en.wikipedia.org/wiki/Diamond_Bank,Nigeria United Kingdom,Formerly Public limited company,20 December 1990,Pascal Dozie,"Victoria Island, Lagos, Lagos State, Nigeria",Finance,Uzoma Dozie (CEO),,,,,,,:Pretax: ₦28 billion (US$175 million) (FY:2012),,₦1.7 trillion (US$7.3 billion) (December 2012),,NGX: DIAMONDBNK,diamondbank.com
Admiral Group,https://en.wikipedia.org/wiki/Admiral_Group,,Public,1991; 34 years ago (1991),,"Cardiff, Wales, UK",Insurance,Annette Court (Chairperson)Milena Mondini de Focatiis (CEO),£662.9 million (2024),,£865.7 million (2024),,,,"£4,776.2 million (2024)",,,,LSE: ADMFTSE 100 Component,admiralgroup.co.uk
The General (insurance),https://en.wikipedia.org/wiki/The_General_(insurance),United States,Subsidiary,1963; 62 years ago (1963),,"Nashville, Tennessee, United States",Insurance,Tiku Raval,,"1,300",,,Sentry Insurance,Non-Standard Auto insurance,,,,,,thegeneral.com
Bank of East Asia,https://en.wikipedia.org/wiki/Bank_of_East_Asia,,Public,Incorporated on 14 November 1918; 107 years ago (1918-11-14)Officially opened on 4 January 1919; 106 years ago (1919-01-04),,"10 Des Voeux Road Central, Central, Hong Kong",Finance,Sir David K.P. Li (Executive Chairman)Adrian M.K. Li (Co-Chief Executive Officer)Brian M.B. Li (Co-Chief Executive Officer),HKD6.5 billion (2018),,HKD17.1 billion (2018),,,Financial servicesconsumer bankingcorporate bankinginvestment bankingprivate banking,,,HKD839 billion (2018),,SEHK: 23,hkbea.com
Hansa Records,https://en.wikipedia.org/wiki/Hansa_Records,,,1962,,,,,,,,,,,,,,,,
Curtis Banks,https://en.wikipedia.org/wiki/Curtis_Banks,,Public limited company,2009; 16 years ago (2009),Rupert CurtisChris Banks,,,Jane Ridgley (COO)Dan Cowland (CFO),,600,,Nucleus Financial Platforms (2023–present),,,GBP£63.3 million (2021)GBP£53.9 million (2020),,,,,curtisbanks.co.uk
Edinburgh Festival Fringe,https://en.wikipedia.org/wiki/Edinburgh_Festival_Fringe,,,1947; 78 years ago (1947),,,,,,,,,,,,,,,,edfringe.com
Aberforth Smaller Companies Trust,https://en.wikipedia.org/wiki/Aberforth_Smaller_Companies_Trust,,Public,30 July 1990; 35 years ago (1990-07-30),,,Investment trust,,,,,,,,,,,,LSE: ASLFTSE 250 Component,Official Webpage
Quilter plc,https://en.wikipedia.org/wiki/Quilter_plc,,Public limited company,2018,,"London, England",Wealth management,Ruth Markland(Chair)Steven Levin(CEO),£(34) million (2024),"3,000 (2025)",£35 million (2024),,,Asset management Wealth Management Life insuranceSavings and investment,"£5,449 million (2024)",,£62.448 billion (2024),£1.423 billion (2024),LSE: QLTFTSE 250 component JSE: QLT,www.quilter.com
State Bank of India,https://en.wikipedia.org/wiki/State_Bank_of_India,India,Public,1 July 1955; 70 years ago (1955-07-01) State Bank of India 27 January 1921 (1921-01-27) Imperial Bank of India 2 June 1806 (1806-06-02) Bank of Calcutta 15 April 1840 (1840-04-15) Bank of Bombay 1 July 1843 (1843-07-01) Bank of Madras,,"State Bank Bhavan, M.C. Road, Nariman Point, Mumbai, Maharashtra, India","Banking, financial services",C. Sreenivasulu Setty (chairman)Kameshwar Rao Kodavanti (CFO),₹709.1 billion (US$8.4 billion) (2025),"2,36,221",₹1.10 trillion (US$13 billion) (2025),Government of India (55.50%),,Retail bankingCorporate bankingInvestment bankingMortgage loansPrivate bankingWealth managementAsset managementInvestment managementCredit cardsInsurance,₹5.24 trillion (US$62 billion) (2025),SBI Life Insurance LtdSBI Mutual Fund (63%)SBI Cards and Payment Services Ltd (68.63%)SBI General Insurance (69.11%),₹66.76 trillion (US$790 billion) (2025),₹4.86 trillion (US$57 billion) (2025),NSE: SBINBSE: 500112LSE: SBIDBSE SENSEX constituentNSE NIFTY 50 constituent,sbi.bank.inretail.sbi.bank.in
Begbies Traynor,https://en.wikipedia.org/wiki/Begbies_Traynor,,Public,1989,,"340 DeansgateManchester, United Kingdom",Professional services,,,,,,,,,,,,AIM: BEG,www.begbies-traynorgroup.com
Polar Capital Global Financials Trust,https://en.wikipedia.org/wiki/Polar_Capital_Global_Financials_Trust,,Public,,,"London, UK",Investment,Simon Corderey (Chairperson),,,,,,,,,,,LSE: PCFT,www.polarcapitalglobalfinancialstrust.com
Reinsurance Group of America,https://en.wikipedia.org/wiki/Reinsurance_Group_of_America,,Public,1973 (1973),,"Chesterfield, Missouri, United States",Reinsurance,Tony Cheng (CEO),$717 million (2024*),4000 (2023),,,Reinsurance Group of America,"Life reinsurance, living benefits reinsurance, health reinsurance, underwriting, financial solutions","$22.1 billion (2024*) *As of December 31, 2024",,$118.7 billion (2024*),,NYSE: RGAS&P 400 Component,www.rgare.com
Tianjin Bohai Bank women's volleyball team,https://en.wikipedia.org/wiki/Tianjin_Bohai_Bank_women%27s_volleyball_team,,,1993,,,,,,,,Bohai Bank,,,,,,,,
Close Brothers Group,https://en.wikipedia.org/wiki/Close_Brothers_Group,,Public,1878; 147 years ago (1878),William Brooks Close,"London, EC2United Kingdom",Financial services,Mike Biggs (chairman)Mike Morgan (CEO),£100.4 million (2024),"3,000 (2025)",£142.0 million (2024),,,Merchant bankingSecuritiesWealth management,£944.2 million (2024),,,,LSE: CBGFTSE 250 component,www.closebrothers.com
Baillie Gifford,https://en.wikipedia.org/wiki/Baillie_Gifford,,Private,1908; 117 years ago (1908),Augustus BaillieCarlyle Gifford,"Edinburgh, Scotland, UK",Investment management,"Andrew Telfer, Senior Partner",,"1,640 (2025)",,,,,,,,,,bailliegifford.com
Zenith Bank,https://en.wikipedia.org/wiki/Zenith_Bank,"Ghana, Nigeria, Sierra Leone, South Africa, UK, UAE",Public limited company,1990; 35 years ago (1990),Jim Ovia,"Zenith Heights, Plot 83, Ajose Adeogun street, Victoria Island, Lagos, Nigeria",Finance,Adaora Umeoji (CEO),,,,,Zenith Bank,,$854m (2019),,"$21,667bn (2021)",,NGX: ZENITHBANK LSE: ZENB,www.zenithbank.com
OTP Bank (Moldova),https://en.wikipedia.org/wiki/OTP_Bank_(Moldova),Moldova,Private,1990,,"Chișinău, Republic of Moldova",Financial services,Bogdan Spuză (CEO),,,,OTP Bank Nyrt.,,"Retail, private, investment and corporate banking; insurance; investment management",,,,,,www.otpbank.md
Trian Partners,https://en.wikipedia.org/wiki/Trian_Partners,,Private,2005; 20 years ago (2005),Nelson PeltzPeter W. MayEd Garden,"New York City, United States",Investment management,Nelson Peltz (CEO)Peter W. May (President),,50 (2023),,,,,,,,,,trianpartners.com
Ecclesiastical Insurance,https://en.wikipedia.org/wiki/Ecclesiastical_Insurance,,,1887,Dean Herbert Gregory and John Duncan,"Benefact House, Pioneer Avenue, Gloucester, UK",Financial Services,Mark Hews (CEO),,"6 (2018, 2019)",,Benefact Trust (previously known as Allchurches Trust),Benefact Group,Church InsuranceCharity InsuranceHeritage InsuranceEducation Insurance,"32,610,000 pound sterling (2017)",,,,,ecclesiastical.com
Caledonia Investments,https://en.wikipedia.org/wiki/Caledonia_Investments,,Public,,,"London, England, UK",Investment trust,,,,,,,,,,,,LSE: CLDNFTSE 250 component,caledonia.com
Prudential plc,https://en.wikipedia.org/wiki/Prudential_plc,Worldwide,Public,"1848; 177 years ago (1848), in London",,"London, England, UKHong Kong, China",InsuranceAsset management,Shriti Vadera(chair)Anil Wadhwani(CEO),$2.415 billion (2024),"15,000 (2024)",$2.953 billion (2024),,,,$10.358 billion (2024),Eastspring InvestmentsICICI Prudential Life InsuranceICICI Prudential Mutual Fund,$181.876 billion (2024),$18.674 billion (2024),LSE: PRUNYSE: PUKSEHK: 2378FTSE 100 Component,prudentialplc.com
BMO Bank,https://en.wikipedia.org/wiki/BMO_Bank,,Subsidiary,1882; 143 years ago (1882),Norman Wait Harris,"Chicago, Illinois, U.S.",BankingInvestment bankingFinancial services,Darryl White (CEO—BMO Financial Group) Darrel Hackett (US CEO),,"55,767 (FTE, 2023)",,"Harris Bankcorp, Inc. (1972–1984) Bank of Montreal (through BMO Financial Group; 1984–present)",Bankmont Financial Corporation (1984–2004) Harris Financial Corporation (2004–2011) BMO Financial Corporation (2011–present),"Consumer banking, corporate banking, private banking, financial analysis, insurance, investment banking, mortgage loans, private equity, wealth management, credit cards",,,,,,www.bmo.com
True Religion,https://en.wikipedia.org/wiki/True_Religion,Worldwide,Private,2002; 23 years ago (2002),Kym GoldJeff Lubell,"Gardena, California, U.S.","Designer jeans, clothing",Michael Buckley CEO,,,,,,,,,,,,www.truereligion.com
Public Financial Management Group,https://en.wikipedia.org/wiki/Public_Financial_Management_Group,,,1975,,Philadelphia,,,,,,,,,,,,,,
Beazley plc,https://en.wikipedia.org/wiki/Beazley_plc,,Public,1986; 39 years ago (1986),,"London, England, UK",Insurance,Clive Bannister (chair)Adrian Cox (CEO),"$1,130.3 million (2024)",,"$1,462.8 million (2024)",,,"Life, accident & health, marine, political risks & contingency, property, reinsurance, professional liability, management liability, environmental liability","$5,678.1 million (2024)",,,,LSE: BEZFTSE 100 component,beazley.com
Imperium Renewables,https://en.wikipedia.org/wiki/Imperium_Renewables,,,,,,,,,,,,,,,,,,,
Ping An Insurance,https://en.wikipedia.org/wiki/Ping_An_Insurance,Worldwide,Public,1988; 37 years ago (1988),Ma Mingzhe,"Shenzhen, China",Financial services,"(chairman), Xie Yonglin (president & Co-CEO), Michael Guo (Co-CEO and Senior Vice President)","CN¥126,607 Million (2024)","Approx. 273,053","CN¥1,028,925 Million (2024)",,,,"CN¥1,141,346 Million (2024)",,"CN¥12,957,827 Million (2024)","CN¥1,304,712 Million (2024)",SSE: 601318 (A share)SEHK: 2318 (H share)SEHK: 82318 (Yuan share)CSI A50Hang Seng Index component,https://group.pingan.com
TCS (logistics company),https://en.wikipedia.org/wiki/TCS_(logistics_company),Worldwide,Private,May 1983; 42 years ago (1983-05),Khalid Nawaz Awan Sadiq Awan,"Karachi, Pakistan",Logistics,Moin Ahmed Malik (CEO),,"12,000+",,,,,PKR 30.7 billion (2021),,,,,tcsexpress.com
Nationwide Building Society,https://en.wikipedia.org/wiki/Nationwide_Building_Society,,"Building society, (mutual)",1884; 141 years ago (1884),,"Swindon, England, UK",Banking and financial services,Kevin Parry (Chairman)Debbie Crosbie (CEO),£2.11 billion (2025),"17,680 (2024)",£3.30 billion (2025),,,Retail banking savings mortgages investments insurance current accounts loans credit cards,£7.48 billion (2025),"Virgin Money UK, The Mortgage Works",£367.9 billion (2025),£19.7 billion (2025),,nationwide.co.uk
City of London Corporation,https://en.wikipedia.org/wiki/City_of_London_Corporation,,Local authority of the City of London,,,,,,,,,,,,,,,,,
National Bank of Egypt,https://en.wikipedia.org/wiki/National_Bank_of_Egypt,,Government-owned corporation,"June 25, 1898 (1898-06-25)",,"Cairo, Egypt",Banking and financial services,,$ 4.061 billion (2019),,,,,,,,$ 84.77 billion (2019),,,www.nbe.com.eg
Arbuthnot Latham,https://en.wikipedia.org/wiki/Arbuthnot_Latham,,Limited company,13 May 1833 (re-founded August 1994),,"London, England",Financial services,Sir Nigel Boardman(Chairman)Sir Henry Angest(President)Andrew Salmon(CEO),£16.5 million (2022),,£137.4 million (2022),,Arbuthnot Banking Group plc,Private bankingCommercial bankingWealth managementInvestment management,£120 million (2022),Renaissance Asset Finance,,,AIM: ARBB FTSE AIM All-Share Component,www.arbuthnotlatham.co.uk
List of mergers and acquisitions by Alphabet,https://en.wikipedia.org/wiki/List_of_mergers_and_acquisitions_by_Alphabet,,,,,,,,,,,,,,,,,,,
Janus Henderson,https://en.wikipedia.org/wiki/Janus_Henderson,,Public,May 2017; 8 years ago (2017-05),,"City of London, England, UK(Jersey domiciled)",Investment management,John Cassaday (chairman)Ali Dibadj (CEO),US$409 million (2024),"2,300 (2024)",US$646 million (2024),Trian Partners (20%),,,US$2.47 billion (2024),Janus Capital GroupJanus Capital Management LLCHenderson Global Investors Limited,US$6.96 billion (2024),US$4.72 billion (2024),NYSE: JHG S&P 400 component,janushenderson.com
AJ Bell,https://en.wikipedia.org/wiki/AJ_Bell,,Public limited company,"1995 (1995) in Manchester, United Kingdom",Andrew James BellNicholas Littlefair,"Salford, United Kingdom, M5 3EE",Financial services,Fiona Clutterbuck (Chairman)Michael Summersgill (Chief Executive),£84.3 million (2024),"1,421 (2024)",£107.3 million (2024),,,SIPPISASSAS,£269.4 million (2024),,£288.9 million (2024),£204.0 million (2024),LSE: AJBFTSE 250 component,ajbell.co.uk
JPMorgan Global Growth & Income,https://en.wikipedia.org/wiki/JPMorgan_Global_Growth_%26_Income,,Public company,1887; 138 years ago (1887),,"25 Bank Street, Canary Wharf, London, England",Investment trust,James Macpherson (Chairman),,,,,,,,,,,LSE: JGGIFTSE 250 Index component,
Standard Chartered,https://en.wikipedia.org/wiki/Standard_Chartered,Worldwide,Public,"As Chartered Bank of India, Australia, and China on 29 December 1853; 171 years ago (1853-12-29)As Standard Chartered on 18 November 1969; 56 years ago (1969-11-18)",James Wilson with a royal charter (for the Chartered Bank line),"1 Basinghall Avenue, London, England, UK",Financial services,Maria Ramos (group chair)Bill Winters (group chief executive)Diego De Giorgi (group chief financial officer),US$4.042 billion (2024),"83,000 (2025)",US$6.014 billion (2024),Temasek Holdings (17%),,Asset managementBankingCommoditiesCredit cardsEquities tradingInsuranceInvestment managementMortgage loansMutual fundsExchange-traded fundsIndex fundsPrivate equityRisk managementWealth management,US$19.543 billion (2024),,US$849.688 billion (2024),US$51.284 billion (2024),LSE: STAN SEHK: 2888 FTSE 100 component (STAN),sc.com
Harbin Bank,https://en.wikipedia.org/wiki/Harbin_Bank,,public,1997,,"Harbin, China",Financial services,,,,,,,,,,,,unlisted (A share)SEHK: 6138 (H share),www.hrbb.com.cn
Bank of Credit and Commerce International,https://en.wikipedia.org/wiki/Bank_of_Credit_and_Commerce_International,Worldwide,Private,1972; 53 years ago (1972),Agha Hasan Abedi,Karachi & London,Banking,Agha Hasan Abedi (chairman) Swaleh Naqvi (CEO),,,,Sheikh Zayed (77%),,Financial services,,,,,,
CVC Capital Partners,https://en.wikipedia.org/wiki/CVC_Capital_Partners,,Public,1981; 44 years ago (1981),Rolly van Rappard,"St Helier, Jersey",Private equity,Rob Lucas (Chief Executive and Managing Partner)Rolly van Rappard (co-chair),,c. 850 (2023),,,,Private equityCreditSecondariesInfrastructure,,,,,Euronext Amsterdam: CVC,cvc.com
Schroder AsiaPacific Fund,https://en.wikipedia.org/wiki/Schroder_AsiaPacific_Fund,,Public company,1995; 30 years ago (1995),,"London, United Kingdom",Investment,,,,,,,Investment fund,,,,,LSE: SDPFTSE 250 constituent,www.schroders.com/en-gb/uk/individual/funds-and-strategies/investment-trusts/schroder-asiapacific-fund-plc/
