Source,Company Name,ICB Industry,Admission Date,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd),wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
London,INDEPENDENT INVESTMENT TRUST PLC,Financials,2000-10-18 0:00,United Kingdom,Europe,MAIN MARKET,No,245.33,,,,,,,,Joint venture,https://en.wikipedia.org/wiki/Joint_venture,,,,,,,,,,,,,,,,,,,
London,SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED,Financials,2015-3-3 0:00,Guernsey,Europe,MAIN MARKET,No,1732.55,,,,,,,,Sequoia Economic Infrastructure Income Fund,https://en.wikipedia.org/wiki/Sequoia_Economic_Infrastructure_Income_Fund,,Public,2015; 10 years ago (2015),,"Saint Peter Port, Guernsey",,James Stewart (chair),,,,,,,,,,,LSE: SEQIFTSE 250 component,www.seqifund.com
Hong Kong,"Bank of Gansu Co., Ltd.",Financials,,,,,,,2139.0,Current,HAU Pak Sun,Independent Non Executive Director,,2023-10-16,,Bank of East Asia,https://en.wikipedia.org/wiki/Bank_of_East_Asia,,Public,Incorporated on 14 November 1918; 107 years ago (1918-11-14)Officially opened on 4 January 1919; 106 years ago (1919-01-04),,"10 Des Voeux Road Central, Central, Hong Kong",Finance,Sir David K.P. Li (Executive Chairman)Adrian M.K. Li (Co-Chief Executive Officer)Brian M.B. Li (Co-Chief Executive Officer),HKD6.5 billion (2018),,HKD17.1 billion (2018),,,Financial servicesconsumer bankingcorporate bankinginvestment bankingprivate banking,,,HKD839 billion (2018),,SEHK: 23,hkbea.com
Hong Kong,BOC Hong Kong (Holdings) Limited,Financials,,,,,,,2388.0,Current,CAI Zhao,Non Executive Director,,2025-08-04,,HKR International,https://en.wikipedia.org/wiki/HKR_International,,Public,"May 25, 1973; 52 years ago (1973-05-25) in Hong Kong",Dr. Cha Chi Ming,"23/F, China Merchants Tower Shun Tak Centre, 168 Connaught Road, Central, Hong Kong",Conglomerate,,,,,,,,,,,,SEHK: 480,http://www.hkri.com/
London,GULF INVESTMENT FUND PLC,Financials,2007-7-31 0:00,United Kingdom,Europe,MAIN MARKET,No,91.53,,,,,,,,Dream Market,https://en.wikipedia.org/wiki/Dream_Market,,,,,,,,,,,SpeedStepper,,,,,,,,
London,JUST GROUP PLC,Financials,2013-11-12 0:00,United Kingdom,Europe,MAIN MARKET,No,435.78,,,,,,,,SenseTime,https://en.wikipedia.org/wiki/SenseTime,"Computer vision, deep learning, face recognition, object detection, autonomous driving, smart cities, mobile apps, fintech, education",Public; partly state-owned,October 2014; 11 years ago (October 2014),Tang Xiao'ou Xu Li,"Science Park, Hong Kong",Artificial intelligence,,,"3,000 (2019)",,,China Internet Investment Fund,,,,,,SEHK: 20,www.sensetime.com
London,HSBC HOLDINGS PLC,Financials,1991-4-8 0:00,United Kingdom,Europe,MAIN MARKET,No,66102.97,,,,,,,,HSBC,https://en.wikipedia.org/wiki/HSBC,Worldwide,Public,"First established on 3 March 1865; 160 years ago (1865-03-03) in British Hong Kong (as The Hongkong and Shanghai Bank)First incorporated on 14 August 1866; 159 years ago (1866-08-14) (as The Hongkong and Shanghai Banking Corporation)25 March 1991; 34 years ago (1991-03-25) in London (as HSBC Holdings plc, as parent holding company to the entity in Hong Kong now as a subsidiary)",Sir Thomas Sutherland,"8 Canada Square, London, England, United Kingdom",Financial services,Brendan Nelson(Group Chairman)Georges Elhedery(Group Chief Executive),US$24.999 billion (2024),"221,000 (2025)",US$32.309 billion (2024),,,Asset managementBankingCommoditiesCredit cardsEquities tradingInsuranceInvestment managementMortgage loansPrivate equityWealth management,US$62.440 billion (2024),Subsidiaries Hang Seng BankHSBC Bank AustraliaHSBC Bank BermudaHSBC Bank IndiaHSBC Bank Hong KongHSBC TrinkausHSBC Bank MalaysiaHSBC MéxicoHSBC Bank Middle EastHSBC Sri LankaHSBC Bank USAHSBC FinanceHSBC UKM&S Financial ServicesHSBC Innovation Bank Limited,US$3.017 trillion (2024),US$192.273 billion (2024),LSE: HSBA SEHK: 5 NYSE: HSBC BSX: HSBC.BH FTSE 100 component (HSBA) Hang Seng component (5),hsbc.com
London,JSC HALYK BANK,Financials,2006-12-20 0:00,Kazakhstan,Asia,MAIN MARKET,Yes,,,,,,,,,Halyk Bank,https://en.wikipedia.org/wiki/Halyk_Bank,"Kazakhstan, Kyrgyzstan, Georgia, Russia, Tajikistan, Uzbekistan",Joint Stock Company,1923,,"Almaty, Kazakhstan","Banking, Financial services",Alexander Pavlov (Chairman)Umut Shayakhmetova (Chairperson of the Management Board),352.6 billion tenge (2020),"13,452 (2020)",,,,,380.2 billion tenge (2020),Halyk Bank KyrgyzstanHalyk Bank GeorgiaMoskommertsbankKazkommertsbank TajikistanTenge Bank,"12,1 trillion tenge (2022)","1,493.2 billion tenge (2020)",KASE: HSBKLSE: HSBK,halykbank.kz
London,LIONTRUST ASSET MANAGEMENT PLC,Financials,1999-7-21 0:00,United Kingdom,Europe,MAIN MARKET,No,761.84,,,,,,,,Liontrust Asset Management,https://en.wikipedia.org/wiki/Liontrust_Asset_Management,,Public limited company,2 August 1994; 31 years ago (1994-08-02),,"London, England",Investment management,Luke Savage(Chairman)John Ions(Chief Executive),£(3.5) million (2024),,£(1.8) million (2024),,,Asset Management services,£197.9 million (2024),,,,LSE: LIOFTSE 250 Component,liontrust.co.uk
London,ALLIANZ TECHNOLOGY TRUST PLC,Financials,1995-12-4 0:00,United Kingdom,Europe,MAIN MARKET,No,1034.52,,,,,,,,Niu Technologies,https://en.wikipedia.org/wiki/Niu_Technologies,,Public,2014; 11 years ago (2014),"Li Yi'nan, Token Yilin Hu","Beijing, China","Vehicle manufacturing, eMobility",Yan Li,-US$7 million (2022)US$35 million (2021),500-800,,,,,US$459 million (2022)US$581 million (2021),,,,Nasdaq: NIU,www.niu.com
London,RIT CAPITAL PARTNERS PLC,Financials,1988-8-1 0:00,United Kingdom,Europe,MAIN MARKET,No,2886.0,,,,,,,,Rotork,https://en.wikipedia.org/wiki/Rotork,,Public,1940s,,"Bath, Somerset, UK",Engineering,"Dorothy Thompson, ChairKiet Huynh, CEO",£104.8 million (2024),"3,300 (2025)",£135.9 million (2024),,,,£754.4 million (2024),,,,LSE: RORFTSE 250 component,www.rotork.com
London,BLUE PLANET INVESTMENT TRUST PLC,Financials,1999-3-24 0:00,United Kingdom,Europe,MAIN MARKET,No,10.64,,,,,,,,Experian,https://en.wikipedia.org/wiki/Experian,,Public,1996; 29 years ago (1996),,"Dublin, Ireland",Business services,Mike Rogers (Chairperson)Brian Cassin (CEO),US$1.203 billion (FY2024),"21,700 (2025)",US$1.928 billion (FY2024),,,,US$7.097 billion (FY2024),,US$11.712 billion (FY2024),US$4.669 billion (FY2024),LSE: EXPNFTSE 100 Component,www.experian.com
Hong Kong,"Hang Seng Bank, Limited",Financials,,,,,,,11.0,Current,CHENG Wai Sun Edward,Independent Non Executive Director,Chairman,2025-04-01,,Hang Seng Bank,https://en.wikipedia.org/wiki/Hang_Seng_Bank,,Public (subsidiary),3 March 1933; 92 years ago (1933-03-03),"Lam Bing Yim, Ho Sin Hang, Leung Chik Wai, Ho Tim, and Ho, Lian Shen","Hang Seng Bank Headquarters Building, Central, Hong Kong",Finance and insurance,Edward Cheng (chairman)Luanne Lim (vice-chairman and CEO),HKD 24.8 billion (2019),"over 9,680",HKD 28.6 billion (2019),,HSBC Group (63.04%),Financial services,,,"HKD 1,677.0 billion (2019)",,SEHK: 11Hang Seng Index component,hangseng.com
London,"HUATAI SECURITIES CO., LTD.",Financials,2019-6-17 0:00,China,Asia,MAIN MARKET,Yes,,,,,,,,,Huatai Securities,https://en.wikipedia.org/wiki/Huatai_Securities,,Public,9 April 1991; 34 years ago (1991-04-09),,"No. 228 Middle Jiangdong Road, Nanjing, Jiangsu, People's Republic of China",Financial services,Wei Zhang (Chairman)Yi Zhou (CEO),CN¥12.98 billion (FY 2021),"14,372 (FY 2021)",,,,,CN¥51.92 billion (FY 2021),Huatai InternationalChina Southern Asset Management,CN¥806.65 billion (FY 2021),CN¥152.04 billion (FY 2021),SSE: 601688 (A share)SEHK: 6886 (H share)LSE: HTSC (GDR),www.htsc.com.cn
London,JPMORGAN RUSSIAN SECURITIES PLC,Financials,2002-12-20 0:00,United Kingdom,Europe,MAIN MARKET,No,236.42,,,,,,,,JPMorgan Russian Securities,https://en.wikipedia.org/wiki/JPMorgan_Russian_Securities,,Public company,2002; 23 years ago (2002),,"25 Bank Street, Canary Wharf, London, England",Investment trust,Eric Sanderson (Chairman),,,,,,,,,,,LSE: JII,
London,FEDERAL BANK LIMITED (THE),Financials,2006-1-31 0:00,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,,,,,,,,,Federal Bank,https://en.wikipedia.org/wiki/Federal_Bank,,Public,"23 April 1931; 94 years ago (1931-04-23)(as Travancore Federal Bank) at Nedumpuram, Thiruvalla2 December 1949; 76 years ago (1949-12-02)(as Federal Bank)",K. P. Hormis,"Aluva, Kochi, Kerala, India",BankingFinancial services,KVS Manian (MD & CEO),"₹4,051.89 crore (US$480 million)(FY25)","15,545","₹6,101.13 crore (US$720 million) (FY25)",,,Retail BankingWholesale BankingFinance and InsuranceMortgage loansWealth managementInvestment bankingCredit cardsDebit cards,,,"₹349,004.80 crore (US$41 billion)(FY25)",,NSE: FEDERALBNKBSE: 500469LSE: FEDS,federal.bank.in
London,GUARANTY TRUST BANK PLC,Financials,2007-7-26 0:00,Nigeria,Africa,MAIN MARKET,Yes,,,,,,,,,Guaranty Bank & Trust,https://en.wikipedia.org/wiki/Guaranty_Bank_%26_Trust,Texas,Public company,"January 1913; 112 years ago (January 1913) in Mount Pleasant, Texas",,"Addison, Texas, United States",,"Ty Abston (President, CEO, and Chairman of the Board)",,412 (2016),,,Glacier Bancorp,,,,US$ 3.2 billion (December 2023),,NYSE: GNTYRussell 2000 Component,gnty.com
London,MYANMAR INVESTMENTS INTERNATIONAL LIMITED,Financials,2013-6-27 0:00,British Virgin Islands,North America,AIM,Yes,21.8,,,,,,,,Thorn Lighting,https://en.wikipedia.org/wiki/Thorn_Lighting,Worldwide,Private,29 March 1928,Sir Jules Thorn,"London, England",Lighting,,,"more than 1,000 (2015)",,,Zumtobel Group,Professional luminaires and controls,€109 million (2020),,,,,www.thornlighting.com
London,JPMORGAN EMERGING MARKETS INVESTMENT TRUST PLC,Financials,1991-7-16 0:00,United Kingdom,Europe,MAIN MARKET,No,1382.82,,,,,,,,JPMorgan Global Growth & Income,https://en.wikipedia.org/wiki/JPMorgan_Global_Growth_%26_Income,,Public company,1887; 138 years ago (1887),,"25 Bank Street, Canary Wharf, London, England",Investment trust,James Macpherson (Chairman),,,,,,,,,,,LSE: JGGIFTSE 250 Index component,
Hong Kong,Minerva Group Holding Limited,Financials,,,,,,,397.0,Current,CHAN Lai Ping,Independent Non Executive Director - A/F,,2021-09-30,,Lamprell,https://en.wikipedia.org/wiki/Lamprell,,Private,1976,,"Hamriyah, United Arab Emirates",Energy,"Ian Prescott, CEO Neil Millar, COO",US$(53.4) million (2020),"5,000 (2021)",US$(32.0) million (2020),,,Oil & GasRenewables,US$338.6 million (2020),,,,,www.lamprell.com
London,NON-STANDARD FINANCE PLC,Financials,2016-4-14 0:00,United Kingdom,Europe,MAIN MARKET,No,12.19,,,,,,,,Non-Standard Finance plc,https://en.wikipedia.org/wiki/Non-Standard_Finance_plc,,Public,2015 (2015),,"London, UK",Financial services,John van Kuffeler (chairman),£1.3 million,,£3.9 million,,,,£31.3 million,,,,LSE: NSF,www.nonstandardfinance.com
London,BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY,Financials,2017-1-19 0:00,Ireland,Europe,MAIN MARKET,Yes,182.7,,,,,,,,Bank of Cyprus,https://en.wikipedia.org/wiki/Bank_of_Cyprus,Cyprus,Public company,1899,,"Strovolos, Cyprus","Banking, financial services",Takis Arapoglou (Chairman) Panicos Nicolaou (CEO),€71 mn (2024),"2,847 (2023)",€199 mn (2024),,,"Retail and business banking, Credit cards, mortgage loans, corporate banking, factoring, insurance, brokerage, private banking, wealth management, Investment management, investment banking",€1.096 billion (2024),Genikes InsuranceEuroLife (Cyprus),€26.486 billion (2024),"€2,101 mn (2024)",CSE: BOCY ATHEX: BOCHGR,bankofcyprus.com.cy
London,GLOBAL RESOURCES INVESTMENT TRUST PLC,Financials,2014-3-7 0:00,United Kingdom,Europe,MAIN MARKET,No,1.15,,,,,,,,Resources Global Professionals,https://en.wikipedia.org/wiki/Resources_Global_Professionals,,Public,"Irvine, California (1996)",,"Dallas, Texas",,"Donald B. Murray, Founder and Chairman; Kate Duchene, Chief Executive Officer & President",,,,,"Resources Connection, Inc.",,,,,,Nasdaq: RGP,RGP.com
Hong Kong,Allied Group Limited,Financials,,,,,,,373.0,Current,BARTLETT David Craig,Independent Non Executive Director,,1999-12-17,,Allied Telesis,https://en.wikipedia.org/wiki/Allied_Telesis,Worldwide,Public (K.K),"March 9, 1987; 38 years ago (1987-03-09)",,"Nishi-Gotanda, Shinagawa-ku, Tokyo 141-0031, Japan",Networking hardware,Sachie Oshima(Chairman and CEO),¥211 million (FY 2017) (US$ 1.9 million) (FY 2017),"1,621 (consolidated, as of December 31, 2017)",,,,SwitchesRoutersFirewalls,¥28.39 billion (FY 2018) (US$ 262 million) (FY 2017),,,,TYO: 6835,Official website
London,DIAMOND BANK PLC,Financials,2007-12-11 0:00,Nigeria,Africa,PROFESSIONAL SECURITIES MARKET,Yes,,,,,,,,,Diamond Bank,https://en.wikipedia.org/wiki/Diamond_Bank,Nigeria United Kingdom,Formerly Public limited company,20 December 1990,Pascal Dozie,"Victoria Island, Lagos, Lagos State, Nigeria",Finance,Uzoma Dozie (CEO),,,,,,,:Pretax: ₦28 billion (US$175 million) (FY:2012),,₦1.7 trillion (US$7.3 billion) (December 2012),,NGX: DIAMONDBNK,diamondbank.com
London,ADMIRAL GROUP PLC,Financials,2004-9-28 0:00,United Kingdom,Europe,MAIN MARKET,No,8159.03,,,,,,,,Air Partner,https://en.wikipedia.org/wiki/Air_Partner,Worldwide,,1961,Tony Mack,"2 City Place, Beehive Ring Road, Gatwick, West Sussex, RH6 0PA United Kingdom",Aviation,Mark Briffa (CEO),,,,,Wheels Up,,,,,,,Official website
London,SABRE INSURANCE GROUP PLC,Financials,2017-12-6 0:00,United Kingdom,Europe,MAIN MARKET,No,572.5,,,,,,,,Liontrust Asset Management,https://en.wikipedia.org/wiki/Liontrust_Asset_Management,,Public limited company,2 August 1994; 31 years ago (1994-08-02),,"London, England",Investment management,Luke Savage(Chairman)John Ions(Chief Executive),£(3.5) million (2024),,£(1.8) million (2024),,,Asset Management services,£197.9 million (2024),,,,LSE: LIOFTSE 250 Component,liontrust.co.uk
Hong Kong,"The Bank of East Asia, Limited",Financials,,,,,,,23.0,Current,DOO William Junior Guilherme,Independent Non Executive Director,,2019-11-01,,Bank of East Asia,https://en.wikipedia.org/wiki/Bank_of_East_Asia,,Public,Incorporated on 14 November 1918; 107 years ago (1918-11-14)Officially opened on 4 January 1919; 106 years ago (1919-01-04),,"10 Des Voeux Road Central, Central, Hong Kong",Finance,Sir David K.P. Li (Executive Chairman)Adrian M.K. Li (Co-Chief Executive Officer)Brian M.B. Li (Co-Chief Executive Officer),HKD6.5 billion (2018),,HKD17.1 billion (2018),,,Financial servicesconsumer bankingcorporate bankinginvestment bankingprivate banking,,,HKD839 billion (2018),,SEHK: 23,hkbea.com
London,HANSA INVESTMENT COMPANY LIMITED,Financials,2019-8-29 0:00,Bermuda,North America,MAIN MARKET,Yes,200.4,,,,,,,,Alliance Boots,https://en.wikipedia.org/wiki/Alliance_Boots,Global,Gesellschaft mit beschränkter Haftung,2007 (Alliance Boots)1849 (Boots)1997 (Alliance UniChem),,"Bern, Switzerland(Registered office)Nottingham, United KingdomWeybridge, United Kingdom(Operational headquarters)",PharmaceuticalsRetailing,Stefano Pessina (Executive Chairman) Aubrey Jackson (CEO - Alliance HealthCare),£805 million (2012/13),"Over 120,000 (2013/14)",,,,"BootsNo7 – skincare and cosmeticsSoltan – Suncaredrug store/pharmacy, other specialty",£23.4 billion (2013/14),Alliance HealthcareBoots UKBoots OpticiansGuangzhou Pharmaceuticals (50%),,,,
London,CURTIS BANKS GROUP PLC,Financials,2015-5-7 0:00,United Kingdom,Europe,AIM,No,132.83,,,,,,,,Curtis Banks,https://en.wikipedia.org/wiki/Curtis_Banks,,Public limited company,2009; 16 years ago (2009),Rupert CurtisChris Banks,,,Jane Ridgley (COO)Dan Cowland (CFO),,600,,Nucleus Financial Platforms (2023–present),,,GBP£63.3 million (2021)GBP£53.9 million (2020),,,,,curtisbanks.co.uk
London,EDINBURGH INVESTMENT TRUST PLC,Financials,1952-2-8 0:00,United Kingdom,Europe,MAIN MARKET,No,753.3,,,,,,,,Tatneft,https://en.wikipedia.org/wiki/Tatneft,,Public (PJSC),1950 (1950)[verification needed],Ministry of Oil Industry,"Almetyevsk, Russia",Oil and gas,Matvey Yozhikov (Majority shareholder) Rustam Minnikhanov (Chairman) Nail Maganov (CEO),$2.7 billion (2021),"60,000 (2019)",$3.49 billion (2021),,,PetroleumNatural gasPetrochemicals,$17.2 billion (2021),,$20.4 billion (2021),$12.8 billion (2021),MCX: TATN (ordinary shares) MCX: TATNP (preferred shares)LSE: ATAD (ADRs),www.tatneft.ru
London,ABERFORTH SMALLER COMPANIES TRUST PLC,Financials,1990-12-10 0:00,United Kingdom,Europe,MAIN MARKET,No,769.21,,,,,,,,Anglesey Mining,https://en.wikipedia.org/wiki/Anglesey_Mining,,,,Imperial Metals Corporation (Canada),United Kingdom,,,,,,,,Mining,,,,,LSE: AYM,angleseymining.co.uk
London,QUILTER PLC,Financials,2018-4-13 0:00,United Kingdom,Europe,MAIN MARKET,No,2193.38,,,,,,,,Railroad Tycoon,https://en.wikipedia.org/wiki/Railroad_Tycoon,,,,,,,,,,,,,,,,,,,
London,STATE BANK OF INDIA,Financials,1996-10-11 0:00,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,,,,,,,,,State Bank of India,https://en.wikipedia.org/wiki/State_Bank_of_India,India,Public,1 July 1955; 70 years ago (1955-07-01) State Bank of India 27 January 1921 (1921-01-27) Imperial Bank of India 2 June 1806 (1806-06-02) Bank of Calcutta 15 April 1840 (1840-04-15) Bank of Bombay 1 July 1843 (1843-07-01) Bank of Madras,,"State Bank Bhavan, M.C. Road, Nariman Point, Mumbai, Maharashtra, India","Banking, financial services",C. Sreenivasulu Setty (chairman)Kameshwar Rao Kodavanti (CFO),₹709.1 billion (US$8.4 billion) (2025),"2,36,221",₹1.10 trillion (US$13 billion) (2025),Government of India (55.50%),,Retail bankingCorporate bankingInvestment bankingMortgage loansPrivate bankingWealth managementAsset managementInvestment managementCredit cardsInsurance,₹5.24 trillion (US$62 billion) (2025),SBI Life Insurance LtdSBI Mutual Fund (63%)SBI Cards and Payment Services Ltd (68.63%)SBI General Insurance (69.11%),₹66.76 trillion (US$790 billion) (2025),₹4.86 trillion (US$57 billion) (2025),NSE: SBINBSE: 500112LSE: SBIDBSE SENSEX constituentNSE NIFTY 50 constituent,sbi.bank.inretail.sbi.bank.in
London,BEGBIES TRAYNOR GROUP PLC,Financials,2004-10-1 0:00,United Kingdom,Europe,AIM,No,106.91,,,,,,,,Begbies Traynor,https://en.wikipedia.org/wiki/Begbies_Traynor,,Public,1989,,"340 DeansgateManchester, United Kingdom",Professional services,,,,,,,,,,,,AIM: BEG,www.begbies-traynorgroup.com
London,POLAR CAPITAL GLOBAL FINANCIALS TRUST PLC,Financials,2013-7-1 0:00,United Kingdom,Europe,MAIN MARKET,No,130.04,,,,,,,,Polar Capital Global Financials Trust,https://en.wikipedia.org/wiki/Polar_Capital_Global_Financials_Trust,,Public,,,"London, UK",Investment,Simon Corderey (Chairperson),,,,,,,,,,,LSE: PCFT,www.polarcapitalglobalfinancialstrust.com
Hong Kong,China Reinsurance (Group) Corporation,Financials,,,,,,,1508.0,Current,DAI De Ming,Independent Non Executive Director,,2023-08-29,,China Great Wall Asset Management,https://en.wikipedia.org/wiki/China_Great_Wall_Asset_Management,,State-owned enterprise,2 November 1999; 26 years ago (1999-11-02),,"Beijing, China",Financial services,Li Junfeng (President),CN¥−8.2 billion (2021),,CN¥22.7 billion (2021),,Ministry of FinanceNational Council for Social Security FundChina Life Insurance Company,,,Great Wall Pan Asia Holdings,CN¥642.9 billion (2021),CN¥64.7 billion (2021),,www.gwamcc.com
Hong Kong,"Bank of Tianjin Co., Ltd.",Financials,,,,,,,1578.0,Current,BULLOCH Marshall Alistair,Non Executive Director,,2009-06-15,,Bank of East Asia,https://en.wikipedia.org/wiki/Bank_of_East_Asia,,Public,Incorporated on 14 November 1918; 107 years ago (1918-11-14)Officially opened on 4 January 1919; 106 years ago (1919-01-04),,"10 Des Voeux Road Central, Central, Hong Kong",Finance,Sir David K.P. Li (Executive Chairman)Adrian M.K. Li (Co-Chief Executive Officer)Brian M.B. Li (Co-Chief Executive Officer),HKD6.5 billion (2018),,HKD17.1 billion (2018),,,Financial servicesconsumer bankingcorporate bankinginvestment bankingprivate banking,,,HKD839 billion (2018),,SEHK: 23,hkbea.com
London,CLOSE BROTHERS GROUP PLC,Financials,1962-7-24 0:00,United Kingdom,Europe,MAIN MARKET,No,1627.36,,,,,,,,Alliance Boots,https://en.wikipedia.org/wiki/Alliance_Boots,Global,Gesellschaft mit beschränkter Haftung,2007 (Alliance Boots)1849 (Boots)1997 (Alliance UniChem),,"Bern, Switzerland(Registered office)Nottingham, United KingdomWeybridge, United Kingdom(Operational headquarters)",PharmaceuticalsRetailing,Stefano Pessina (Executive Chairman) Aubrey Jackson (CEO - Alliance HealthCare),£805 million (2012/13),"Over 120,000 (2013/14)",,,,"BootsNo7 – skincare and cosmeticsSoltan – Suncaredrug store/pharmacy, other specialty",£23.4 billion (2013/14),Alliance HealthcareBoots UKBoots OpticiansGuangzhou Pharmaceuticals (50%),,,,
London,BAILLIE GIFFORD UK GROWTH FUND PLC,Financials,1994-3-10 0:00,United Kingdom,Europe,MAIN MARKET,No,273.95,,,,,,,,Rotork,https://en.wikipedia.org/wiki/Rotork,,Public,1940s,,"Bath, Somerset, UK",Engineering,"Dorothy Thompson, ChairKiet Huynh, CEO",£104.8 million (2024),"3,300 (2025)",£135.9 million (2024),,,,£754.4 million (2024),,,,LSE: RORFTSE 250 component,www.rotork.com
