title,release_year,artists,genres,region,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Sugar Mama Blues,2002.0,Sonny Boy Williamson,Blues,UK,7JK8XRHurusTnfalMv43sr,No Faith Required,49.0,513360.0,False,0.477,0.251,4.0,-12.852,0.0,0.0592,0.782,0.0387,0.0842,0.114,131.876,4.0,british
The Adventures Of A Psychedelic Cowboy,,The Sensational Country Blues Wonders!,Blues,US,21pfC9RXOdcwxeaxkHPoAL,South Austin Jug Band,20.0,293400.0,True,0.575,0.485,2.0,-9.172,1.0,0.036,0.704,0.0,0.074,0.758,162.134,4.0,bluegrass
Blues Harp ,,Carey Bell,Blues,US,5bRel6l8MBGhZJaONqfNMz,"Pappo y Amigos, Vol. 2",21.0,320373.0,False,0.37,0.431,5.0,-8.698,1.0,0.0364,0.0715,1.53e-05,0.192,0.451,142.802,3.0,heavy-metal
Empty Stocking Blues,1985.0,Floyd Dixon,Blues,Sweden,1xlXvK3CtEGFttrOPijgCS,Coffee Blues,53.0,220000.0,False,0.843,0.37,6.0,-11.635,0.0,0.041,0.521,0.0097,0.114,0.664,99.996,4.0,deep-house
Second Time Around,1996.0,Little Smokey Smothers,Blues,Germany,2Gl0FzuLxflY6nPifJp5Dr,First Time,65.0,193511.0,False,0.633,0.592,0.0,-7.245,0.0,0.112,0.197,0.0,0.099,0.679,90.066,4.0,house
Live From The 1970 Ann Arbor Blues And Jazz Fest,1970.0,Roosevelt Sykes,Blues,US,5L7hKjKiQap6F28aqqbXpP,One from the Vault (Live),27.0,46440.0,False,0.658,0.419,0.0,-14.398,1.0,0.199,0.546,0.000103,0.621,0.542,100.573,4.0,psych-rock
Split EP,2016.0,MyBodyHorse; The Shady Greys,Blues,France,44alNkXsYnTyPnkMdohBcx,Woodland,64.0,209816.0,False,0.581,0.421,1.0,-9.792,1.0,0.0245,0.894,0.000491,0.119,0.433,95.969,4.0,folk
No No Blues / Sweet Petunie Blues,,Steamboat Bill And His Guitar,Blues,US,5KfJGQG2miIFHUGpDAdHys,Cheating At Solitaire,33.0,318000.0,False,0.457,0.916,3.0,-6.189,1.0,0.0556,8.03e-05,0.269,0.248,0.535,109.912,4.0,ska
Wonder What Is Wrong With Me,1956.0,Lightnin' Hopkins,Blues,France,683Zokh8DyHi8UJCI6pz3k,this is what sadness feels like (214Hz),46.0,160676.0,False,0.463,0.58,0.0,-3.664,1.0,0.128,0.598,0.0,0.622,0.454,83.995,4.0,indie
John Mayall,,John Mayall,Blues,Belgium,7mAYdYyUrkUSArOdSrC7rR,Drew Barrymore,52.0,205290.0,False,0.736,0.594,2.0,-6.479,1.0,0.0453,0.399,4.86e-06,0.326,0.426,103.007,4.0,deep-house
Back To Blues,1990.0,Various,Blues,Germany,3FAclTFfvUuQYnEsptbK8w,Back To Black (Deluxe Edition),81.0,241293.0,True,0.403,0.422,7.0,-13.964,0.0,0.0373,0.134,2.05e-05,0.0861,0.378,122.728,4.0,british
The Moonlight Is My Spread / Root Man Blues,1935.0,Walter Davis,Blues,US,2ANowa0AGdnKfPGqvcDRp6,pov: you are an christmas elf,0.0,240666.0,False,0.603,0.688,7.0,-9.69,0.0,0.196,0.19,0.0,0.0688,0.802,117.788,4.0,blues
Most Things Haven't Worked Out,,Junior Kimbrough,Blues,US,2G2fylyaJAYV9LgCY9gLMG,The Bottom of a Rotten Flower,21.0,104138.0,False,0.316,0.872,0.0,-1.667,1.0,0.04,0.0236,0.904,0.246,0.803,91.105,4.0,power-pop
The Temptations,1999.0,The Temptations,Blues,Netherlands,3gUQD6BF1RKWsWfboTZYuE,Boy Alone,48.0,151588.0,False,0.572,0.515,3.0,-8.722,0.0,0.401,0.564,0.142,0.1,0.607,95.691,4.0,dancehall
Hold What You Got,2008.0,Wanda Johnson,Blues,US,6P3WtLdcQjc2BpCHf5yATw,Tailgate Country,1.0,219333.0,False,0.588,0.931,6.0,-3.925,1.0,0.0318,0.00411,0.0,0.345,0.625,105.027,4.0,country
Most Of All,,The Moonglows,Blues,US,6iXcuE0Itu6dpteHxlmBsI,Paranoid & Sunburnt,28.0,202066.0,False,0.403,0.858,9.0,-5.6,1.0,0.0665,0.00355,0.0026,0.0883,0.465,143.601,4.0,british
This Is Her Life,2003.0,Jani Jakovac,Blues,Canada,6ETgYfvafJs1OZ29hORq6Y,Pretty Woman: The Musical (Original Broadway Cast Recording),27.0,155526.0,False,0.57,0.502,2.0,-7.132,1.0,0.0314,0.537,0.0,0.136,0.236,137.849,4.0,show-tunes
Brownsville Blues,1968.0,Sleepy John Estes,Blues,US,0mFErfI7fGpwQA3KqF4W6l,Trains I Missed,31.0,172133.0,False,0.558,0.831,9.0,-6.656,1.0,0.0318,0.459,0.00101,0.258,0.883,140.021,4.0,bluegrass
Beale Street Blues,1971.0,Furry Lewis,Blues,France,6b6iNiE1qiH1iZ6mYEOU5I,Town and Country,23.0,116386.0,False,0.488,0.437,2.0,-15.779,1.0,0.032,0.105,0.974,0.141,0.918,129.856,4.0,bluegrass
Texas Justice,2001.0,Kay Kay And The Rays,Blues,US,3JSltrBE2Pe4lSDOtH5rwO,Touché,20.0,149506.0,True,0.526,0.837,1.0,-8.339,0.0,0.901,0.738,2.01e-06,0.676,0.363,102.971,3.0,comedy
天地無用! ~真冬の夏祭り~,1997.0,Various,Blues,Japan,3osbtV03rQoOfuU0tLW0Gt,DAWN,38.0,297146.0,False,0.679,0.597,0.0,-5.781,1.0,0.0688,0.62,0.0,0.0786,0.516,151.902,4.0,j-pop
Hateful Blues / Frankie Blues,1924.0,Hazel Meyers; Choo Choo Jazzers,Blues,US,2XvCndkWhupzR6a6dD8IIG,The Essential Floyd Cramer,14.0,125733.0,False,0.669,0.652,0.0,-10.602,1.0,0.0366,0.681,0.282,0.101,0.966,87.797,4.0,honky-tonk
Female Blues Singers Volume S/T (1921-1930),1991.0,Various,Blues,Austria,5zsatkx2tAjgZSWAJGaK2T,33 Guitar Instrumentals,21.0,97293.0,False,0.465,0.474,2.0,-11.693,1.0,0.0335,0.926,0.913,0.312,0.963,64.496,4.0,bluegrass
Permanent Record,,Robin Banks (11),Blues,US,72ImaMPl5PWYPj7fwEgghc,Originals,13.0,142160.0,False,0.742,0.311,0.0,-14.76,1.0,0.0362,0.731,0.265,0.158,0.608,109.679,3.0,honky-tonk
Luther Tucker & The Ford Blues Band,1995.0,Luther Tucker; The Ford Blues Band,Blues,Germany,3wh7YxUoRm1wSpNNi4XYEe,Rooster,27.0,176920.0,False,0.653,0.352,7.0,-11.372,1.0,0.03,0.962,0.462,0.123,0.397,101.341,4.0,bluegrass
Soulmates,2021.0,Usama Allati,Blues,,7pFRhCj70NUNZG4xMDEQj8,Soul Mates,59.0,96343.0,False,0.517,0.509,3.0,-9.917,1.0,0.137,0.407,0.311,0.251,0.37,74.98,4.0,chill
I Can Go Down,1966.0,Jimmy Powell And The 5 Dimensions,Blues,Germany & Switzerland,243G69RorFkN6EmV3T227b,Jack to the Sound,13.0,302950.0,False,0.668,0.91,10.0,-8.417,0.0,0.0384,1.1e-05,0.915,0.337,0.903,123.45,4.0,chicago-house
Big Easy EP,1998.0,Dr. Will's Gangsters Of Love,Blues,Germany,6tWJC2WMWzjfV3vHDFo3pJ,"Baby Sleep Music: Soothing Baby Lullaby Music For Babies, Sleep Aid and Sleeping Music",32.0,134669.0,False,0.191,0.00272,9.0,-35.621,0.0,0.0392,0.995,0.965,0.0817,0.0391,64.017,5.0,sleep
Guitar Hot Shots,2006.0,Various,Blues,US,78FoWLcuFgI5QN2r9N8249,Water 4 The Soul,19.0,308387.0,False,0.56,0.626,10.0,-7.074,1.0,0.352,0.0502,0.00256,0.0884,0.386,186.098,4.0,trip-hop
The Best Of Timi Yuro,1963.0,Timi Yuro,Blues,Italy,6Skh3CBum0pZw9TOr7FQnX,Safe With Me (with Audrey Mika),65.0,205164.0,False,0.497,0.757,11.0,-4.189,1.0,0.127,0.0449,0.0,0.119,0.507,169.902,4.0,edm
Everyday I Have The Blues - The Best Of B.B. King,2013.0,B.B. King,Blues,UK,5YITLGrLwB4h0rtEpjWQjt,The Jerusalem EP's,6.0,388693.0,False,0.796,0.606,7.0,-14.969,1.0,0.0518,0.00398,0.0919,0.049,0.531,121.895,4.0,chicago-house
Lonesome Flight,2010.0,Steve Freund,Blues,US,5KPjrk4LADrGKL2PSSU1lS,Finest Country,0.0,224106.0,False,0.588,0.722,6.0,-4.667,1.0,0.0289,0.0663,0.0,0.0721,0.243,145.926,4.0,country
Dancing In The Street / In The Midnight Hour,,Martha Reeves,Blues,France,3UBX0ysWycKWiinU7GfoZX,"Decade. The Songs, The Show, The Traditions, The Classics.",20.0,403373.0,False,0.284,0.232,2.0,-12.824,1.0,0.0378,0.841,6.14e-05,0.0897,0.155,117.456,4.0,opera
Dyna-Mite,2018.0,Jon Cleary,Blues,,1zfx0KZWQBKsBvQVDgS2Ic,Cemaz-Ûl-Evvel (Güldeste),35.0,278600.0,False,0.352,0.301,3.0,-15.009,1.0,0.0353,0.893,0.783,0.115,0.217,106.399,3.0,psych-rock
"""The Rockin' Man"" Sings His Early Stuff!",,Jimmy McCracklin,Blues,,3NhZQA5icTOkVTu2fsx5N3,Kev's Back (The Return of the Yobbo),29.0,237610.0,True,0.773,0.433,4.0,-16.067,1.0,0.129,0.237,0.0,0.122,0.939,139.811,4.0,comedy
River Hip Mama / How Can You Love Me,1946.0,Washboard Sam And His Washboard Band,Blues,US,3NKUFgqI2sMrtIRGx5IHwx,sweater weather / i wanna be your girlfriend,57.0,235161.0,False,0.655,0.538,10.0,-7.991,1.0,0.0378,0.299,0.393,0.0762,0.329,124.045,4.0,sad
Be Faithful / Yours Truly,1955.0,Pee Wee Crayton,Blues,US,62shNor7VDjzBx8SC9YTPm,Holy Roar,44.0,293733.0,False,0.448,0.895,9.0,-4.265,1.0,0.0886,0.00413,0.0,0.0752,0.205,130.078,4.0,world-music
Standing The Test Of Time,2009.0,Bobby Rush,Blues,US,4aY2hh55axhL2qYYqXNoOM,Puppy Dog Pals: Disney Junior Music,55.0,38144.0,False,0.629,0.776,7.0,-3.839,0.0,0.047,0.021,0.0,0.093,0.957,93.937,3.0,children
The Boogiemeisters,1999.0,Axel Zwingenberger; Vince Weber,Blues,Germany,1PoZH33EGyW5aTWEFRKKWe,Teddy's Gate,21.0,272914.0,False,0.474,0.91,8.0,-3.346,0.0,0.04,0.000842,0.878,0.0929,0.151,174.982,4.0,drum-and-bass
Left Coast Blues,2007.0,The Insomniacs (3),Blues,US,7JK8XRHurusTnfalMv43sr,No Faith Required,49.0,513360.0,False,0.477,0.251,4.0,-12.852,0.0,0.0592,0.782,0.0387,0.0842,0.114,131.876,4.0,british
With All My Love / You're For Me,1958.0,The Five Keys,Blues,US,6va0uR0XCeTX5DuT9S0Q4S,The Journey so Far,22.0,294866.0,False,0.444,0.209,0.0,-13.579,1.0,0.071,0.94,2.01e-05,0.701,0.171,90.656,3.0,show-tunes
Huntsman Blues / Woman Friend Blues,1938.0,The Red Devil (2),Blues,US,4uK4kHwFyJdehrTvdXAQhr,Aereo-Plain,27.0,205253.0,False,0.554,0.493,7.0,-12.303,1.0,0.032,0.41,0.00422,0.168,0.831,105.739,4.0,bluegrass
The Gold Collection,1997.0,Muddy Waters,Blues,US,5aqzJkElPJ4mN16RGnn4bK,Discern / Define,23.0,201400.0,False,0.781,0.848,7.0,-9.61,1.0,0.0898,0.0276,0.767,0.0472,0.641,109.49,4.0,afrobeat
There's Room Enough In Heaven For Us All / Steal Away And Pray,1927.0,Pace Jubilee Singers,Blues,US,62PIPtJCvA2axjPdpqJWGf,The Last Five Years (Original Cast Recording),27.0,320226.0,False,0.397,0.46,2.0,-10.389,1.0,0.114,0.817,0.0,0.185,0.323,86.163,5.0,show-tunes
Edge Of The World,2010.0,Brandon Sprague Blues Band,Blues,US,5pK0PVG8WYWDuVucAjV50t,Fun Home (A New Broadway Musical),25.0,202760.0,False,0.326,0.312,1.0,-12.687,1.0,0.0644,0.793,0.0,0.275,0.219,168.722,4.0,show-tunes
I Got What It Takes,1988.0,Koko Taylor,Blues,France,1B5YsfY3azhY2WBsyK0NgC,The World Is My Enemy Now,23.0,187733.0,False,0.459,0.995,7.0,-2.107,0.0,0.131,0.000123,0.0,0.183,0.29,127.343,4.0,death-metal
Brothers Live,,Jimmy Johnson (8); Chicago Dave Blues Band,Blues,,3uZiNvBNQldjl4OJiKsuxe,Brothers (Original Motion Picture Soundtrack),59.0,353676.0,False,0.552,0.668,2.0,-9.111,1.0,0.0473,0.421,0.0117,0.159,0.152,95.032,4.0,pop-film
The Best Of Bobby Bland,2000.0,Bobby Bland,Blues,US,2S72Aie2LSwtFLRtUcFrdD,Year Of The Spider,42.0,193866.0,False,0.256,0.8,8.0,-5.398,1.0,0.0361,0.0043,2.82e-05,0.114,0.139,113.845,4.0,industrial
Rollin On Down The Lane,2012.0,Pete Ross; Susy Sapphire,Blues,Italy,0fJYZMQzBB2O7FsXiBZX2b,Breakdown,21.0,275066.0,False,0.447,0.315,10.0,-15.271,1.0,0.036,0.656,0.0105,0.896,0.72,129.551,4.0,bluegrass
Johnnie Be Back ,,Johnnie Johnson,Blues,US,4DyrcSV3fWTF6ENIgKBCxP,Destroyed,24.0,125546.0,True,0.476,0.919,11.0,-6.178,1.0,0.0661,0.0021,1.02e-05,0.0345,0.827,103.585,4.0,power-pop
Bottom Line,1979.0,John Mayall,Blues,Canada,2rAH5DmorvybHnY6wqFaIA,Simulation,43.0,174857.0,False,0.684,0.993,10.0,-1.866,0.0,0.0977,0.00281,0.332,0.38,0.534,140.025,4.0,dubstep
Wandering Endlessly,2020.0,Tony Gee (4),Blues,USA & Canada,30HJwA7Q1x1kYdgaNjg6Ix,The Pace,7.0,631703.0,False,0.78,0.415,0.0,-16.044,0.0,0.0463,0.625,0.862,0.117,0.516,126.275,3.0,detroit-techno
Won't Rain In California,1983.0,Sonny Rhodes,Blues,France,7hPwgTYYLfqKQ3T6KgeC2K,Love In California,50.0,175169.0,False,0.648,0.773,6.0,-6.705,0.0,0.0344,0.00335,3.26e-05,0.272,0.501,117.985,4.0,deep-house
"Live At ""1444 Gallery,"" Indianapolis 1959 & The Complete ""77"" LP Recordings 1960",,Scrapper Blackwell; Brooks Berry,Blues,UK,1kDkaFlmkdEZiVUogaP9OZ,Revolver (Remastered),62.0,119813.0,False,0.483,0.351,1.0,-10.487,0.0,0.0278,0.783,0.0,0.115,0.713,81.208,4.0,british
Sky High,2006.0,Blues Incorporated,Blues,UK & Europe,61k7xAKMsuvTf2j2YnieSi,Sky High,61.0,236254.0,False,0.592,0.956,0.0,-2.068,0.0,0.044,0.105,0.00289,0.344,0.193,128.084,4.0,edm
Easy To Love,1976.0,Taj Mahal,Blues,US,1I2MEjnS9c4OPMnKWbIuYs,BORN PINK,80.0,162569.0,True,0.647,0.723,5.0,-6.214,1.0,0.0491,0.00503,0.0,0.176,0.443,105.001,4.0,pop
Roots And Branches: The Songs Of Little Walter,2019.0,Billy Branch; Sons Of Blues,Blues,US,353rT3h7ABEWWBe6Hr7EZD,The Oogle Deathmachine,31.0,265195.0,True,0.501,0.672,2.0,-10.225,0.0,0.0637,0.674,0.000162,0.0674,0.961,122.041,4.0,acoustic
The Legend Of Elmore James,,Elmore James,Blues,Sweden,62j6LjW7GCAeHr5D2E20d4,The Mysterious Tale of Cat,19.0,170714.0,False,0.725,0.13,1.0,-16.784,1.0,0.226,0.901,0.934,0.622,0.297,168.02,4.0,study
Drinkin' Woman / Why Work,1953.0,St. Louis Jimmy And His Band,Blues,US,6mCl1YEddP0ZB9xM0UnvGy,Hutspot,19.0,302506.0,False,0.508,0.882,5.0,-4.505,0.0,0.121,0.0351,0.00264,0.178,0.842,170.223,4.0,afrobeat
Why Did You Say Goodbye / Nobody Cares - Nobody Knows,1951.0,Larry Darnell,Blues,US,62PIPtJCvA2axjPdpqJWGf,The Last Five Years (Original Cast Recording),27.0,320226.0,False,0.397,0.46,2.0,-10.389,1.0,0.114,0.817,0.0,0.185,0.323,86.163,5.0,show-tunes
Blues For Christmas,1970.0,John Lee Hooker,Blues,US,77cLX2qF8KVj7kcjaND69o,All Star Sessions,22.0,194400.0,False,0.583,0.304,10.0,-9.511,1.0,0.0522,0.983,0.911,0.0971,0.913,185.963,4.0,guitar
Vi Tar'n Helt Ut,2002.0,Oslo Rhythm & Blues Ensemble,Blues,Norway,6DZTKtFRlprdZ0xOJ6zkSn,Wenn et Hätz dich röf,31.0,179876.0,False,0.592,0.856,4.0,-3.516,0.0,0.0336,0.043,0.0,0.396,0.799,130.003,4.0,party
"Bye, Bye, Baby / Poor Kelly Blues",1942.0,Big Maceo,Blues,US,4vUDCPyk0Jc062A4nxzmc8,Death by Chocolate,19.0,325800.0,False,0.572,0.68,0.0,-10.551,0.0,0.0545,0.698,0.0878,0.347,0.589,170.629,4.0,trip-hop
Nothin' But The Blues,1977.0,Johnny Winter,Blues,Argentina,4XzIist5bvsQp1lVib68Eq,Ain't No Sunshine,0.0,126859.0,False,0.715,0.627,9.0,-7.956,0.0,0.0273,0.168,0.000699,0.143,0.436,100.031,4.0,deep-house
Western Union Blues / Lazy Woman Blues,,Lowell Fulson,Blues,US,4uK4kHwFyJdehrTvdXAQhr,Aereo-Plain,27.0,205253.0,False,0.554,0.493,7.0,-12.303,1.0,0.032,0.41,0.00422,0.168,0.831,105.739,4.0,bluegrass
L.A. Blues Party,,William Clarke,Blues,US,2a4pTooehkmiD7hQ5DeyC5,African Voodoo,17.0,178428.0,False,0.636,0.826,3.0,-7.486,1.0,0.0585,0.461,0.271,0.141,0.731,102.809,4.0,afrobeat
6 Blues Giants Live ! Vol.2,2007.0,Various,Blues,France,1dcCbOhMl5LKAj27DrINGN,Midnight Club Tracks II,7.0,408358.0,False,0.695,0.983,10.0,-6.204,0.0,0.0509,0.000169,0.895,0.0437,0.37,133.989,4.0,detroit-techno
Red Hot Love (Oo This Love) / Burnin' Lips,1956.0,Otis Williams & The Charms,Blues,US,7EYoPg7AavQDIxhuPcMzsu,Barefoot and Pregnant,22.0,180119.0,False,0.522,0.914,7.0,-5.27,1.0,0.0363,0.000194,7.36e-05,0.199,0.721,98.046,4.0,power-pop
Stone Crazy!,2012.0,Buddy Guy,Blues,US,5HWR5bZ3SBN6zA6zHJS3Y6,Decksandrumsandrockandroll 20th anniversary,43.0,420066.0,False,0.587,0.928,10.0,-6.74,0.0,0.053,7.55e-05,0.899,0.238,0.608,127.875,4.0,breakbeat
Backwater Blues / Irene,1948.0,Leadbelly,Blues,US,0TxD3HD4pAqdl7Ov8u0ecz,Back Home In Sulphur Springs,20.0,222000.0,False,0.618,0.474,7.0,-11.444,1.0,0.0285,0.866,0.0066,0.101,0.477,93.43,4.0,bluegrass
Boom Boom,1992.0,John Lee Hooker,Blues,UK,6gJnxMZphJt3sk2JJXTkoJ,Urban Blues (Expanded Edition),58.0,160560.0,False,0.646,0.395,1.0,-12.828,0.0,0.254,0.269,0.00666,0.0741,0.848,155.839,4.0,blues
Basket Full Of Blues,1992.0,Jeannie & Jimmy Cheatham; The Sweet Baby Blues Band,Blues,US,1xlXvK3CtEGFttrOPijgCS,Coffee Blues,53.0,220000.0,False,0.843,0.37,6.0,-11.635,0.0,0.041,0.521,0.0097,0.114,0.664,99.996,4.0,deep-house
Crusade,1968.0,John Mayall & The Bluesbreakers,Blues,France,10ZzDXNhc56QQfMDF9loIS,Crusade,39.0,174545.0,False,0.547,0.855,10.0,-4.688,0.0,0.248,0.0505,0.308,0.236,0.202,110.023,4.0,club
Halfway To Memphis,2001.0,David Gogo,Blues,Canada,5ORJq9RvKIVGf1pVWWTUB7,Way Back Home,52.0,184509.0,False,0.521,0.493,1.0,-10.006,1.0,0.0479,0.595,0.166,0.127,0.0517,107.107,4.0,french
Sliding Steel,2017.0,The Turner Brown Band,Blues,Australia,2GZ9n5ro8Kcj2IVg1XHHYE,Silver Wheels,36.0,190960.0,False,0.759,0.612,4.0,-8.08,1.0,0.0322,0.24,9.95e-05,0.112,0.961,127.757,4.0,swedish
Black Bayou,2023.0,Robert Finley,Blues,,0fv5sRuMd1jOaqYAyjO76r,Coming Home,20.0,270675.0,False,0.579,0.26,7.0,-9.869,1.0,0.0312,0.912,0.000218,0.114,0.345,82.339,4.0,opera
Not The Same,2005.0,Mike & The Mellotones,Blues,Netherlands,5ncofiedz9Ej6YkvvXMKVn,The New Abnormal,59.0,337333.0,False,0.353,0.613,9.0,-5.9,1.0,0.031,0.384,0.0123,0.103,0.282,177.375,4.0,garage
College Blues / Good Night,1930.0,Troy Ferguson (2); Troy Ferguson (2); Jesse Thomas (10),Blues,US,7EYoPg7AavQDIxhuPcMzsu,Barefoot and Pregnant,22.0,180119.0,False,0.522,0.914,7.0,-5.27,1.0,0.0363,0.000194,7.36e-05,0.199,0.721,98.046,4.0,power-pop
In Session,2013.0,East City Blues Band,Blues,Finland,5bKji6Rf7EryI5OxqbIaIP,Lush Loops,36.0,157846.0,False,0.521,0.54,7.0,-9.659,1.0,0.0354,0.338,0.973,0.341,0.124,130.171,4.0,study
Gee / My Imagination,1990.0,The Moonglows,Blues,US,788z3begie1NffhM8RWWiI,"Oh, Come On",21.0,602225.0,True,0.625,0.531,10.0,-15.791,1.0,0.921,0.349,0.0,0.928,0.493,104.856,5.0,comedy
Rarities In Concert ,1991.0,Stevie Ray Vaughan,Blues,Italy,7Ij1B22a0APAMo972a9KH1,Yanni Live!: The Concert Event,39.0,321133.0,False,0.127,0.204,11.0,-14.33,0.0,0.042,0.968,0.455,0.243,0.0397,84.345,3.0,new-age
A Fifth Of Good Whiskey Blues - A Collection Of Contemporary Blues Songs From The State Of Tennessee Vol. 5,1998.0,Various,Blues,Germany,5x4wjHroFa5k0gUCzpYZAn,ASOT 1090 - A State Of Trance Episode 1090,41.0,44920.0,False,0.311,0.914,0.0,-8.082,1.0,0.0654,0.000777,1.87e-05,0.833,0.377,138.035,4.0,trance
London Re-Visited,1993.0,Howlin' Wolf,Blues,UK,6NJQpFNkDCMaRBogIi9sOI,Orange,55.0,317986.0,False,0.311,0.882,2.0,-3.26,1.0,0.215,0.00895,0.205,0.253,0.435,162.189,4.0,blues
If The Blues Was Whiskey / We're Gonna' Ball This Mornin',1952.0,Sammy Cotton; Freddie Mitchell Orchestra,Blues,US,6mCl1YEddP0ZB9xM0UnvGy,Hutspot,19.0,302506.0,False,0.508,0.882,5.0,-4.505,0.0,0.121,0.0351,0.00264,0.178,0.842,170.223,4.0,afrobeat
Greatest Hits,1994.0,Big Joe Turner,Blues,UK,46lFttIf5hnUZMGvjK0Wxo,Pharmacy,75.0,227073.0,False,0.506,0.805,1.0,-4.119,1.0,0.0469,0.00711,0.00193,0.0856,0.383,126.008,4.0,house
Live From Chicago! Bigger Than Life!!,1987.0,Big Twist And The Mellow Fellows,Blues,Canada,5vxYlWqJGhNpzqClqUbDPG,Major Debut 10th Anniversary Album 中吉,21.0,277320.0,False,0.46,0.936,1.0,-3.304,1.0,0.106,0.00254,0.000603,0.277,0.669,167.946,4.0,j-idol
The Scratch,1990.0,The Groovetones,Blues,Netherlands,4kOy7M6eT5kYJCZxh0c6Lh,Third,56.0,270960.0,False,0.418,0.486,9.0,-9.421,0.0,0.0318,0.929,0.461,0.0988,0.249,74.924,4.0,trip-hop
Frozen Alive!,1981.0,Albert Collins,Blues,Germany,0ni7zHHFhxRMwJLebOh4Ah,Lordiversity - The Masterbeast From The Moon,19.0,249360.0,False,0.673,0.712,5.0,-9.633,1.0,0.0291,0.00154,0.000149,0.122,0.69,135.99,4.0,heavy-metal
Stories,2002.0,John Mayall & The Bluesbreakers,Blues,Germany,0ETgVH10Y5yiljMWO5kNtV,Stories,65.0,172557.0,False,0.133,0.0133,5.0,-33.01,1.0,0.0422,0.959,0.826,0.105,0.0594,64.156,3.0,sleep
Southern Dream / Love You For Myself,1949.0,Sonny Boy Williamson,Blues,US,40gvh6jP5qxMJuMmF9lG9A,Wiped Out!,71.0,390493.0,False,0.21,0.499,2.0,-9.754,0.0,0.0485,0.0687,0.00315,0.773,0.108,74.094,4.0,alt-rock
The Earthshaker,1989.0,Koko Taylor,Blues,US,7y1EM4vFDgxpB3Rr4zKRzK,Resurrection 1,2.0,313237.0,False,0.588,0.906,6.0,-4.664,0.0,0.0911,0.0099,0.045,0.0626,0.28,108.994,3.0,iranian
Yes You Do - Yes You Do / Don't Worry Me,1952.0,Paul Gayten & His Orchestra,Blues,US,6IUwiHsyKAZtfBy37Wu4ij,Dragging a Dead Deer Up a Hill,53.0,173026.0,False,0.458,0.309,2.0,-14.186,1.0,0.0283,0.909,0.956,0.118,0.0556,106.006,4.0,ambient
