ID,VIOLATION LAST MODIFIED DATE,VIOLATION DATE,VIOLATION STATUS,VIOLATION STATUS DATE,VIOLATION DESCRIPTION,VIOLATION LOCATION,VIOLATION INSPECTOR COMMENTS,INSPECTOR ID,INSPECTION NUMBER,INSPECTION STATUS,INSPECTION WAIVED,INSPECTION CATEGORY,ADDRESS,STREET NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,PROPERTY GROUP,SSA,LATITUDE,LONGITUDE,LOCATION
7190317,07/17/2024,07/17/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,INTERIOR:002 :,"INTERIOR OF BUILDING , NO ENTRY NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00904,14404855,FAILED,N,COMPLAINT,2326 W 59TH ST,2326,W,59TH,ST,350080,59.0,41.78663805,-87.68209208,"(41.78663804547352, -87.68209207537558)"
6963186,05/26/2023,05/26/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :BUILDING,",UNABLE TO INSPECT 2ND FLOOR APARTMENT AND BASEMENT.  UNVERIFIED DETECTORS AND CONDITIONS.,BL01000,12636799,FAILED,N,PERIODIC,741 S WESTERN AVE,741,S,WESTERN,AVE,15147,,41.87185371,-87.68603685,"(41.871853705220325, -87.68603684594997)"
6864515,05/18/2023,10/12/2022,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :.,",INTERIOR OF BUILDING /MOST UNITS - NO ENTRY. UNVERIFIED DETECTORS AND CONDITIONS.,447020,13879635,FAILED,N,PERIODIC,5230 N SHERIDAN RD,5230,N,SHERIDAN,RD,12073,,41.97733524,-87.65516052,"(41.97733524435733, -87.65516052168428)"
6945234,04/20/2023,04/20/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,INTERIOR:002 :,"INTERIOR OF BUILDING , COURTYARD REAR EXTERIOR STAIRS, NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00904,13840529,FAILED,N,PERIODIC,735 N AUSTIN BLVD,735,N,AUSTIN,BLVD,2574,,41.89375538,-87.77495075,"(41.89375537518234, -87.77495075280888)"
6961608,05/27/2023,05/27/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,INTERIOR:001 :,"INTERIOR OF BUILDING ,NO ENTRY  NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00904,11694825,FAILED,N,PERIODIC,1431 W LAKE ST,1431,W,LAKE,ST,1236,,41.88528666,-87.66343138,"(41.88528665773097, -87.66343137939039)"
6800058,03/27/2023,05/26/2022,COMPLIED,03/27/2023,ARRANGE FOR REINSPECTION REGAR,INTERIOR:002 :,"INTERIOR OF BUILDING , NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00876,13826003,CLOSED,N,COMPLAINT,4123 W PALMER ST,4123,W,PALMER,ST,92114,,41.9206719,-87.73017798,"(41.9206718951122, -87.73017797556336)"
6618312,12/05/2024,05/22/2021,COMPLIED,12/05/2024,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :BUILDING,","UNABLE TO INSPECT ALL INTERIOR, STAIRWELLS, APARTMENTS, AND BASEMENT.  UNVERIFIED DETECTORS AND CONDITIONS.",282126,13559249,PASSED,N,PERIODIC,2624 N MILWAUKEE AVE,2624,N,MILWAUKEE,AVE,7690,,41.92939865,-87.70815597,"(41.929398647596884, -87.70815597118417)"
5762116,07/23/2024,06/28/2017,COMPLIED,07/23/2024,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :,"INTERIOR OF BUILDING ¿ NO RESPONSE. UNABLE TO VERIFY DETECTORS, AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY. UNABLE TO INSPECT REAR PORCH.",290542,11552546,FAILED,N,PERIODIC,550 W 43RD ST,550,W,43RD,ST,17944,,41.81638057,-87.64049068,"(41.816380567580886, -87.6404906841445)"
6956636,05/08/2023,05/08/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF INSECT INFESTATION.,451988,13037957,FAILED,N,PERIODIC,5611 N LINCOLN AVE,5611,N,LINCOLN,AVE,12595,,41.98346923,-87.69544876,"(41.98346922607376, -87.69544875484024)"
5811058,04/06/2024,08/28/2017,COMPLIED,04/06/2024,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :.,","INTERIOR OF BUILDING Â¿¿ NO RESPONSE. UNABLE TO VERIFY DETECTORS, AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY. UNABLE TO INSPECT REAR PORCH.",87296,12316561,FAILED,N,PERIODIC,2412 S MICHIGAN AVE,2412,S,MICHIGAN,AVE,16713,,41.84888198,-87.62385141,"(41.84888197590013, -87.62385140455274)"
7083129,05/13/2024,12/06/2023,COMPLIED,05/13/2024,ARRANGE FOR REINSPECTION REGAR,INTERIOR:002 :,"INTERIOR OF BUILDING , NO ENTRY NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00904,14172314,PASSED,N,PERIODIC,1646 N KEDZIE AVE,1646,N,KEDZIE,AVE,5933,,41.91150243,-87.70693535,"(41.91150242853591, -87.70693535309562)"
6709514,04/01/2024,11/15/2021,COMPLIED,04/01/2024,ARRANGE FOR REINSPECTION REGAR,INTERIOR:001 :,"INTERIOR OF BUILDING , NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00904,10553732,FAILED,N,PERIODIC,1425 N MAPLEWOOD AVE,1425,N,MAPLEWOOD,AVE,4996,,41.90740311,-87.69068524,"(41.9074031054638, -87.69068523694365)"
6847132,07/28/2023,09/07/2022,COMPLIED,07/28/2023,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF DEFECTIVE SMOKE ALARM.,451988,13865616,FAILED,N,PERIODIC,1941 W WINNEMAC AVE,1941,W,WINNEMAC,AVE,11673,,41.9731725,-87.6778767,"(41.97317249915606, -87.67787669987796)"
7113401,01/26/2024,01/26/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :1ST FLOOR BARBER SHOP,",REMOVE CEILING TILES FOR ACCESS CEILING FOR INSPECTION. 14A-1-104.7,BL00748,14220603,FAILED,N,COMPLAINT,1537 S PULASKI RD,1537,S,PULASKI,RD,265168,,41.85958562,-87.72482886,"(41.859585624453345, -87.7248288592445)"
6703619,09/30/2024,11/02/2021,COMPLIED,10/01/2024,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING /MOST APARTMENTS - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS.,478976,14262583,FAILED,N,PERIODIC,6833 N KEDZIE AVE,6833,N,KEDZIE,AVE,13880,,42.00561454,-87.70917153,"(42.00561453658591, -87.70917152643794)"
6955763,05/12/2023,05/12/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING /MOST APTS. - NO RESPONSE.  UNVERIFIED DETECTORS AND CONDITIONS. UNVERIFIED COMPLAINT OF RODENT INFESTATION.,282126,11832562,FAILED,N,PERIODIC,1914 W MORSE AVE,1914,W,MORSE,AVE,13787,,42.00780063,-87.67870242,"(42.00780062451796, -87.67870241952052)"
7258001,12/05/2024,12/05/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,"ARRANGE FOR REINSPECTION / UNABLE TO VERIFY INTERIOR CONDITIONS, DETECTORS AND OR PREVIOUS 2023 VIOLATIONS. INSPECTION REQUIRED TO COMPLY VIOLATIONS.",447020,14131867,FAILED,N,PERIODIC,7131 N RIDGE BLVD,7131,N,RIDGE,BLVD,13836,,42.01214708,-87.68287716,"(42.012147076594104, -87.68287715479711)"
7237727,10/22/2024,10/22/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT.,478934,14121285,FAILED,N,PERIODIC,5200 S INGLESIDE AVE,5200,S,INGLESIDE,AVE,18713,,41.80077944,-87.60300094,"(41.800779435127524, -87.60300093820629)"
7099030,01/10/2024,01/10/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,INTERIOR:001 :,"INTERIOR OF BUILDING , NO ENTRY NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS",BL00904,14182138,FAILED,N,COMPLAINT,6225 W GRAND AVE,6225,W,GRAND,AVE,95989,,41.92155092,-87.78161649,"(41.92155091827691, -87.78161649239834)"
7195446,07/24/2024,07/24/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING /APT. 2A - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNVERIFIED COMPLAINT OF BEDBUGS.,282126,10701563,FAILED,N,PERIODIC,6822 N WAYNE AVE,6822,N,WAYNE,AVE,13714,24.0,42.00617903,-87.6651246,"(42.00617902941597, -87.66512459899066)"
7203034,08/13/2024,08/13/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,INTERIOR:002 :,"INTERIOR OF BUILDING , NO ENTRY NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS",BL00904,11950588,FAILED,N,PERIODIC,3743 W ARMITAGE AVE,3743,W,ARMITAGE,AVE,5979,,41.91712368,-87.72097206,"(41.91712368363091, -87.72097206430206)"
6724514,08/28/2024,12/21/2021,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :GENERAL,","NO ENTRY INTO FRONT INTERIOR STAIRWAYS, APARTMENTS OR BASEMENT TO VERIFY EGRESS, CARBON MONOXIDE DETECTORS, SMOKE DETECTORS, INTERIOR STRUCTURAL, COSMETIC OR ENVIRONMENTAL CONDITIONS",371335,13638133,FAILED,N,PERIODIC,7917 S DREXEL AVE,7917,S,DREXEL,AVE,20967,51.0,41.75077111,-87.60259631,"(41.750771114253475, -87.60259631243223)"
5885710,09/30/2024,12/06/2017,COMPLIED,09/30/2024,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING /NO RESPONSE. UNABLE TO VERIFY DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. YARD GATE LOCKED. UNABLE TO INSPECT REAR EXTERIOR PORCHES.,451988,12373843,FAILED,N,PERIODIC,6201 N GLENWOOD AVE,6201,N,GLENWOOD,AVE,12833,,41.99454828,-87.66513561,"(41.99454827607839, -87.66513560657104)"
6647468,07/18/2023,07/21/2021,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :.,",INTERIOR OF BUILDING / MOST APTS. - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNVERIFIED COMPLAINT OF APT.205 - BATHROOM CEILING COMING DOWN.,447020,13579585,FAILED,N,PERIODIC,4800 N MARINE DR,4800,N,MARINE,DR,11510,34.0,41.9691991,-87.64979282,"(41.969199095569586, -87.64979281980263)"
7174499,06/05/2024,06/05/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF ROACH INFESTATION.,451988,11619121,FAILED,N,PERIODIC,4824 N AVERS AVE,4824,N,AVERS,AVE,11923,,41.96904791,-87.72457242,"(41.96904790675652, -87.72457241693554)"
7217522,09/09/2024,09/09/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF UNPERMITTED INTERIOR RENNOVATIONS.,451988,14264127,FAILED,N,PERIODIC,6166 N SHERIDAN RD,6166,N,SHERIDAN,RD,12759,,41.99421884,-87.65566151,"(41.9942188392819, -87.65566151278423)"
7087005,03/08/2023,03/08/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF RODENT INFESTATION.,451988,11678593,FAILED,N,PERIODIC,2631 W GREENLEAF AVE,2631,W,GREENLEAF,AVE,13860,,42.0093274,-87.69620213,"(42.00932740254806, -87.6962021342869)"
7250415,11/14/2024,11/14/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :.,",INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF BED BUG INFESTATION.,451988,12932860,FAILED,N,PERIODIC,4949 N WHIPPLE ST,4949,N,WHIPPLE,ST,11821,60.0,41.97175028,-87.70475888,"(41.97175028030329, -87.70475887847276)"
7224277,09/24/2024,09/24/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,INTERIOR:001 :,"INTERIOR OF BUILDING , NO ENTRY NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00904,12958392,FAILED,N,PERIODIC,1750 N SPAULDING AVE,1750,N,SPAULDING,AVE,22276,,41.91332565,-87.71031714,"(41.913325646641766, -87.71031713835545)"
7058341,10/13/2023,10/13/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,INTERIOR:001 :,"INTERIOR OF BUILDING , NO ENTRY NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00904,14153320,FAILED,N,COMPLAINT,6206 W 55TH ST,6206,W,55TH,ST,563028,,41.79254843,-87.77727619,"(41.79254842563919, -87.77727619076556)"
7136935,03/21/2024,03/21/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,"INTERIOR OF BUILDING - NO RESPONSE, UNABLE TO VERFY DETECTORS AND INTERIOR CONDITIONS.",BL00831,14314420,FAILED,N,COMPLAINT,6727 S ARTESIAN AVE,6727,S,ARTESIAN,AVE,400507,14.0,41.77113486,-87.68449508,"(41.771134860574165, -87.68449507700544)"
7155605,04/20/2024,04/20/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING /NO ENTRY.,282126,13248380,FAILED,N,PERIODIC,2334 S MICHIGAN AVE,2334,S,MICHIGAN,AVE,16688,,41.8500572,-87.62388124,"(41.850057197430516, -87.62388124206016)"
7203839,08/14/2024,08/14/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT OF RODENT INFESTATION.,451988,10995950,FAILED,N,PERIODIC,1235 W NORTH SHORE AVE,1235,W,NORTH SHORE,AVE,13359,54.0,42.00341266,-87.66223051,"(42.00341266080351, -87.66223051363434)"
6793140,07/31/2024,05/14/2022,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,"INTERIOR OF BUILDING - NO RESPONSE TO DWELLING UNITS DOOR INTERCOM SYSTEM AT FRONT GATE NOT WORKING, 1ST FLOOR COMMERCIAL UNITS CLOSED AT TIME OF INSPECTION - UNVERIFIED DETECTORS AND CONDITIONS.",478934,13820587,FAILED,N,PERIODIC,801 W CORNELIA AVE,801,W,CORNELIA,AVE,9016,18.0,41.94535865,-87.64951001,"(41.94535864797623, -87.6495100120242)"
7225003,09/24/2024,09/24/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :BUILDING,","UNABLE TO INSPECT ALL INTERIORS, STAIRWELLS, APARTMENTS, BASEMENT, STOREFRONTS, REAR PREMISES,  REAR PORCHES, AND PREVIOUS VIOLATIONS FROM INSPECTION #13552951.  UNVERIFIED DETECTORS AND CONDITIONS.",BL01000,13944107,FAILED,N,PERIODIC,8248 S EBERHART AVE,8248,S,EBERHART,AVE,20903,,41.74422322,-87.61245543,"(41.74422321722993, -87.61245543308661)"
7214446,09/04/2024,09/04/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM INTERIOR COMPLAINT RODENT INFESTATION.,478934,10936621,FAILED,N,PERIODIC,7909 S NORMAL AVE,7909,S,NORMAL,AVE,21124,32.0,41.75044718,-87.63657164,"(41.75044717513922, -87.63657164241012)"
6940030,09/26/2023,04/11/2023,COMPLIED,09/14/2023,ARRANGE FOR REINSPECTION REGAR,INTERIOR:001 :BL00876,"INTERIOR OF BUILDING , NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00904,14082378,FAILED,N,COMPLAINT,4947 W WALTON ST,4947,W,WALTON,ST,54854,,41.8975995,-87.75018941,"(41.89759949670703, -87.7501894092043)"
6959038,05/22/2023,05/22/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,INTERIOR:002 :,"INTERIOR OF BUILDING ,NO ENTRY  NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS",BL00904,13896561,FAILED,N,PERIODIC,3859 W MAYPOLE AVE,3859,W,MAYPOLE,AVE,1469,,41.88395166,-87.72294418,"(41.883951658839855, -87.72294418275395)"
7017629,08/03/2023,08/03/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :BUILDING,","NO RESPONSE; NO ENTRY.  UNABLE TO INSPECT  INTERIOR, STAIRWELLS, APARTMENTS, BASEMENT, REAR PREMISES, AND REAR PORCHES.  UNVERIFIED DETECTORS AND CONDITIONS.",BL01000,12970535,FAILED,N,PERIODIC,6900 S CLYDE AVE,6900,S,CLYDE,AVE,19976,,41.76973527,-87.57409729,"(41.76973527030794, -87.57409729013571)"
6314267,12/27/2023,07/31/2019,COMPLIED,10/26/2022,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,NO ENTRY TO 6526 1ST TO 3RD FLR. AND 6528 1ST AND 2ND FLR.APARTMENTS.,BL00444,12981421,FAILED,N,COMPLAINT,6528 S GREENWOOD AVE,6528,S,GREENWOOD,AVE,377248,,41.77595972,-87.59989181,"(41.77595971760947, -87.59989181077468)"
6955832,05/12/2023,05/12/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,"INTERIOR OF BUILDING-NO RESPONSE,UNVERIFIED DETECTORS AND CONDITIONS FOR 2023 ANNUAL INSPECTION.",BL00708,11705688,FAILED,N,PERIODIC,2714 W AINSLIE ST,2714,W,AINSLIE,ST,11742,,41.97084553,-87.69692661,"(41.970845528601195, -87.6969266112275)"
6926359,04/24/2023,03/08/2023,COMPLIED,04/24/2023,ARRANGE FOR REINSPECTION REGAR,REAR PORCH,"NO SHOW FOR INSPECTION, BUT PLANS AND PERMIT LEFT AT SITE.  WILL UPDATE IN SYSTEM WHEN ORIGINAL PERMIT IS SIGNED.",371335,14012255,PASSED,N,PERMIT,4634 S WALLACE ST,4634,S,WALLACE,ST,310449,,41.80975278,-87.6408425,"(41.80975277509432, -87.6408424972876)"
7168095,05/23/2024,05/23/2024,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILDING /NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS.5906 /APT.B7 - UNVERIFIED COMPLAINT OF BEDBUGS.,282126,11575753,FAILED,N,PERIODIC,5900 N KENMORE AVE,5900,N,KENMORE,AVE,12420,,41.98919381,-87.65693459,"(41.98919380561558, -87.65693459128155)"
6839193,10/29/2024,08/23/2022,OPEN,,ARRANGE FOR REINSPECTION REGAR,INTERIOR:001 :,"INTERIOR OF BUILDING , NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00904,13858658,FAILED,N,PERIODIC,5911 W FULTON ST,5911,W,FULTON,ST,1656,,41.88549965,-87.77247162,"(41.885499645407414, -87.77247162330394)"
6845146,09/14/2023,08/29/2022,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,INTERIOR OF BUILIDING /MOST APARTMENTS AND COMMERCIAL SPACES NO RESPONSE - UNVERIFIED DETECTORS AND CONDITIONS. UNVERIFIED COMPLAINT OF HOLES IN BATHROOM IN APT 204.,371335,13863593,FAILED,N,PERIODIC,7902 S PAULINA ST,7902,S,PAULINA,ST,21204,,41.75017535,-87.66600692,"(41.75017534473109, -87.66600691783)"
7056878,10/11/2023,10/11/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,"INTERIOR OF BUILDING-NO RESPONSE,UNVERIFIED DETECTORS AND CONDITIONS. UNVERIFIED INTERIOR INSPECTION FOR 2023 ANNUALINSPECIOM.",BL00708,13898953,FAILED,N,PERIODIC,4045 N KEDVALE AVE,4045,N,KEDVALE,AVE,10613,,41.95507501,-87.73073598,"(41.955075007069766, -87.73073597988811)"
