id,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats
222972.0,volkswagen,Volkswagen Tiguan,black,01/2011,2011,10000-20000 EUR,125.0,170.0,Manual,Diesel,"6,6 l/100 km",165 g/km,185000.0,4M DYNAUDIO Leder Navi Pano Kamera AHK,,,,,,,,,,,,,,
54981.0,fiat,Fiat 500,white,03/2019,2019,10000-20000 EUR,51.0,69.0,Manual,Petrol,"5,3 l/100 km",123 g/km,38539.0,1.2 Pop-Star Start & Stop Klima PDC Tempomat,,,,,,,,,,,,,,
32095.0,bmw,BMW 218,brown,12/2014,2014,10000-20000 EUR,100.0,136.0,Manual,Petrol,"4,9 l/100 km",115 g/km,88384.0,TEMPOMAT KLIMA AHK PDC 2 HAND,,,,,,,,,,,,,,
160964.0,peugeot,Peugeot 108,red,03/2018,2018,10000-20000 EUR,51.0,69.0,Manual,Petrol,"4,1 l/100 km",#NAME?,22500.0,108 VTI 68 Style,,,,,,,,,,,,,,
56572.0,fiat,Fiat 500,red,09/2022,2022,10000-20000 EUR,52.0,71.0,Manual,Hybrid,"4,6 l/100 km",106 g/km,99.0,1.0 GSE HYBRID DOLCEVITA NAVI KLIMAAUTOMATIK,,,,,,,,,,,,,,
232266.0,volkswagen,Volkswagen Golf,red,10/2016,2016,10000-20000 EUR,110.0,150.0,Manual,Diesel,"4,9 l/100 km",127 g/km,140000.0,VII Alltrack 4M Pano ACC AHK NAVI R.kamera,,,,,,,,,,,,,,
175398.0,renault,Renault Twingo,white,09/2021,2021,10000-20000 EUR,60.0,82.0,Automatic,Electric,,190 km Reichweite,14000.0,Twingo Electric ZEN,,,,,,,,,,,,,,
60460.0,ford,Ford Ranger,grey,05/2012,2012,10000-20000 EUR,147.0,200.0,Manual,Diesel,"9,7 l/100 km",#NAME?,179000.0,Wildtrak,,,,,,,,,,,,,,
135707.0,nissan,Nissan Juke,black,07/2017,2017,10000-20000 EUR,85.0,116.0,Manual,Petrol,"5,7 l/100 km",128 g/km,75486.0,Acenta NAV KAMERA TEMPOMAT ALU BLUETOOTH DAB KLIMA,,,,,,,,,,,,,,
171620.0,renault,Renault Megane,black,06/2017,2017,10000-20000 EUR,74.0,101.0,Manual,Petrol,"5,4 l/100 km",120 g/km,49400.0,IV Grandtour Life,,,,,,,,,,,,,,
64761.0,ford,Ford Mondeo,white,06/2016,2016,10000-20000 EUR,149.0,203.0,Automatic,Petrol,"7,6 l/100 km",176 g/km,107000.0,Turnier Titanium/ GARANTIE / AUTOMATIK /,,,,,,,,,,,,,,
115496.0,mercedes-benz,Mercedes-Benz Sprinter,blue,04/2015,2015,10000-20000 EUR,95.0,129.0,Manual,Diesel,8 l/100 km,212 g/km,201268.0,II Kasten 214 CDI|AHK|Temp|1.Hd|,,,,,,,,,,,,,,
64224.0,ford,Ford Kuga,black,01/2016,2016,10000-20000 EUR,132.0,179.0,Automatic,Diesel,"5,4 l/100 km",140 g/km,134277.0,2.0 TDCi 4x4 Automatik SYNC Edition *AHK*,,,,,,,,,,,,,,
48771.0,dacia,Dacia Duster,grey,01/2018,2018,10000-20000 EUR,80.0,109.0,Automatic,Diesel,"4,4 l/100 km",115 g/km,90305.0,"1.5dci Black Shadow 4x2,Navi,Klima,PDC",,,,,,,,,,,,,,
204126.0,smart,smart forTwo,black,09/2016,2016,10000-20000 EUR,66.0,90.0,Manual,Petrol,"4,2 l/100 km",97 g/km,58631.0,"coupe, PANO, NAVI, SITZHEIZG, aAC",,,,,,,,,,,,,,
4997.0,audi,Audi A6,black,11/2010,2010,10000-20000 EUR,125.0,170.0,Automatic,Petrol,"8,5 l/100 km",204 g/km,89800.0,Avant 2.0 TFSI 4F Automatik Navi Xenon SD,,,,,,,,,,,,,,
89290.0,kia,Kia Carens,blue,03/2018,2018,10000-20000 EUR,99.0,135.0,Manual,Petrol,"6,5 l/100 km",150 g/km,44866.0,Dream Team 1.6 GDI Navi Sitzheizung,,,,,,,,,,,,,,
190970.0,skoda,Skoda Rapid/Spaceback,black,02/2014,2014,10000-20000 EUR,77.0,105.0,Manual,Petrol,5 l/100 km,119 g/km,78000.0,Active -  T¨¹v Neu - Klima -,,,,,,,,,,,,,,
172859.0,renault,Renault ZOE,white,11/2018,2018,10000-20000 EUR,80.0,109.0,Automatic,Electric,,0 g/km,17864.0,LIFE Z.E. 40 R 110 Batteriemiete/Kauf Navi,,,,,,,,,,,,,,
109678.0,mercedes-benz,Mercedes-Benz CL 63 AMG,black,10/2010,2010,10000-20000 EUR,420.0,571.0,Automatic,Petrol,"10,5 l/100 km",249 g/km,115100.0,W216 FACELIFT PERFORMANCE DRIVER PAKET,,,,,,,,,,,,,,
226907.0,volkswagen,Volkswagen Passat Variant,silver,09/2013,2013,10000-20000 EUR,103.0,140.0,Manual,Diesel,"4,6 l/100 km",120 g/km,115900.0,2.0 TDI BMT Comfortline *AHK*Navi*PDC*SHZ*Tempomat,,,,,,,,,,,,,,
89299.0,kia,Kia Niro,blue,05/2018,2018,10000-20000 EUR,104.0,141.0,Automatic,Hybrid,,#NAME?,132000.0,"Spirit 1,6 Plug-in Hybrid, ACC, R-KAM, LED, LEDER",,,,,,,,,,,,,,
150089.0,opel,Opel Insignia,silver,05/2018,2018,10000-20000 EUR,125.0,170.0,Automatic,Diesel,"5,7 l/100 km",150 g/km,188533.0,B Sports Tourer Business Edition,,,,,,,,,,,,,,
151740.0,opel,Opel Adam,red,07/2019,2019,10000-20000 EUR,64.0,87.0,Manual,Petrol,- (l/100 km),148 g/km,28541.0,1.4 120 Jahre Teilleder IntelliLink Klima,,,,,,,,,,,,,,
30430.0,bmw,BMW 535,black,04/2012,2012,10000-20000 EUR,230.0,313.0,Automatic,Diesel,"5,7 l/100 km",149 g/km,200000.0,xDrive35i Aut.* M-Paket*306PS,,,,,,,,,,,,,,
154163.0,opel,Opel Crossland X,silver,01/2020,2020,10000-20000 EUR,61.0,83.0,Manual,Petrol,"6,6 l/100 km",148 g/km,12500.0,1.2  Selection Radio Klima ZV,,,,,,,,,,,,,,
178905.0,seat,SEAT Ibiza,green,02/2016,2016,10000-20000 EUR,81.0,110.0,Automatic,Petrol,"4,3 l/100 km",99 g/km,96751.0,ST Style AUTOMATIK Navi Freisprech LED,,,,,,,,,,,,,,
226213.0,volkswagen,Volkswagen Golf,red,05/2013,2013,10000-20000 EUR,77.0,105.0,Automatic,Petrol,"4,8 l/100 km",112 g/km,108987.0,Comfortline BMT VII Lim. DSG VW-Scheckheft/1.Hand,,,,,,,,,,,,,,
173210.0,renault,Renault ZOE,grey,12/2019,2019,10000-20000 EUR,51.0,69.0,Automatic,Electric,,316 km Reichweite,16189.0,Z.E. 40 R110 Life zzgl. Batteriemiete *DAB*LED*Nav,,,,,,,,,,,,,,
222181.0,volkswagen,Volkswagen Tiguan,blue,04/2011,2011,10000-20000 EUR,103.0,140.0,Automatic,Diesel,"7,1 l/100 km",#NAME?,150000.0,2.0 TDI DPF 4Motion Automatik Team,,,,,,,,,,,,,,
80414.0,hyundai,Hyundai i10,white,05/2018,2018,10000-20000 EUR,64.0,87.0,Manual,Petrol,"4,9 l/100 km",114 g/km,40000.0,YES! Plus KLIMAANLAGE NAVI SITZHEIZUNG PDC,,,,,,,,,,,,,,
147021.0,opel,Opel Zafira,blue,03/2017,2017,10000-20000 EUR,99.0,135.0,Manual,Diesel,"4,5 l/100 km",119 g/km,119000.0,C Active Start/Stop,,,,,,,,,,,,,,
88085.0,kia,Kia Venga,grey,07/2014,2014,10000-20000 EUR,92.0,125.0,Manual,Petrol,"6,4 l/100 km",148 g/km,69543.0,1.6 Platinum Edition *Pano*AHK*Navi*Kamera*,,,,,,,,,,,,,,
193975.0,skoda,Skoda Octavia,grey,12/2018,2018,10000-20000 EUR,85.0,116.0,Automatic,Diesel,"3,9 l/100 km",102 g/km,103200.0,1.6 TDI CLEVER BUSINESS AMUNDSEN LED,,,,,,,,,,,,,,
64791.0,ford,Ford Fiesta,white,05/2016,2016,10000-20000 EUR,74.0,101.0,Manual,Petrol,"4,5 l/100 km",105 g/km,79990.0,Celebration Navi+SHZ+R¨¹ckfahrkam.+Bluetooth+USB,,,,,,,,,,,,,,
5053.0,audi,Audi A5,black,12/2010,2010,10000-20000 EUR,118.0,160.0,Automatic,Petrol,"7,5 l/100 km",#NAME?,115000.0,A5 Cabrio 1.8 TFSI multitronic,,,,,,,,,,,,,,
146634.0,opel,Opel Meriva,silver,06/2016,2016,10000-20000 EUR,88.0,120.0,Manual,Petrol,"5,9 l/100 km",140 g/km,51950.0,B drive/ Alu/ Klima/ Bluetooth/ nur 51tkm,,,,,,,,,,,,,,
171928.0,renault,Renault Clio,white,05/2017,2017,10000-20000 EUR,66.0,90.0,Manual,Petrol,"4,7 l/100 km",105 g/km,61870.0,IV Limited,,,,,,,,,,,,,,
153064.0,opel,Opel Grandland,blue,11/2020,2020,10000-20000 EUR,96.0,131.0,Manual,Petrol,"6,4 l/100 km",145 g/km,15000.0,1.2 Turbo 2020  RFK SHZ LHZ Teilleder,,,,,,,,,,,,,,
233356.0,volkswagen,Volkswagen Passat Variant,blue,11/2017,2017,10000-20000 EUR,206.0,280.0,Automatic,Petrol,"7,3 l/100 km",167 g/km,204000.0,Passat Var. Highline2.0TSI 4Motion DSG LED AHK,,,,,,,,,,,,,,
34605.0,bmw,BMW 225,grey,04/2016,2016,10000-20000 EUR,170.0,231.0,Automatic,Petrol,,#NAME?,63000.0,320i Touring Sport-Aut.,,,,,,,,,,,,,,
170481.0,renault,Renault Kadjar,black,07/2015,2015,10000-20000 EUR,96.0,131.0,Manual,Diesel,"4,9 l/100 km",129 g/km,80890.0,Bose Edition dCi 130 4x4 AHK,,,,,,,,,,,,,,
196374.0,skoda,Skoda Fabia,red,10/2019,2019,10000-20000 EUR,70.0,95.0,Manual,Petrol,"4,5 l/100 km",103 g/km,29900.0,Monte Carlo (NJ3),,,,,,,,,,,,,,
133782.0,mitsubishi,Mitsubishi Eclipse Cross,bronze,09/2019,2019,10000-20000 EUR,120.0,163.0,Manual,Petrol,,0 g/km,19998.0,1.5 T-MIVEC 2WD Diamant,,,,,,,,,,,,,,
54571.0,fiat,Fiat 500C,white,08/2018,2018,10000-20000 EUR,51.0,69.0,Manual,Petrol,5 l/100 km,147 g/km,37000.0,1.2 8V Start&Stopp Lounge Navi PDC Klima,,,,,,,,,,,,,,
49915.0,dacia,Dacia Duster,black,11/2021,2021,10000-20000 EUR,85.0,116.0,Manual,Diesel,"4,3 l/100 km",112 g/km,29558.0,II 1.5l Blue dCi 115 Prestige *Allwetterreifen*DAB,,,,,,,,,,,,,,
231149.0,volkswagen,Volkswagen Polo,white,05/2015,2015,10000-20000 EUR,55.0,75.0,Manual,Petrol,"4,8 l/100 km",108 g/km,48000.0,1.0 Blue Motion Technology Lounge,,,,,,,,,,,,,,
89726.0,kia,Kia Carens,white,08/2018,2018,10000-20000 EUR,99.0,135.0,Manual,Petrol,"6,5 l/100 km",150 g/km,9000.0,1.6 GDI Edition/PDC/Klima/1.Hand,,,,,,,,,,,,,,
28671.0,bmw,BMW X1,silver,04/2010,2010,10000-20000 EUR,110.0,150.0,Manual,Petrol,"8,2 l/100 km",191 g/km,100000.0,sDrive 18i*Xenon*8Fach bereift*,,,,,,,,,,,,,,
35091.0,bmw,BMW 750,black,07/2016,2016,10000-20000 EUR,330.0,449.0,Automatic,Petrol,,#NAME?,141881.0,Li xDrive*LANG*M-Performance*FACELIFT UMBAU*,,,,,,,,,,,,,,
154416.0,opel,Opel Corsa,orange,01/2020,2020,10000-20000 EUR,55.0,75.0,Manual,Petrol,"5,3 l/100 km",120 g/km,26974.0,F 1.2 EDITION Sitz-u Lenkradheizung,,,,,,,,,,,,,,
234821.0,volkswagen,Volkswagen Caddy,silver,03/2017,2017,10000-20000 EUR,75.0,102.0,Manual,Diesel,"4,1 l/100 km",107 g/km,22342.0,2.0TDI BMEcoProfi NaviKlimaut akt PDC Sitzh,,,,,,,,,,,,,,
171617.0,renault,Renault Kadjar,black,05/2017,2017,10000-20000 EUR,96.0,131.0,Manual,Petrol,"5,9 l/100 km",126 g/km,63679.0,1.2 TCe 131PS Life Klima-Automatik Tempo,,,,,,,,,,,,,,
144219.0,opel,Opel Astra,red,05/2014,2014,10000-20000 EUR,121.0,165.0,Manual,Diesel,"5,8 l/100 km",154 g/km,115636.0,J 2.0 16V DCTI Sports Tourer Exklusiv/Navi,,,,,,,,,,,,,,
240038.0,volkswagen,Volkswagen Passat Variant,white,07/2019,2019,10000-20000 EUR,110.0,150.0,Manual,Diesel,"5,3 l/100 km",139 g/km,122999.0,2.0 TDI BMT Trendline Klima eSP eFe ZV Klima,,,,,,,,,,,,,,
230854.0,volkswagen,Volkswagen Tiguan,silver,02/2015,2015,10000-20000 EUR,118.0,160.0,Automatic,Petrol,"7,1 l/100 km",164 g/km,38754.0,1.4 TSi BMT DSG ~ Klimatr. ~ AHK ~PDC,,,,,,,,,,,,,,
191538.0,skoda,Skoda Octavia,black,11/2015,2015,10000-20000 EUR,135.0,184.0,Manual,Diesel,"4,6 l/100 km",122 g/km,162000.0,RS Combi (5E5),,,,,,,,,,,,,,
76460.0,honda,Honda Civic,brown,09/2014,2014,10000-20000 EUR,104.0,141.0,Manual,Petrol,"6,1 l/100 km",145 g/km,48500.0,1.8 i-VTEC Sport,,,,,,,,,,,,,,
148048.0,opel,Opel Astra,silver,01/2017,2017,10000-20000 EUR,100.0,136.0,Automatic,Diesel,,0 g/km,150500.0,Sports Tourer 1.6 CDTI INNOVATION mit Navi Inkl. I,,,,,,,,,,,,,,
229175.0,volkswagen,Volkswagen Golf Cabriolet,white,01/2014,2014,10000-20000 EUR,90.0,122.0,Manual,Petrol,"6,4 l/100 km",149 g/km,80000.0,Cabrio 1.4 TSI Life,,,,,,,,,,,,,,
74127.0,ford,Ford Fiesta,grey,02/2022,2022,10000-20000 EUR,92.0,125.0,Manual,Petrol,5 l/100 km,114 g/km,7992.0,Titanium 1.0 mHEV LED SYNC3Light,,,,,,,,,,,,,,
204832.0,smart,smart forTwo,white,10/2019,2019,10000-20000 EUR,52.0,71.0,Automatic,Petrol,,#NAME?,58952.0,52 KW twinamic*PANO*SHZG*NAVI*BTH*TEMPOMAT*KLIMAAU,,,,,,,,,,,,,,
184662.0,seat,SEAT Arona,white,09/2020,2020,10000-20000 EUR,85.0,116.0,Automatic,Petrol,5 l/100 km,114 g/km,27955.0,Style (KJ7)1.Hand/Klimaautomatik/SHZ/Tempomat/,,,,,,,,,,,,,,
14474.0,audi,Audi A3,blue,03/2018,2018,10000-20000 EUR,85.0,116.0,Manual,Diesel,"4,2 l/100 km",109 g/km,159000.0,Sportback Sport+BI-XENON+NAVI+PDC+ALU,,,,,,,,,,,,,,
130384.0,mini,MINI One,white,01/2016,2016,10000-20000 EUR,75.0,102.0,Manual,Petrol,"4,8 l/100 km",114 g/km,106503.0,Mini 3-trg. One Metropolitan**PDC**SHZ**Blue,,,,,,,,,,,,,,
78334.0,hyundai,Hyundai i30,red,05/2015,2015,10000-20000 EUR,74.0,101.0,Manual,Petrol,"5,6 l/100 km",133 g/km,150500.0,YES! 1.4 Benzin Schaltgetriebe *Top Zustand*,,,,,,,,,,,,,,
160397.0,peugeot,Peugeot 3008,white,12/2016,2016,10000-20000 EUR,96.0,131.0,Manual,Petrol,"5,1 l/100 km",117 g/km,85000.0,3008 PureTech 130 Stop,,,,,,,,,,,,,,
191685.0,skoda,Skoda Yeti,white,07/2015,2015,10000-20000 EUR,81.0,110.0,Automatic,Petrol,"5,5 l/100 km",130 g/km,64000.0,"1.2 TSI EU6, Edition Green tec",,,,,,,,,,,,,,
230759.0,volkswagen,Volkswagen Passat,silver,05/2015,2015,10000-20000 EUR,110.0,150.0,Manual,Petrol,"4,9 l/100 km",115 g/km,53030.0,"1,4 TSI Comfortline*NAVI*PDC*AHK*SHZ*Tempomat...",,,,,,,,,,,,,,
133594.0,mitsubishi,Mitsubishi Outlander,black,12/2016,2016,10000-20000 EUR,110.0,150.0,Manual,Unknown,,#NAME?,75300.0,2.0 2WD,,,,,,,,,,,,,,
108579.0,mercedes-benz,Mercedes-Benz C 55 AMG,black,10/2009,2009,10000-20000 EUR,270.0,367.0,Automatic,Petrol,"12,3 l/100 km",293 g/km,166000.0,KLIMA  GSD LEDER NAVI BI-XENON 387-PS,,,,,,,,,,,,,,
169774.0,renault,Renault Megane,black,03/2012,2012,10000-20000 EUR,96.0,131.0,Manual,Diesel,"5,1 l/100 km",#NAME?,132000.0,Grandtour dCi 130 FAP Luxe,,,,,,,,,,,,,,
135317.0,nissan,Nissan Juke,grey,03/2016,2016,10000-20000 EUR,85.0,116.0,Manual,Petrol,"5,7 l/100 km",135 g/km,72939.0,1.2 N-Connecta KLIMA SHZ KAMERA NAVI,,,,,,,,,,,,,,
236668.0,volkswagen,Volkswagen Polo,red,06/2018,2018,10000-20000 EUR,147.0,200.0,Automatic,Petrol,"5,9 l/100 km",134 g/km,38066.0,GTI 2.0 16V Navi Discover Media & Kamera + Winterr,,,,,,,,,,,,,,
207180.0,toyota,Toyota C-HR,silver,09/2017,2017,10000-20000 EUR,85.0,116.0,Manual,Petrol,"5,9 l/100 km",135 g/km,24000.0,1.2 Turbo,,,,,,,,,,,,,,
55330.0,fiat,Fiat 500C,green,03/2020,2020,10000-20000 EUR,51.0,69.0,Manual,Petrol,"5,5 l/100 km",#NAME?,37500.0,500 C Lounge Tempomat Carplay,,,,,,,,,,,,,,
72027.0,ford,Ford Focus,silver,06/2020,2020,10000-20000 EUR,88.0,120.0,Manual,Diesel,"3,7 l/100 km",97 g/km,165000.0,Turnier*KLIMA*MFL*SITZHEIZUNG*TEMPOMAT*PDC,,,,,,,,,,,,,,
230724.0,volkswagen,Volkswagen Golf,silver,01/2015,2015,10000-20000 EUR,90.0,122.0,Manual,Petrol,,0 g/km,86316.0,VII 1.4 BlueMotion Comf.,,,,,,,,,,,,,,
9428.0,audi,Audi A6,white,11/2014,2014,10000-20000 EUR,150.0,204.0,Automatic,Diesel,"5,3 l/100 km",140 g/km,141100.0,Lim. 3.0 TDI Bi-Xenon NAVI FINANZIERUNG,,,,,,,,,,,,,,
106124.0,mercedes-benz,Mercedes-Benz ML 320,black,10/2006,2006,10000-20000 EUR,165.0,224.0,Automatic,Diesel,"9,4 l/100 km",#NAME?,198000.0,CDI 4Matic -R¨¹CKFAHRKAMERA / Sportpaket (Black),,,,,,,,,,,,,,
156937.0,opel,Opel Mokka,silver,12/2022,2022,10000-20000 EUR,100.0,136.0,Automatic,Electric,,0 g/km,521.0,-e GS Line NAVI+Rueckfahr Park & Go Sitzhe.,,,,,,,,,,,,,,
232709.0,volkswagen,Volkswagen Golf,silver,11/2016,2016,10000-20000 EUR,92.0,125.0,Automatic,Petrol,"5,1 l/100 km",118 g/km,65600.0,VII 1.4 TSI Highline Xenon GRA Standheizung Navi,,,,,,,,,,,,,,
38292.0,bmw,BMW X1,white,08/2018,2018,10000-20000 EUR,141.0,192.0,Automatic,Petrol,"6,2 l/100 km",141 g/km,53072.0,xDrive20i Adv/Autom/Navi/LED/Sitzhz/PDC,,,,,,,,,,,,,,
78362.0,hyundai,Hyundai TUCSON,black,12/2015,2015,10000-20000 EUR,130.0,177.0,Automatic,Petrol,"7,6 l/100 km",175 g/km,73500.0,Premium 4WD VOLL l LEDER l NAVI l 1.HAND,,,,,,,,,,,,,,
129989.0,mini,MINI Cooper S Paceman,black,06/2014,2014,10000-20000 EUR,135.0,184.0,Manual,Petrol,"6,7 l/100 km",#NAME?,87000.0,COOPER  S Countryman All4  JCW Kit/Navi,,,,,,,,,,,,,,
112449.0,mercedes-benz,Mercedes-Benz E 300,blue,02/2013,2013,10000-20000 EUR,150.0,204.0,Automatic,Diesel Hybrid,"4,1 l/100 km",#NAME?,177000.0,E 400 Coupe 7G-TRONIC,,,,,,,,,,,,,,
232857.0,volkswagen,Volkswagen up!,silver,06/2016,2016,10000-20000 EUR,55.0,75.0,Automatic,Petrol,"4,5 l/100 km",105 g/km,24000.0,ASG move,,,,,,,,,,,,,,
210811.0,toyota,Toyota Aygo X,green,11/2022,2022,10000-20000 EUR,53.0,72.0,Manual,Petrol,"4,7 l/100 km",112 g/km,1000.0,Pulse 1.0*CARPLAY*CAM*TEMPOMAT*KLIMA*,,,,,,,,,,,,,,
61737.0,ford,Ford S-Max,blue,03/2014,2014,10000-20000 EUR,103.0,140.0,Automatic,Diesel,"5,7 l/100 km",149 g/km,190000.0,S-Max 2.0 TDCi DPF Aut. Business Edition,,,,,,,,,,,,,,
49569.0,dacia,Dacia Logan,beige,07/2020,2020,10000-20000 EUR,66.0,90.0,Manual,Petrol,"5,5 l/100 km",126 g/km,68500.0,"MCV 0.9 TCe Stepway *Navi,Klima,PDC*",,,,,,,,,,,,,,
235138.0,volkswagen,Volkswagen Polo,white,03/2017,2017,10000-20000 EUR,66.0,90.0,Manual,Petrol,"4,7 l/100 km",107 g/km,84400.0,Match BMT/Start-Stopp V mit Klima/Navi/PDC/ESP/,,,,,,,,,,,,,,
56569.0,fiat,Fiat 500,red,07/2022,2022,10000-20000 EUR,52.0,71.0,Manual,Hybrid,"4,6 l/100 km",106 g/km,99.0,1.0 GSE HYBRID RED BEATS PDC NAVI KLIMAAUTOMATIK,,,,,,,,,,,,,,
66990.0,ford,Ford Fiesta,grey,03/2018,2018,10000-20000 EUR,92.0,125.0,Manual,Petrol,"4,6 l/100 km",#NAME?,55000.0,Fiesta 1.0 EcoBoost S,,,,,,,,,,,,,,
161629.0,peugeot,Peugeot 208,grey,07/2019,2019,10000-20000 EUR,60.0,82.0,Manual,Petrol,"4,8 l/100 km",109 g/km,47600.0,"Active 1.2 12V VTi PureTech 82 EU6d-T, PDC, Sitzhe",,,,,,,,,,,,,,
228496.0,volkswagen,Volkswagen Golf,black,10/2014,2014,10000-20000 EUR,92.0,125.0,Automatic,Petrol,5 l/100 km,116 g/km,89546.0,VII Cup 1.4 TSI DSG ParkAss. LM 2xKlima PDC,,,,,,,,,,,,,,
110590.0,mercedes-benz,Mercedes-Benz GLK 250,grey,01/2011,2011,10000-20000 EUR,150.0,204.0,Automatic,Diesel,7 l/100 km,183 g/km,195000.0,CDI 4-Matic BE AMG Paket 7G NAVI~XENON~,,,,,,,,,,,,,,
152330.0,opel,Opel Crossland X,silver,05/2019,2019,10000-20000 EUR,61.0,83.0,Manual,Petrol,,0 g/km,71000.0,"Edition 1.2 Benzin, Euro6, Klima",,,,,,,,,,,,,,
9208.0,audi,Audi A3,black,07/2014,2014,10000-20000 EUR,110.0,150.0,Manual,Petrol,"4,7 l/100 km",111 g/km,114302.0,1.4 Sportback~ACC~Leder~Einparkassist~EURO6,,,,,,,,,,,,,,
