symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
ARCC,Ares Capital Corporation Common Stock,$19.84,0.32,1.639%,5030782,14200015744.0,United States,2004.0,Finance: Consumer Services,Finance,/market-activity/stocks/arcc,Telus Corporation,https://en.wikipedia.org/wiki/Telus_Corporation,Public,TSX: T (voting)NYSE: TUS&P/TSX 60 component,"1990; 35 years ago (1990) in Edmonton, Alberta, Canada","510 West Georgia Street, Vancouver, British Columbia, Canada",,Worldwide,Darren Entwistle (president and CEO)Doug French (CFO),,CA$20.116 billion (2023),CA$2.362 billion (2023),CA$867 millions (2023),CA$56.136 billions (2023),,"106,400 (2023)",Telus CommunicationsTelus MobilityTelus HealthTelus DigitalTelus Agriculture,www.telus.com,,,"HSPA+, LTE, 5G",CA87971M1032
VAC,Marriott Vacations Worldwide Corporation Common Stock,$50.79,3.98,8.502%,799240,1758044603.0,United States,,Real Estate,Finance,/market-activity/stocks/vac,Hertz Global Holdings,https://en.wikipedia.org/wiki/Hertz_Global_Holdings,Public,Nasdaq: HTZS&P 600 component,"1918; 107 years ago (1918) in Chicago, Illinois, U.S.","Estero, Florida, U.S.",,,Gil West (CEO)Justin Keppy (COO),,US$9.05 billion (2024),US$−1.2 billion (2024),US$−2.9 billion (2024),US$21.8 billion (2024),US$153 million (2024),"c. 26,000 (2024)",Dollar Rent A CarFirefly Car RentalThrifty Car Rental,hertz.com,Walter L. Jacobs,,,
DAVEW,Dave Inc. Warrants,$0.72,0.02,2.857%,118403,9722939.0,United States,,Finance: Consumer Services,Finance,/market-activity/stocks/davew,BCE Inc.,https://en.wikipedia.org/wiki/BCE_Inc.,Public,TSX: BCENYSE: BCES&P/TSX 60 component,1983; 42 years ago (1983),"Verdun, Quebec, Canada",,,"Mirko Bibic (president & CEO)Glen LeBlanc (CFO & vice chair, Atlantic Canada)",,CA$24.41 billion (2024),CA$10.59 billion (2024),CA$375 million (2024),CA$73.49 billion (2024),CA$17.36 billion (2024),"40,390 (2024)",Bell CanadaBell MediaBell Technical SolutionsMaple Leaf Sports & Entertainment (37.5%)Bell MobilityBell AliantVirgin PlusBell InternetBell Satellite TVBell Fibe TVFibeBell MTSLucky MobileThe Source (2009–2024) (Converted to Best Buy Express)Glentel Inc. (50%)Northwestel Ziply Fiber,bce.ca,,Bell Canada Enterprises Inc. (1983–1988),Fixed line and mobile telephonyInternet servicesDigital televisionRadio broadcastingPrint,
MCB,Metropolitan Bank Holding Corp. Common Stock,$72.95,3.0,4.289%,67204,751239246.0,United States,2017.0,Major Banks,Finance,/market-activity/stocks/mcb,AAR Corp.,https://en.wikipedia.org/wiki/AAR_Corp.,Public,NYSE: AIRS&P 600 component,1951; 74 years ago (1951),"Wood Dale, Illinois, United States",,Worldwide,John Holmes (president & CEO),,US$1.99 billion (2023),,US$90.2 million (2023),US$1.1 billion (2023),US$1.1 billion (2023),"6,000 (2025)",,aarcorp.com,Ira Allen Eichner,,,
PUK,Prudential Public Limited Company Common Stock,$27.74,0.45,1.649%,991493,35640750679.0,United Kingdom,,Life Insurance,Finance,/market-activity/stocks/puk,"Trex Company, Inc.","https://en.wikipedia.org/wiki/Trex_Company,_Inc.",Public company,NYSE: TREXS&P 400 component,August 1996; 29 years ago (1996-08),"Winchester, Virginia, U.S.",,"United States, International",Bryan H. Fairbanks (president and CEO) James E. Cline (Chairman of the Board),,US$ 1.2 billion (2024),US$ 305 million (2024),US$ 226 million (2024),US$ 1.3 million (2024),,"1,838 (December 31, 2024)",,trex.com,,,"decking, railing, fascia, cladding, fencing, fasteners, outdoor lighting",
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,$25.54,0.06,0.235%,13911,37272839934.0,United States,,Major Banks,Finance,/market-activity/stocks/hbanl,Target Corporation,https://en.wikipedia.org/wiki/Target_Corporation,Public company,NYSE: TGTS&P 100 componentS&P 500 component,"June 24, 1902; 123 years ago (1902-06-24) (corporation)May 1, 1962; 63 years ago (1962-05-01) (store)","Target PlazaMinneapolis, Minnesota, U.S.","1,989 stores (2025)","United States, Canada (formerly, see Target Canada)","Brian Cornell(Chairman and CEO)Michael Fiddelke(Incoming CEO, COO)",,US$106.6 billion (2024),US$5.566 billion (2024),US$4.091 billion (2024),US$57.77 billion (2024),US$14.67 billion (2024),"440,000 (2025)",Shipt,target.comcorporate.target.com,Schwanna Ferguson (corporation)Douglas Dayton and John Geisse (store),Goodfellow Dry Goods(1902–1903)Dayton's Dry Goods Company(1903–1910)Dayton Company(1910–1962)Dayton Corporation(1962–1969)Dayton-Hudson Corporation(1969–2000),,
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$17.09,0.13,0.767%,26931,6197277280.0,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acgln,"Trex Company, Inc.","https://en.wikipedia.org/wiki/Trex_Company,_Inc.",Public company,NYSE: TREXS&P 400 component,August 1996; 29 years ago (1996-08),"Winchester, Virginia, U.S.",,"United States, International",Bryan H. Fairbanks (president and CEO) James E. Cline (Chairman of the Board),,US$ 1.2 billion (2024),US$ 305 million (2024),US$ 226 million (2024),US$ 1.3 million (2024),,"1,838 (December 31, 2024)",,trex.com,,,"decking, railing, fascia, cladding, fencing, fasteners, outdoor lighting",
ILLR,Triller Group Inc. Common Stock,$0.4831,0.0413,9.348%,348982,74957708.0,United States,2019.0,Investment Managers,Finance,/market-activity/stocks/illr,Blackstone Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.,Public,NYSE: BXS&P 500 component,1985; 40 years ago (1985),"345 Park AvenueNew York City, U.S.",,,Stephen Schwarzman (chairman and CEO)Jonathan Gray (president and COO)Joseph Baratta (head of private equity)David Blitzer (chairman of tactical opportunities),,US$13.23 billion (2024),,US$2.44 billion (2024),US$43.5 billion (2024),US$8.21 billion (2024),"4,895 (2024)",Blackstone Credit,blackstone.com,Peter PetersonStephen Schwarzman,,Alternative investmentPrivate equity,
FBP,First BanCorp. New Common Stock,$20.16,0.42,2.128%,1295211,3184008368.0,Puerto Rico,,Major Banks,Finance,/market-activity/stocks/fbp,Pony.ai,https://en.wikipedia.org/wiki/Pony.ai,Public,Nasdaq: PONYSEHK: 2026,December 2016; 8 years ago (2016-12),"Guangzhou, Guangdong, China (headquarters as of 2025) Fremont, California, U.S.",,,James Peng (CEO)Tiancheng Lou (CTO),,,,,,,"1,300 (2024)",,pony.ai,James PengTiancheng Lou,,,
GLXY,Galaxy Digital Inc. Class A Common Stock,$23.42,-0.61,-2.538%,13251818,9148093929.0,United States,,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/glxy,Alphabet Inc.,https://en.wikipedia.org/wiki/Alphabet_Inc.,Public,Nasdaq: GOOGL (Class A) Nasdaq: GOOG (Class C) Nasdaq-100 components (A & C) S&P 100 components (A & C) S&P 500 components (A & C),"October 2, 2015; 10 years ago (2015-10-02)","Googleplex, Mountain View, California, United States",,Worldwide,John L. Hennessy (Chairman) Sundar Pichai (CEO) Ruth Porat (President and CIO) Anat Ashkenazi (CFO),,US$350.02 billion (2024),US$112.39 billion (2024),US$100.12 billion (2024),US$450.26 billion (2024),US$325.08 billion (2024),"190,167 (Sept. 2025)",Calico CapitalG Google Google Fiber GV Isomorphic Labs Verily Waymo Wing YouTube,abc.xyz,Larry PageSergey Brin,,,US02079K3059US02079K1079
MBI,MBIA Inc. Common Stock,$7.62,0.21,2.834%,271342,384761430.0,United States,1987.0,Property-Casualty Insurers,Finance,/market-activity/stocks/mbi,Spire Inc.,https://en.wikipedia.org/wiki/Spire_Inc.,Public,NYSE: SRS&P 400 Component,1857 as The Laclede Gas Light Company,"St. Louis, Missouri, United States",,"St. Louis, MissouriKansas City, MissouriBirmingham, AlabamaMontgomery, AlabamaMobile, AlabamaHattiesburg, Mississippi",Steve Lindsey (CEO),Natural gas distribution,US$1.855 billion (Fiscal Year Ended 30 September 2020),US$206.4 million (Fiscal Year Ended 30 September 2020),US$88.6 million (Fiscal Year Ended 30 September 2020),US$8.241 billion (Fiscal Year Ended 30 September 2020),US$2.522 billion (Fiscal Year Ended 30 September 2020),"3,296 (2016)","Alabama Gas Corporation (Alagasco)EnergySouth, Inc.Laclede Gas Company",spireenergy.com,,,Natural gas,
VEL,Velocity Financial Inc. Common Stock,$18.35,-0.08,-0.434%,56747,713815551.0,United States,2020.0,Finance: Consumer Services,Finance,/market-activity/stocks/vel,Fortis Inc.,https://en.wikipedia.org/wiki/Fortis_Inc.,Public,TSX: FTSNYSE: FTSS&P/TSX 60 component,1987; 38 years ago (1987),"St. John's, Newfoundland and Labrador, Canada",,,"David Hutchens, President & CEO",,CA$11.5 billion (2024),CA$3.29 billion (2024),CA$1.83 billion (2024),CA$73.5 billion (2024),CA$23.8 billion (2024),"9,800 (2024)",,www.fortisinc.com,Angus Bruneau,,"Electricity, Natural Gas",
FFWM,First Foundation Inc. Common Stock,$5.32,0.33,6.613%,1002459,440945013.0,United States,,Major Banks,Finance,/market-activity/stocks/ffwm,"Rollins, Inc.","https://en.wikipedia.org/wiki/Rollins,_Inc.",Public,NYSE: ROLS&P 500 component,1948; 77 years ago (1948) (as Rollins Broadcasting),"Atlanta, Georgia, U.S.",,,"John F. Wilson (chairman)Gary Rollins (chairman emeritus)Jerry E. Gahlhoff, Jr. (CEO)",,US$3.39 billion (2024),US$657 million (2024),US$466 million (2024),US$2.82 billion (2024),US$1.33 billion (2024),"20,265 (2024)",OrkinWestern Pest Services,rollins.com,John W. RollinsO. Wayne Rollins,,,
C,Citigroup Inc. Common Stock,$98.70,1.07,1.096%,14357891,176600569893.0,United States,,Major Banks,Finance,/market-activity/stocks/c,Fortis Inc.,https://en.wikipedia.org/wiki/Fortis_Inc.,Public,TSX: FTSNYSE: FTSS&P/TSX 60 component,1987; 38 years ago (1987),"St. John's, Newfoundland and Labrador, Canada",,,"David Hutchens, President & CEO",,CA$11.5 billion (2024),CA$3.29 billion (2024),CA$1.83 billion (2024),CA$73.5 billion (2024),CA$23.8 billion (2024),"9,800 (2024)",,www.fortisinc.com,Angus Bruneau,,"Electricity, Natural Gas",
BMO,Bank Of Montreal Common Stock,$121.17,1.25,1.042%,527766,86794891321.0,Canada,,Commercial Banks,Finance,/market-activity/stocks/bmo,Hanmi Bank,https://en.wikipedia.org/wiki/Hanmi_Bank,Public,Nasdaq: HAFCS&P 600 Component,1982; 43 years ago (1982),"Los Angeles, California, United States",,,Bonnie Lee (president and CEO),,$5.57 billion[citation needed],,,,,611,,hanmi.com,,,,
GDOT,Green Dot Corporation Class A Common Stock $0.001 par value,$11.80,0.85,7.763%,902142,653984473.0,United States,2010.0,Finance: Consumer Services,Finance,/market-activity/stocks/gdot,Black Hills Corporation,https://en.wikipedia.org/wiki/Black_Hills_Corporation,Public,NYSE: BKHS&P 400 component,1941; 84 years ago (1941),"Rapid City, South Dakota, United States",,,"Linden Evans (president, CEO)",,US$1.696 Billion (Fiscal Year Ended 31 December 2020),US$428.303 Million (Fiscal Year Ended 31 December 2020),US$242.763 Million (Fiscal Year Ended 31 December 2020),US$8.088 Billion (Fiscal Year Ended 31 December 2020),US$2.662 Billion (Fiscal Year Ended 31 December 2020),,"Black Hills PowerCheyenne Light, Fuel & PowerBlack Hills EnergyWyodak ResourceBH Exploration and ProductionEnserco Energy",ir.blackhillscorp.com,J. B. French,,,
GAB,Gabelli Equity Trust Inc. (The) Common Stock,$6.01,0.1,1.692%,474122,1765841450.0,United States,1986.0,Investment Managers,Finance,/market-activity/stocks/gab,Brandywine Realty Trust,https://en.wikipedia.org/wiki/Brandywine_Realty_Trust,Public,NYSE: BDNS&P 600 component,1994; 31 years ago (1994),"2929 Arch St., Suite 1800, Philadelphia, Pennsylvania, U.S.",,,"Gerard H. Sweeney, CEO & PresidentMichael J. Joyce, ChairmanThomas E. Wirth, CFO",,US$506 million (2022),,US$53 million (2022),US$3.874 billion (2022),US$1.633 billion (2022),334 (2022),,brandywinerealty.com,,,Office buildings,
ONIT,Onity Group Inc. Common Stock,$43.50,0.94,2.209%,44157,350561019.0,United States,,Finance: Consumer Services,Finance,/market-activity/stocks/onit,Oklo Inc.,https://en.wikipedia.org/wiki/Oklo_Inc.,Public,NYSE: OKLO,2013; 12 years ago (2013),"Santa Clara, California, U.S.",,Worldwide,,,,,,,,100 (2024),,oklo.com,Jacob DeWitte Caroline DeWitte,,Aurora Powerhouse Reactor,
MAIN,Main Street Capital Corporation Common Stock,$55.56,0.05,0.09%,791065,4977483889.0,United States,2007.0,Finance/Investors Services,Finance,/market-activity/stocks/main,Special Metals Corporation,https://en.wikipedia.org/wiki/Special_Metals_Corporation,,,1998; 27 years ago (1998),,,,,,,,,,,590 (1997),,specialmetals.com,,,"Inconel, Incoloy, Monel, Nimonic, Udimet",
TRV,The Travelers Companies Inc. Common Stock,$290.07,2.22,0.771%,1781335,64704005369.0,United States,,Property-Casualty Insurers,Finance,/market-activity/stocks/trv,The J.M. Smucker Company,https://en.wikipedia.org/wiki/The_J.M._Smucker_Company,Public,NYSE: SJMS&P 500 component,1897; 128 years ago (1897),"1 Strawberry Lane, Orrville, Ohio, United States",,Worldwide,"Mark Smucker (chairman, president, and CEO)",,US$8.73 billion (2025),−US$674 million (2025),−US$1.2 billion (2025),US$17.6 billion (2025),US$6.08 billion (2025),"8,000 (2025)",Big Heart Pet BrandsHostess Brands,jmsmucker.com,Jerome Monroe Smucker,,"Consumer foods, pet food, coffee",
WFC,Wells Fargo & Company Common Stock,$83.11,0.71,0.862%,16141382,260889316286.0,United States,,Major Banks,Finance,/market-activity/stocks/wfc,First National Financial Corporation,https://en.wikipedia.org/wiki/First_National_Financial_Corporation,Public,TSX: FN,1988; 37 years ago (1988),"Toronto, Canada",,,"Stephen Smith, Executive Chairman and Co-Founder Jason Ellis, President and Chief Executive Officer Moray Tawse, Senior Executive Vice President and Co-Founder Rob Inglis, Chief Financial Officer",,$2.2 billion (2024),,$203.3 million (2024),,,"1,771 (2024)",First National Financial LP,www.firstnational.ca,Stephen Smith & Moray Tawse,,,
CHCO,City Holding Company Common Stock,$122.11,3.24,2.726%,105336,1759440374.0,United States,,Major Banks,Finance,/market-activity/stocks/chco,Senstar Corporation,https://en.wikipedia.org/wiki/Senstar_Corporation,Public,Nasdaq: SNT,1981,"Ottawa, Canada",,Worldwide,"Fabien Haubert, CEOJeremy Weese, CTOAlicia Kelly, CFOMatthieu Currat, COO",,,,,,,,,www.senstar.com,,,Video management softwarePerimeter intrusion detection systemsNetwork video recordersVideo analyticsAccess control,
PRENW,Prenetics Global Limited Warrant,$0.0264,0.0062,30.693%,4582,344097.0,Hong Kong,,Blank Checks,Finance,/market-activity/stocks/prenw,Blackhawk Network Holdings,https://en.wikipedia.org/wiki/Blackhawk_Network_Holdings,Private,,,"Pleasanton, California, United States",,Global,William Y. Tauscher (executive chairman)Talbott Roche (CEO and president)David McLaughlin (CFO)Nikhil Sathe (CTO),,,,,,,"3,190",,blackhawknetwork.com,,,,
NNI,Nelnet Inc. Common Stock,$127.77,3.03,2.429%,77230,4591175126.0,United States,2003.0,Finance: Consumer Services,Finance,/market-activity/stocks/nni,"Calumet, Inc.","https://en.wikipedia.org/wiki/Calumet,_Inc.",Public,Nasdaq: CLMT,1919,"Indianapolis, Indiana",,,,,,,,,,,,www.calumetspecialty.com,,,Oil and solvents,
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,$13.05,0.31,2.433%,69376,746084382.0,United States,,Life Insurance,Finance,/market-activity/stocks/bhfan,Vistra Corp.,https://en.wikipedia.org/wiki/Vistra_Corp.,Public,NYSE: VSTDJUA componentS&P 500 component,2016; 9 years ago (2016),"Irving, Texas, U.S.",,,Jim Burke (CEO),,US$17.2 billion (2024),US$4.1 billion (2024),,US$37.8 billion (2024),,"approx. 6,850 (December 2024)",TXU EnergyLuminantDynegyHomefield EnergyAmbit EnergyCrius EnergyEnergy Harbor,vistracorp.com,,Vistra Energy Corp.,,
CZWI,Citizens Community Bancorp Inc. Common Stock,$16.72,0.14,0.844%,24535,161510936.0,United States,2006.0,Savings Institutions,Finance,/market-activity/stocks/czwi,StoneX Group Inc.,https://en.wikipedia.org/wiki/StoneX_Group_Inc.,Public,Nasdaq: SNEXS&P 600 Component,1924; 101 years ago (1924),New York,,,Sean O’Connor (CEO)Bill Dunaway (CFO)Stuart Davison (COO),,US$64.38 billion (2023)[citation needed],,US$234.8 million (2023),,,"4,000 (2024)",,www.stonex.com/en/,,INTL FCStone,,
BLX,Banco Latinoamericano de Comercio Exterior S.A.,$44.58,0.68,1.549%,123715,1640134756.0,Panama,1992.0,Commercial Banks,Finance,/market-activity/stocks/blx,Digital World Acquisition Corp.,https://en.wikipedia.org/wiki/Digital_World_Acquisition_Corp.,Public,Nasdaq: DWAC (2021–2024),11 December 2020; 4 years ago (2020-12-11),,,,,,,,,,,,,dwacspac.com,,,,
CRVL,CorVel Corp. Common Stock,$73.85,2.16,3.013%,201784,3784587184.0,United States,,Specialty Insurers,Finance,/market-activity/stocks/crvl,AAR Corp.,https://en.wikipedia.org/wiki/AAR_Corp.,Public,NYSE: AIRS&P 600 component,1951; 74 years ago (1951),"Wood Dale, Illinois, United States",,Worldwide,John Holmes (president & CEO),,US$1.99 billion (2023),,US$90.2 million (2023),US$1.1 billion (2023),US$1.1 billion (2023),"6,000 (2025)",,aarcorp.com,Ira Allen Eichner,,,
APLD,Applied Digital Corporation Common Stock,$21.09,-0.28,-1.31%,36748495,5898575104.0,United States,2022.0,Finance: Consumer Services,Finance,/market-activity/stocks/apld,Parsons Corporation,https://en.wikipedia.org/wiki/Parsons_Corporation,Public,NYSE: PSNS&P 400 component,"1944; 81 years ago (1944) in California, United States (as Ralph M. Parsons Company)","Chantilly, Virginia, U.S.",,Worldwide,"Carey Smith (CEO, chair and president)",,US$6.75 billion (2024),US$428 million (2024),US$235 million (2024),US$5.49 billion (2024),US$2.53 billion (2024),"19,600 (2024)",,parsons.com,Ralph M. Parsons,,,
EBMT,Eagle Bancorp Montana Inc. Common Stock,$16.35,0.25,1.553%,27447,130018094.0,United States,2010.0,Major Banks,Finance,/market-activity/stocks/ebmt,"Strategic Education, Inc.","https://en.wikipedia.org/wiki/Strategic_Education,_Inc.",Public,Nasdaq: STRAS&P 600 component,,"Herndon, Virginia, U.S.",,,Robert S. Silberman(executive chairman)Karl McDonnell (CEO)Daniel W. Jackson (CFO),Online education,"US$ 1,027,700,000 (2020)","US$ 94,400,000 (2020)","US$ 39,300,000 (2020)",,,"3,076 (2019)",,strategiceducation.com,,,,
FIBK,First Interstate BancSystem Inc. Common Stock (DE),$31.42,0.82,2.68%,976713,3232823092.0,United States,2010.0,Major Banks,Finance,/market-activity/stocks/fibk,BCE Inc.,https://en.wikipedia.org/wiki/BCE_Inc.,Public,TSX: BCENYSE: BCES&P/TSX 60 component,1983; 42 years ago (1983),"Verdun, Quebec, Canada",,,"Mirko Bibic (president & CEO)Glen LeBlanc (CFO & vice chair, Atlantic Canada)",,CA$24.41 billion (2024),CA$10.59 billion (2024),CA$375 million (2024),CA$73.49 billion (2024),CA$17.36 billion (2024),"40,390 (2024)",Bell CanadaBell MediaBell Technical SolutionsMaple Leaf Sports & Entertainment (37.5%)Bell MobilityBell AliantVirgin PlusBell InternetBell Satellite TVBell Fibe TVFibeBell MTSLucky MobileThe Source (2009–2024) (Converted to Best Buy Express)Glentel Inc. (50%)Northwestel Ziply Fiber,bce.ca,,Bell Canada Enterprises Inc. (1983–1988),Fixed line and mobile telephonyInternet servicesDigital televisionRadio broadcastingPrint,
FITBI,Fifth Third Bancorp Depositary Shares,$25.59,0.07,0.274%,32885,16915291169.0,United States,,Major Banks,Finance,/market-activity/stocks/fitbi,MGIC Investment Corporation,https://en.wikipedia.org/wiki/MGIC_Investment_Corporation,Public,NYSE: MTGS&P 400 component,1957,"Milwaukee, Wisconsin, U.S.",,,,,,,,,,,,www.mgic.com,Max H. Karl,,,
