title,release_year,artists,genres,region,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Female Blues Singers Volume S/T (1921-1930),1991.0,Various,Blues,Austria,,,,,,,,,,,,,,,,,,
Permanent Record,,Robin Banks (11),Blues,US,,,,,,,,,,,,,,,,,,
Luther Tucker & The Ford Blues Band,1995.0,Luther Tucker; The Ford Blues Band,Blues,Germany,,,,,,,,,,,,,,,,,,
Soulmates,2021.0,Usama Allati,Blues,,,,,,,,,,,,,,,,,,,
I Can Go Down,1966.0,Jimmy Powell And The 5 Dimensions,Blues,Germany & Switzerland,,,,,,,,,,,,,,,,,,
Big Easy EP,1998.0,Dr. Will's Gangsters Of Love,Blues,Germany,,,,,,,,,,,,,,,,,,
Guitar Hot Shots,2006.0,Various,Blues,US,,,,,,,,,,,,,,,,,,
The Best Of Timi Yuro,1963.0,Timi Yuro,Blues,Italy,,,,,,,,,,,,,,,,,,
Everyday I Have The Blues - The Best Of B.B. King,2013.0,B.B. King,Blues,UK,,,,,,,,,,,,,,,,,,
Lonesome Flight,2010.0,Steve Freund,Blues,US,,,,,,,,,,,,,,,,,,
Dancing In The Street / In The Midnight Hour,,Martha Reeves,Blues,France,,,,,,,,,,,,,,,,,,
Dyna-Mite,2018.0,Jon Cleary,Blues,,,,,,,,,,,,,,,,,,,
"""The Rockin' Man"" Sings His Early Stuff!",,Jimmy McCracklin,Blues,,,,,,,,,,,,,,,,,,,
River Hip Mama / How Can You Love Me,1946.0,Washboard Sam And His Washboard Band,Blues,US,,,,,,,,,,,,,,,,,,
Be Faithful / Yours Truly,1955.0,Pee Wee Crayton,Blues,US,,,,,,,,,,,,,,,,,,
Standing The Test Of Time,2009.0,Bobby Rush,Blues,US,,,,,,,,,,,,,,,,,,
The Boogiemeisters,1999.0,Axel Zwingenberger; Vince Weber,Blues,Germany,,,,,,,,,,,,,,,,,,
Left Coast Blues,2007.0,The Insomniacs (3),Blues,US,,,,,,,,,,,,,,,,,,
With All My Love / You're For Me,1958.0,The Five Keys,Blues,US,,,,,,,,,,,,,,,,,,
Huntsman Blues / Woman Friend Blues,1938.0,The Red Devil (2),Blues,US,,,,,,,,,,,,,,,,,,
The Gold Collection,1997.0,Muddy Waters,Blues,US,,,,,,,,,,,,,,,,,,
There's Room Enough In Heaven For Us All / Steal Away And Pray,1927.0,Pace Jubilee Singers,Blues,US,,,,,,,,,,,,,,,,,,
Edge Of The World,2010.0,Brandon Sprague Blues Band,Blues,US,,,,,,,,,,,,,,,,,,
I Got What It Takes,1988.0,Koko Taylor,Blues,France,,,,,,,,,,,,,,,,,,
Brothers Live,,Jimmy Johnson (8); Chicago Dave Blues Band,Blues,,,,,,,,,,,,,,,,,,,
The Best Of Bobby Bland,2000.0,Bobby Bland,Blues,US,,,,,,,,,,,,,,,,,,
Rollin On Down The Lane,2012.0,Pete Ross; Susy Sapphire,Blues,Italy,,,,,,,,,,,,,,,,,,
Johnnie Be Back ,,Johnnie Johnson,Blues,US,,,,,,,,,,,,,,,,,,
Bottom Line,1979.0,John Mayall,Blues,Canada,,,,,,,,,,,,,,,,,,
Wandering Endlessly,2020.0,Tony Gee (4),Blues,USA & Canada,,,,,,,,,,,,,,,,,,
Won't Rain In California,1983.0,Sonny Rhodes,Blues,France,,,,,,,,,,,,,,,,,,
"Live At ""1444 Gallery,"" Indianapolis 1959 & The Complete ""77"" LP Recordings 1960",,Scrapper Blackwell; Brooks Berry,Blues,UK,,,,,,,,,,,,,,,,,,
Sky High,2006.0,Blues Incorporated,Blues,UK & Europe,,,,,,,,,,,,,,,,,,
Easy To Love,1976.0,Taj Mahal,Blues,US,,,,,,,,,,,,,,,,,,
Roots And Branches: The Songs Of Little Walter,2019.0,Billy Branch; Sons Of Blues,Blues,US,,,,,,,,,,,,,,,,,,
The Legend Of Elmore James,,Elmore James,Blues,Sweden,,,,,,,,,,,,,,,,,,
Drinkin' Woman / Why Work,1953.0,St. Louis Jimmy And His Band,Blues,US,,,,,,,,,,,,,,,,,,
Why Did You Say Goodbye / Nobody Cares - Nobody Knows,1951.0,Larry Darnell,Blues,US,,,,,,,,,,,,,,,,,,
Blues For Christmas,1970.0,John Lee Hooker,Blues,US,,,,,,,,,,,,,,,,,,
Vi Tar'n Helt Ut,2002.0,Oslo Rhythm & Blues Ensemble,Blues,Norway,,,,,,,,,,,,,,,,,,
"Bye, Bye, Baby / Poor Kelly Blues",1942.0,Big Maceo,Blues,US,,,,,,,,,,,,,,,,,,
Nothin' But The Blues,1977.0,Johnny Winter,Blues,Argentina,,,,,,,,,,,,,,,,,,
Western Union Blues / Lazy Woman Blues,,Lowell Fulson,Blues,US,,,,,,,,,,,,,,,,,,
L.A. Blues Party,,William Clarke,Blues,US,,,,,,,,,,,,,,,,,,
6 Blues Giants Live ! Vol.2,2007.0,Various,Blues,France,,,,,,,,,,,,,,,,,,
Red Hot Love (Oo This Love) / Burnin' Lips,1956.0,Otis Williams & The Charms,Blues,US,,,,,,,,,,,,,,,,,,
Stone Crazy!,2012.0,Buddy Guy,Blues,US,,,,,,,,,,,,,,,,,,
Backwater Blues / Irene,1948.0,Leadbelly,Blues,US,,,,,,,,,,,,,,,,,,
Boom Boom,1992.0,John Lee Hooker,Blues,UK,,,,,,,,,,,,,,,,,,
Basket Full Of Blues,1992.0,Jeannie & Jimmy Cheatham; The Sweet Baby Blues Band,Blues,US,,,,,,,,,,,,,,,,,,
Crusade,1968.0,John Mayall & The Bluesbreakers,Blues,France,,,,,,,,,,,,,,,,,,
Halfway To Memphis,2001.0,David Gogo,Blues,Canada,,,,,,,,,,,,,,,,,,
Sliding Steel,2017.0,The Turner Brown Band,Blues,Australia,,,,,,,,,,,,,,,,,,
Black Bayou,2023.0,Robert Finley,Blues,,,,,,,,,,,,,,,,,,,
Not The Same,2005.0,Mike & The Mellotones,Blues,Netherlands,,,,,,,,,,,,,,,,,,
College Blues / Good Night,1930.0,Troy Ferguson (2); Troy Ferguson (2); Jesse Thomas (10),Blues,US,,,,,,,,,,,,,,,,,,
In Session,2013.0,East City Blues Band,Blues,Finland,,,,,,,,,,,,,,,,,,
Gee / My Imagination,1990.0,The Moonglows,Blues,US,,,,,,,,,,,,,,,,,,
Rarities In Concert ,1991.0,Stevie Ray Vaughan,Blues,Italy,,,,,,,,,,,,,,,,,,
A Fifth Of Good Whiskey Blues - A Collection Of Contemporary Blues Songs From The State Of Tennessee Vol. 5,1998.0,Various,Blues,Germany,,,,,,,,,,,,,,,,,,
London Re-Visited,1993.0,Howlin' Wolf,Blues,UK,,,,,,,,,,,,,,,,,,
If The Blues Was Whiskey / We're Gonna' Ball This Mornin',1952.0,Sammy Cotton; Freddie Mitchell Orchestra,Blues,US,,,,,,,,,,,,,,,,,,
Greatest Hits,1994.0,Big Joe Turner,Blues,UK,,,,,,,,,,,,,,,,,,
Live From Chicago! Bigger Than Life!!,1987.0,Big Twist And The Mellow Fellows,Blues,Canada,,,,,,,,,,,,,,,,,,
The Scratch,1990.0,The Groovetones,Blues,Netherlands,,,,,,,,,,,,,,,,,,
Frozen Alive!,1981.0,Albert Collins,Blues,Germany,,,,,,,,,,,,,,,,,,
Stories,2002.0,John Mayall & The Bluesbreakers,Blues,Germany,,,,,,,,,,,,,,,,,,
Southern Dream / Love You For Myself,1949.0,Sonny Boy Williamson,Blues,US,,,,,,,,,,,,,,,,,,
The Earthshaker,1989.0,Koko Taylor,Blues,US,,,,,,,,,,,,,,,,,,
Yes You Do - Yes You Do / Don't Worry Me,1952.0,Paul Gayten & His Orchestra,Blues,US,,,,,,,,,,,,,,,,,,
Dream,,John Littlejohn,Blues,Worldwide,,,,,,,,,,,,,,,,,,
Blues... Where It's At,,Various,Blues,Netherlands,,,,,,,,,,,,,,,,,,
After Blues And Friends,1993.0,After Blues,Blues,Poland,,,,,,,,,,,,,,,,,,
Ground Hog Blues / Louise,1951.0,John Lee Hooker,Blues,US,,,,,,,,,,,,,,,,,,
Live Blues From The Sky,1997.0,Indigenous (2),Blues,US,,,,,,,,,,,,,,,,,,
The Lily,2013.0,Layla Zoe,Blues,Germany,,,,,,,,,,,,,,,,,,
Sidewalk Rain,2011.0,Mark Petersen (6),Blues,,,,,,,,,,,,,,,,,,,
Concert Salle Pleyel,1967.0,Big Bill Broonzy,Blues,France,,,,,,,,,,,,,,,,,,
The Floyd Dixon Collection 1949-62,2018.0,Floyd Dixon,Blues,UK,,,,,,,,,,,,,,,,,,
From Mexico With Love EP,2011.0,Sharon Tandy,Blues,UK,,,,,,,,,,,,,,,,,,
Shroud ,2010.0,Nathaniel Rateliff,Blues,UK & US,,,,,,,,,,,,,,,,,,
The Blues Is A Feeling,2012.0,Dan Klarskov & The Honeydrippers,Blues,Denmark,,,,,,,,,,,,,,,,,,
Best Of John Lee Hooker,1999.0,John Lee Hooker,Blues,Australia,,,,,,,,,,,,,,,,,,
Live In Finland '67,2017.0,The Spencer Davis Group,Blues,UK,,,,,,,,,,,,,,,,,,
Still Called The Blues,1985.0,Johnnie Taylor,Blues,US,,,,,,,,,,,,,,,,,,
The Immortal Mississippi John Hurt,1992.0,Mississippi John Hurt,Blues,France,,,,,,,,,,,,,,,,,,
I'm John Lee Hooker ,2021.0,John Lee Hooker,Blues,UK,,,,,,,,,,,,,,,,,,
Sonny Boy Williamson & The Yardbirds,1966.0,Sonny Boy Williamson (2); The Yardbirds,Blues,South Africa,,,,,,,,,,,,,,,,,,
Blues From The Big Apple,2007.0,Etta James,Blues,Europe,,,,,,,,,,,,,,,,,,
Johnny Puleo And His Harmonica Gang Vol.1,1958.0,Johnny Puleo And His Harmonica Gang,Blues,US,,,,,,,,,,,,,,,,,,
Blues Is Life,1973.0,Lightnin' Hopkins; Brownie McGhee; Sonny Terry,Blues,Canada,,,,,,,,,,,,,,,,,,
Closer To The Blues,2000.0,Barry Levenson; Jake Sampson,Blues,Russia,,,,,,,,,,,,,,,,,,
Wandering Lover / Lima Beans,1951.0,Eddy Ware (And His Band),Blues,US,,,,,,,,,,,,,,,,,,
"Live In Nancy, 1975 Vol. 2",1989.0,Freddie King,Blues,France,,,,,,,,,,,,,,,,,,
Soul's Engines,2004.0,Dwight Mark,Blues,US,,,,,,,,,,,,,,,,,,
The Blues Collection,2000.0,John Lee Hooker,Blues,Germany,,,,,,,,,,,,,,,,,,
Blues For My Baby,1993.0,John Lee Hooker,Blues,US,,,,,,,,,,,,,,,,,,
Aint Got No Home / Crying Over You,1960.0,The Starr's,Blues,US,,,,,,,,,,,,,,,,,,
I Ain't Drunk,1991.0,Geoff Muldaur; The Nite Lites,Blues,Japan,,,,,,,,,,,,,,,,,,
The Boze Bros,,The Boze Bros,Blues,UK,,,,,,,,,,,,,,,,,,
"I Ain't Gonna Play No Second Fiddle, Vol 3",1999.0,Bessie Smith,Blues,UK,,,,,,,,,,,,,,,,,,
The Blues - Martin Scorsese Presents - A Musical Journey,2003.0,Various,Blues,Netherlands,,,,,,,,,,,,,,,,,,
Black Water Blues,2009.0,Nick Barker (2),Blues,Australia,,,,,,,,,,,,,,,,,,
State Of Groove,2017.0,Mama Spanx,Blues,US,,,,,,,,,,,,,,,,,,
After Hours,1987.0,Various,Blues,US,,,,,,,,,,,,,,,,,,
"Sad Days, Lonely Nights",1996.0,Junior Kimbrough,Blues,Japan,,,,,,,,,,,,,,,,,,
I Love You So / Will You Be Mine,1976.0,The Swans (6),Blues,US,,,,,,,,,,,,,,,,,,
Georgia Man / What A Man,1926.0,Teddy Peters (2),Blues,US,,,,,,,,,,,,,,,,,,
Jesus Came At Midnight / In The Garden,,The Kansas City Soul Revivers,Blues,US,,,,,,,,,,,,,,,,,,
The Blues Roots Of Fleetwood Mac,2007.0,Various,Blues,UK,,,,,,,,,,,,,,,,,,
Usin' Man Blues,1993.0,Robert Lucas,Blues,US,,,,,,,,,,,,,,,,,,
Exile,2000.0,Jan Gerfast Voodoo Band,Blues,Germany,,,,,,,,,,,,,,,,,,
"Recorded ""Live"" At Sandy's Jazz Revival, Beverly, Mass.",1980.0,J.B. Hutto & The Houserockers,Blues,US,,,,,,,,,,,,,,,,,,
Groeten Uit Grollo,2004.0,Cuby + Blizzards,Blues,Netherlands,,,,,,,,,,,,,,,,,,
Barbecue Bob,,Barbecue Bob,Blues,Denmark,,,,,,,,,,,,,,,,,,
Take It Home,1979.0,B.B. King,Blues,Portugal,,,,,,,,,,,,,,,,,,
Ramblin' Man,1999.0,Big Daddy Kinsey,Blues,USA & Canada,,,,,,,,,,,,,,,,,,
I Ain't Got No Money / Hello Stranger	,1953.0,Billy Boy Arnold; Bob Carter's Orchestra,Blues,US,,,,,,,,,,,,,,,,,,
Born Under A Bad Sign,1981.0,Johnny Mars,Blues,UK,,,,,,,,,,,,,,,,,,
The Dirty Dozen,1981.0,Speckled Red,Blues,Poland,,,,,,,,,,,,,,,,,,
Ain't No Foolin',1997.0,The Mick Pini Band,Blues,Germany,,,,,,,,,,,,,,,,,,
Wandering Blues / Your Cheatin' Heart,,Bert Keyes & His Trio,Blues,US,,,,,,,,,,,,,,,,,,
Live At The Grand,1999.0,Pat Ramsey; The Blues Disciples,Blues,US,,,,,,,,,,,,,,,,,,
The George Mitchell Collection,2016.0,Houston Stackhouse And Friends,Blues,US,,,,,,,,,,,,,,,,,,
Royal Oaks Blues Café,2013.0,Trudy Lynn; Steve Krase,Blues,US,,,,,,,,,,,,,,,,,,
Wrong Woman Blues / Beautician Blues,1951.0,Roy Brown,Blues,US,,,,,,,,,,,,,,,,,,
New Chapter,2024.0,Bluesnake,Blues,Finland,,,,,,,,,,,,,,,,,,
Briefcase Full Of Blues,1990.0,The Blues Brothers,Blues,Poland,,,,,,,,,,,,,,,,,,
Live At Lupo's Heartbreak Hotel,1988.0,Roomful Of Blues,Blues,Japan,,,,,,,,,,,,,,,,,,
Blues Music Various Artists,2006.0,Various,Blues,US,,,,,,,,,,,,,,,,,,
Kiss Me Twice,2016.0,Blue And Broke,Blues,Belgium,,,,,,,,,,,,,,,,,,
The Rough Guide To Blues Legends: Blind Willie Johnson (Reborn And Remastered),2015.0,Blind Willie Johnson,Blues,Europe,,,,,,,,,,,,,,,,,,
R.I.P. Siegel/Schwall,1980.0,The Siegel-Schwall Band,Blues,Germany,,,,,,,,,,,,,,,,,,
"""Jump, Sister, Jump""",2016.0,Tina Bednoff & The Cocktailers,Blues,Spain,,,,,,,,,,,,,,,,,,
T-Bone Blues,2024.0,T-Bone Walker,Blues,Europe,,,,,,,,,,,,,,,,,,
Heart Blood Ballads,2010.0,United Blues Experience,Blues,Germany,,,,,,,,,,,,,,,,,,
Mississippi,1994.0,Rolf Wikström,Blues,Sweden,,,,,,,,,,,,,,,,,,
Stop Jivin’ Me Mama / Big House Bound,1938.0,Blind Boy Fuller,Blues,US,,,,,,,,,,,,,,,,,,
Blues,1987.0,Moses Rascoe,Blues,US,,,,,,,,,,,,,,,,,,
The Dirty Dozens,1961.0,Speckled Red,Blues,US,,,,,,,,,,,,,,,,,,
Sunny Funny Blues,1980.0,Cooper Terry,Blues,Italy,,,,,,,,,,,,,,,,,,
Unknown British Folk Blues Artists Vol 1 - Unknown Country Blues,1969.0,Martin McNeill; Tich Nightingill,Blues,UK,,,,,,,,,,,,,,,,,,
Shim Sham Shimmy / Drunk Again,2013.0,Champion Jack Dupree,Blues,US,,,,,,,,,,,,,,,,,,
Make Mine A Double,1991.0,Electric Blues Duo,Blues,Europe,,,,,,,,,,,,,,,,,,
Great Rhythm & Blues Oldies,1974.0,Pee Wee Crayton; Pee Wee Crayton,Blues,Japan,,,,,,,,,,,,,,,,,,
Sings Big Blues,,Little Milton,Blues,US,,,,,,,,,,,,,,,,,,
King Of The Guitar Evangelists,2004.0,Blind Willie Johnson,Blues,Europe,,,,,,,,,,,,,,,,,,
Two Big M's,2008.0,Teeny Tucker,Blues,Russia,,,,,,,,,,,,,,,,,,
King Of The Blues 2,1991.0,Blind Blake,Blues,Japan,,,,,,,,,,,,,,,,,,
Complete Recorded Works 1925-1932 In Chronological Order Volume 7 (11 February 1931 To 12 August 1932),1991.0,Lonnie Johnson (2),Blues,Austria,,,,,,,,,,,,,,,,,,
Marva Wright,1994.0,Marva Wright,Blues,Switzerland,,,,,,,,,,,,,,,,,,
Afternoon Mint,2004.0,Trickbag,Blues,Sweden,,,,,,,,,,,,,,,,,,
"Bonbon, Chocolat Et Chewing-Gum / Vogue Boogie",,Les Sept Boogies,Blues,France,,,,,,,,,,,,,,,,,,
Colin James & The Little Big Band 3,2006.0,Colin James And The Little Big Band,Blues,Canada,,,,,,,,,,,,,,,,,,
Beware Of The Dog!,,Hound Dog Taylor & The House Rockers,Blues,France,,,,,,,,,,,,,,,,,,
Three Years Barely Conscious,2022.0,Half Deaf Clatch,Blues,UK,,,,,,,,,,,,,,,,,,
As The Years Go Passing By,,Sons Of Blues,Blues,France,,,,,,,,,,,,,,,,,,
Mississippi Sheiks 1930 (Vol. 1): Mostly New To LP,1985.0,Mississippi Sheiks,Blues,UK,,,,,,,,,,,,,,,,,,
Show-Biz Blues 1968 To 1970 (Volume 2),2002.0,Fleetwood Mac,Blues,US,,,,,,,,,,,,,,,,,,
The Wall,2020.0,D.B. Vojíř,Blues,Czech Republic,,,,,,,,,,,,,,,,,,
Think,1990.0,The Blues Brothers,Blues,Germany,,,,,,,,,,,,,,,,,,
Doing Alright Again,1996.0,Roscoe Chenier,Blues,US,,,,,,,,,,,,,,,,,,
Meditation Blues,2023.0,Half Deaf Clatch,Blues,UK,,,,,,,,,,,,,,,,,,
The Real Folk Blues,1966.0,John Lee Hooker,Blues,US,,,,,,,,,,,,,,,,,,
I'm Here To Stay,2007.0,Sharrie Williams,Blues,Russia,,,,,,,,,,,,,,,,,,
Complete Recorded Works In Chronological Order Volume 4 (1926-1931),1995.0,Rosa Henderson,Blues,Austria,,,,,,,,,,,,,,,,,,
Road Show,1996.0,John Mayall,Blues,Brazil,,,,,,,,,,,,,,,,,,
Millennium Collection,2000.0,B.B. King,Blues,Spain,,,,,,,,,,,,,,,,,,
In Session,2010.0,Albert King; Stevie Ray Vaughan,Blues,US,,,,,,,,,,,,,,,,,,
Long Long Ago / It's Me (Standing In The Need Of Prayer),1955.0,Soul Comforters,Blues,US,,,,,,,,,,,,,,,,,,
Box Top / Walking Down The Aisle,1959.0,Ike Turner's Kings Of Rhythm,Blues,US,,,,,,,,,,,,,,,,,,
I've Got The Yes! We Have No Banana Blues / Oh! Daddy Blues,1923.0,Eva Taylor; Clarence Williams' Blue Five,Blues,US,,,,,,,,,,,,,,,,,,
A Two Faced Man / Bad Weather Blues,1951.0,James Wayne And His Orchestra,Blues,US,,,,,,,,,,,,,,,,,,
Do You Love Me / Nothing Seems Right,1955.0,Young Jessie,Blues,US,,,,,,,,,,,,,,,,,,
Live at Dream Factory,2013.0,Latvian Blues Band,Blues,Latvia,,,,,,,,,,,,,,,,,,
16 Hits,,Howlin' Wolf,Blues,US,,,,,,,,,,,,,,,,,,
All Kinds Of Blues,1968.0,Memphis Slim,Blues,UK,,,,,,,,,,,,,,,,,,
Long John's Blues,1971.0,Long John Baldry; The Hoochie Coochie Men,Blues,Germany,,,,,,,,,,,,,,,,,,
Live In San Francisco,2021.0,Third Rail (3),Blues,,,,,,,,,,,,,,,,,,,
Live For Today,2015.0,Thirsty Perch Blues Band,Blues,UK,,,,,,,,,,,,,,,,,,
R&B Humdingers Volume Eight,2011.0,Various,Blues,UK,,,,,,,,,,,,,,,,,,
American Garden,2018.0,Tom Guerra (2),Blues,US,,,,,,,,,,,,,,,,,,
"Baby, Let's Play House (The Best Of Arthur Gunter)",1995.0,Arthur Gunter,Blues,US,,,,,,,,,,,,,,,,,,
It's Midnight (No Place To Go) / Midnight Whistle,1949.0,Little Willie Littlefield,Blues,US,,,,,,,,,,,,,,,,,,
False Love / If You Don't Love Me,,Frankie Irvin & His Orchestra,Blues,US,,,,,,,,,,,,,,,,,,
Too Late Too Long / All Mixed Up Over You,1952.0,Tampa Red,Blues,US,,,,,,,,,,,,,,,,,,
Go On Go On / You're Jealous ,1960.0,Jivin' Gene,Blues,US,,,,,,,,,,,,,,,,,,
Greatest Hits,,Sarah Vaughan,Blues,US,,,,,,,,,,,,,,,,,,
Gimme Coffee!,2012.0,Herby & The Mudcats,Blues,Austria,,,,,,,,,,,,,,,,,,
I Take It All (Singles Collection),2023.0,The Artwoods,Blues,Europe,,,,,,,,,,,,,,,,,,
Don´t Put My Bizness In The Street / Pink Cadillac,,Paul Bascomb And His Orchestra,Blues,,,,,,,,,,,,,,,,,,,
The Resurrection Of Elmore James,1970.0,Elmore James,Blues,US,,,,,,,,,,,,,,,,,,
"In Chronological Order, Volume 3 (1934-1935)",1991.0,Big Bill Broonzy,Blues,Austria,,,,,,,,,,,,,,,,,,
Cross Me Off Your List / Tea For Two,1952.0,Max Miller And Life Record All Stars,Blues,US,,,,,,,,,,,,,,,,,,
Live Style!,1999.0,Family Style,Blues,Italy,,,,,,,,,,,,,,,,,,
Live In Tuscany,2015.0,Eddie Martin (7); Big Red Radio,Blues,UK,,,,,,,,,,,,,,,,,,
Axis Doom Blues / You Taught Me To Love,1945.0,Johnny Moore's Three Blazers,Blues,US,,,,,,,,,,,,,,,,,,
Steady Rollin' Man,1973.0,Robert Lockwood Jr.,Blues,US,,,,,,,,,,,,,,,,,,
Absolutely The Best,2000.0,LeadBelly,Blues,US,,,,,,,,,,,,,,,,,,
True To Life,1977.0,Ray Charles,Blues,US,,,,,,,,,,,,,,,,,,
Nothing But The Truth,1994.0,Son Seals,Blues,US,,,,,,,,,,,,,,,,,,
The Josh White Stories Vols: I & II,2020.0,Josh White,Blues,Europe,,,,,,,,,,,,,,,,,,
Pinetop Perkins,1995.0,Pinetop Perkins; The Blue Ice Band; Chicago Beau,Blues,US,,,,,,,,,,,,,,,,,,
Ting Ting Boom Scat / A Rolling Heart (Gathers No Love),,Jonesy's Combo,Blues,US,,,,,,,,,,,,,,,,,,
Blues Roots / Chicago - The 1930's,2007.0,Various,Blues,US,,,,,,,,,,,,,,,,,,
Six Silver Strings,,B.B. King,Blues,Germany,,,,,,,,,,,,,,,,,,
Complete Recorded Works In Chronological Order: Volume 1 (16 January To 19 September 1933),,Buddy Moss,Blues,UK,,,,,,,,,,,,,,,,,,
Chicken Leg Chick / Don't Trust A Woman Blues,1948.0,Joe Swift; Red Callender's Quintet,Blues,US,,,,,,,,,,,,,,,,,,
Chess Blues Classics 1947 To 1956,1997.0,Various,Blues,US,,,,,,,,,,,,,,,,,,
Shoot That Thang,2001.0,Super Chikan,Blues,US,,,,,,,,,,,,,,,,,,
New Shoes,2016.0,Michael Van Merwyk,Blues,Germany,,,,,,,,,,,,,,,,,,
Snakes Alive!,1999.0,The Kingsnakes (2),Blues,US,,,,,,,,,,,,,,,,,,
On The Road Again,,Canned Heat,Blues,Australia,,,,,,,,,,,,,,,,,,
Chicago Blues Harmonicas,1991.0,Various,Blues,US,,,,,,,,,,,,,,,,,,
Brownie & Sonny,1969.0,Sonny Terry & Brownie McGhee,Blues,US,,,,,,,,,,,,,,,,,,
Tough,1968.0,Elmore James; John Brim,Blues,New Zealand,,,,,,,,,,,,,,,,,,
Sonny Is King,1990.0,Sonny Terry,Blues,US,,,,,,,,,,,,,,,,,,
Doghouse Daddies,2006.0,Doghouse Daddies,Blues,US,,,,,,,,,,,,,,,,,,
Goin' Down Slow,1961.0,St. Louis Jimmy Oden,Blues,US,,,,,,,,,,,,,,,,,,
Whipbird Lane,2012.0,Glen Heath And The Deep Blue Sea,Blues,Australia,,,,,,,,,,,,,,,,,,
Tasty Blues,1992.0,Little Brother Montgomery,Blues,US,,,,,,,,,,,,,,,,,,
I Am The Blues,1975.0,Willie Dixon,Blues,Japan,,,,,,,,,,,,,,,,,,
Alive & Loose,1995.0,Kenny Wayne (6),Blues,Canada,,,,,,,,,,,,,,,,,,
The Blues Band Official Bootleg Album,1980.0,The Blues Band,Blues,Canada,,,,,,,,,,,,,,,,,,
Chicago Blues Vol. 2 Raisin' Sand,2001.0,Various,Blues,Europe,,,,,,,,,,,,,,,,,,
Rollin' Stone,1985.0,Muddy Waters,Blues,South Africa,,,,,,,,,,,,,,,,,,
Blue Music,2008.0,Bugs Henderson & The Shuffle Kings,Blues,Germany,,,,,,,,,,,,,,,,,,
