Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,At Fault,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,First Harmful Event,Second Harmful Event,Junction,Intersection Type,Road Alignment,Road Condition,Road Division,Latitude,Longitude,Location
MCP2892005Z,190007630,Montgomery County Police,Property Damage Crash,02/16/2019 07:02:00 PM,No,Maryland (State),South,,3.0,North,50.0,FEET,LEVEL,GEORGIA AVE,DENNIS AVE,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,,"ALCOHOL PRESENT, NONE DETECTED",,OTHER VEHICLE,,,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.994373,-77.029778,"(38.994373, -77.029778)"
MCP2438001Z,190013488,Montgomery County Police,Injury Crash,03/23/2019 09:33:00 PM,No,Maryland (State),South,,3.0,North,50.0,FEET,LEVEL,NEW HAMPSHIRE AVE,QUAINT ACRES DR,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,"ALCOHOL PRESENT, N/A",,OTHER VEHICLE,,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.047755,-76.99306833,"(39.047755, -76.99306833)"
MCP26660042,200015613,Montgomery County Police,Property Damage Crash,04/10/2020 01:30:00 PM,No,Maryland (State),North,LEFT TURN LANE,3.0,South,50.0,FEET,LEVEL,GREAT SENECA HWY,MUDDY BRANCH RD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11014787,-77.21706526,"(39.11014787, -77.21706526)"
DD5633002M,190054750,Rockville Police Departme,Property Damage Crash,11/13/2019 03:30:00 PM,No,Maryland (State),East,,4.0,West,200.0,FEET,GRADE DOWNHILL,VEIRS MILL RD,FIRST ST,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08007935,-77.13959986,"(39.08007935, -77.13959986)"
MCP20390051,190006404,Montgomery County Police,Property Damage Crash,02/09/2019 10:28:00 AM,No,Maryland (State),South,,3.0,South,30.0,FEET,HILL UPHILL,CONNECTICUT AVE,ATHERTON DR,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,,,OTHER VEHICLE,,INTERSECTION RELATED,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.06699833,-77.07484667,"(39.06699833, -77.07484667)"
MCP12200096,220047832,Montgomery County Police,Injury Crash,10/31/2022 02:53:00 PM,No,US (State),South,,3.0,North,120.0,FEET,HILL UPHILL,GEORGIA AVE,BURLINGTON AVE,,,,DRIVER,SAME DIR REAR END,CLOUDY,WET,DAYLIGHT,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.9880325,-77.02647783,"(38.9880325, -77.02647783)"
MCP27660041,180040615,Montgomery County Police,Property Damage Crash,08/15/2018 03:20:00 PM,Yes,,,,,,,,,,,"PARKING LOT OF 7 ELEVEN LOCATED AT 14101 GEORGIA AVE, SILVER SPRING, MD 20906",,,DRIVER,SAME DIR REAR END,,,DAYLIGHT,,UNKNOWN,,OTHER VEHICLE,,,,,,,39.08531731,-77.07793962,"(39.08531731, -77.07793962)"
MCP91340013,180065275,Montgomery County Police,Property Damage Crash,12/31/2018 12:32:00 AM,Yes,,,,,,,,,,,PARKING LOT BEHIND 8656 COLESVILLE RD,,,DRIVER,SAME DIR REAR END,CLEAR,,DARK LIGHTS ON,,"N/A, UNKNOWN",,OTHER VEHICLE,,,,,,,38.99770167,-77.028275,"(38.99770167, -77.028275)"
MCP003600C1,190052421,Montgomery County Police,Injury Crash,10/31/2019 01:45:00 PM,No,Interstate (State),South,,2.0,North,100.0,FEET,LEVEL,EISENHOWER MEMORIAL HWY,EXIT FR MSP WEIGH STATION (NB/L),,,,DRIVER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.25988833,-77.30953,"(39.25988833, -77.30953)"
MCP30370033,200023136,Montgomery County Police,Property Damage Crash,06/12/2020 04:59:00 PM,Yes,County,North,,1.0,North,0.0,FEET,,WAYFARER RD,WATKINS MEADOW DR,,,,DRIVER,SAME DIR REAR END,,DRY,DAYLIGHT,NO CONTROLS,ALCOHOL PRESENT,,PARKED VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.19583167,-77.22245333,"(39.19583167, -77.22245333)"
DM8378001D,180056517,Takoma Park Police Depart,Property Damage Crash,11/10/2018 06:45:00 PM,No,Municipality,North,,1.0,North,20.0,FEET,LEVEL,SLIGO MILL RD,SHERIDAN ST,,TAKOMA PARK,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.96911703,-77.00115008,"(38.96911703, -77.00115008)"
MCP2932006M,230057803,Montgomery County Police,Injury Crash,10/01/2023 04:28:00 AM,Yes,Interstate (State),West,,4.0,West,400.0,FEET,LEVEL,CAPITAL BELTWAY,UNIVERSITY BLVD E,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.01546658,-77.00587166,"(39.01546658, -77.00587166)"
MCP27370022,17001713,Montgomery County Police,Property Damage Crash,01/10/2017 09:10:00 PM,No,Maryland (State),East,,1.0,West,15.0,FEET,GRADE DOWNHILL,OLNEY SANDY SPRING RD,MEETING HOUSE RD,,,,DRIVER,SAME DIR REAR END,,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION RELATED,FOUR-WAY INTERSECTION,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.14949167,-77.027255,"(39.14949167, -77.027255)"
EJ78780048,220019441,Gaithersburg Police Depar,Property Damage Crash,05/07/2022 03:10:00 PM,Yes,Maryland (State),East,,3.0,North,0.0,FEET,LEVEL,MONTGOMERY VILLAGE AVE,RUSSELL AVE,,GAITHERSBURG,,DRIVER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,"N/A, UNKNOWN",,OTHER VEHICLE,,,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.15482772,-77.20874492,"(39.15482772, -77.20874492)"
MCP2212003F,180023538,Montgomery County Police,Injury Crash,05/13/2018 02:00:00 PM,No,US (State),North,,3.0,South,200.0,FEET,,COLUMBIA PIKE,TECH RD,,,,DRIVER,SAME DIR REAR END,OTHER,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05699167,-76.969925,"(39.05699167, -76.969925)"
DD5605006C,190016489,Rockville Police Departme,Property Damage Crash,04/09/2019 02:00:00 PM,No,Maryland (State),South,,3.0,North,100.0,FEET,LEVEL,ROCKVILLE PIKE,ROLLINS AVE,,ROCKVILLE,,DRIVER,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.05960333,-77.122418,"(39.05960333, -77.122418)"
MCP137800Q7,190014011,Montgomery County Police,Property Damage Crash,03/26/2019 06:00:00 PM,No,County,North,,2.0,North,150.0,FEET,LEVEL,S WESTLAND DR,SKIDMORE BLVD,,GAITHERSBURG,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,PARKED VEHICLE,PARKED VEHICLE,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.12704,-77.1816,"(39.12704, -77.1816)"
MCP3195001G,200033216,Montgomery County Police,Injury Crash,08/25/2020 02:54:00 PM,No,County,West,,2.0,South,50.0,FEET,LEVEL,CHERRY HILL RD,CALVERTON BLVD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,OTHER VEHICLE,FIXED OBJECT,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.0556275,-76.95414433,"(39.0556275, -76.95414433)"
MCP27840036,17015299,Montgomery County Police,Property Damage Crash,03/25/2017 05:00:00 PM,No,Maryland (State),North,,3.0,South,10.0,FEET,LEVEL,NEW HAMPSHIRE AVE,INTERCOUNTY CONNECTOR,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08795333,-76.99930333,"(39.08795333, -76.99930333)"
MCP1205004M,180051251,Montgomery County Police,Property Damage Crash,10/13/2018 10:20:00 AM,No,Municipality,North,,1.0,North,50.0,FEET,LEVEL,MEADOW LA,LELAND ST,,CHEVY CHASE #4,,DRIVER,SAME DIR REAR END,CLEAR,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,PARKED VEHICLE,,OTHER,,STRAIGHT,,"TWO-WAY, NOT DIVIDED",38.985815,-77.07936333,"(38.985815, -77.07936333)"
MCP3091002V,210037400,Montgomery County Police,Injury Crash,09/22/2021 09:02:00 AM,No,Maryland (State),South,,3.0,South,0.0,FEET,LEVEL,FREDERICK RD,RAMP 8 FR MD 355 SB TO IS 370 WB,,,,DRIVER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,OTHER,,,OTHER VEHICLE,,,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12367133,-77.17942683,"(39.12367133, -77.17942683)"
MCP2608001Z,17509302,Montgomery County Police,Property Damage Crash,05/22/2017 09:16:00 PM,No,US (State),North,,3.0,South,0.1,MILE,LEVEL,COLESVILLE RD,SLIGO CREEK PKWY,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.00725167,-77.02054333,"(39.00725167, -77.02054333)"
EJ7878001B,200015520,Gaithersburg Police Depar,Property Damage Crash,04/09/2020 01:15:00 PM,No,Municipality,North,,2.0,North,100.0,FEET,LEVEL,N SUMMIT AVE,E DIAMOND AVE,,GAITHERSBURG,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,,,OTHER VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.143035,-77.19313,"(39.143035, -77.19313)"
EJ78540021,180019784,Gaithersburg Police Depar,Property Damage Crash,04/22/2018 07:13:00 PM,Yes,,,,,,,,,,,PARKING LOT OF 440 N SUMMIT AVE,,,DRIVER,SAME DIR REAR END,UNKNOWN,,DAYLIGHT,NO CONTROLS,UNKNOWN,,PARKED VEHICLE,,,,,,,39.14858167,-77.18972833,"(39.14858167, -77.18972833)"
MCP9404001L,180035340,Montgomery County Police,Property Damage Crash,07/17/2018 01:29:00 PM,No,Maryland (State),North,,2.0,North,0.0,FEET,LEVEL,GREAT SENECA HWY,KENTLANDS BLVD,,GAITHERSBURG,,DRIVER,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.12361833,-77.23118667,"(39.12361833, -77.23118667)"
MCP32070021,210026145,Montgomery County Police,Property Damage Crash,07/07/2021 05:00:00 PM,Yes,Maryland (State),West,,1.0,North,0.0,MILE,LEVEL,PINEY BRANCH RD,FLOWER AVE,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",38.99883154,-77.00226326,"(38.99883154, -77.00226326)"
DD5624002F,190017496,Rockville Police Departme,Property Damage Crash,04/14/2019 08:50:00 PM,No,Maryland (State),North,,2.0,West,20.0,FEET,LEVEL,VEIRS MILL RD,ROCKVILLE PIKE,,,,DRIVER,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,"ALCOHOL PRESENT, NONE DETECTED",,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION RELATED,FIVE-POINT OR MORE,STRAIGHT,NO DEFECTS,OTHER,39.081465,-77.14542483,"(39.081465, -77.14542483)"
MCP2182001B,180012550,Montgomery County Police,Injury Crash,03/13/2018 08:44:00 AM,No,County,East,,2.0,West,10.0,MILE,HILL CREST,BEL PRE RD,HOMECREST RD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION RELATED,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.09134051,-77.06279933,"(39.09134051, -77.06279933)"
MCP2895002T,230018783,Montgomery County Police,Property Damage Crash,04/19/2023 07:39:00 PM,Yes,Maryland (State),South,,3.0,South,0.0,FEET,LEVEL,GERMANTOWN RD,AIRCRAFT DR,,,,DRIVER,SAME DIR REAR END,,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.18187333,-77.261,"(39.18187333, -77.261)"
MCP2766003N,180018947,Montgomery County Police,Injury Crash,04/18/2018 02:53:00 PM,No,County,South,,2.0,South,0.25,MILE,LEVEL,CONNECTICUT AVE,BEL PRE RD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.09016333,-77.07144667,"(39.09016333, -77.07144667)"
MCP28920060,190007774,Montgomery County Police,Property Damage Crash,02/17/2019 07:32:00 PM,No,Maryland (State),North,,4.0,South,50.0,FEET,LEVEL,GEORGIA AVE,RAMP 4 FR MD 97 NB TO IS 495 EB,,,,DRIVER,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.012005,-77.04138833,"(39.012005, -77.04138833)"
MCP2016006T,230002036,Montgomery County Police,Property Damage Crash,01/13/2023 07:25:00 AM,No,County,North,,2.0,South,10.0,FEET,LEVEL,PARKVALE RD,BALTIMORE RD,,,,DRIVER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,STOP SIGN,NONE DETECTED,,OTHER VEHICLE,,,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.09357167,-77.113075,"(39.09357167, -77.113075)"
MCP2737002G,170519340,Montgomery County Police,Injury Crash,07/15/2017 10:40:00 PM,No,Maryland (State),East,,2.0,East,0.0,FEET,LEVEL,OLNEY SANDY SPRING RD,OLD BALTIMORE RD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,"ALCOHOL PRESENT, NONE DETECTED",,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.14659333,-77.05086667,"(39.14659333, -77.05086667)"
MCP3091000H,180014866,Montgomery County Police,Property Damage Crash,03/26/2018 05:00:00 PM,No,County,East,,2.0,East,0.0,FEET,LEVEL,RANDOLPH RD,GALENA RD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,"N/A, NONE DETECTED",,OTHER VEHICLE,,,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.05408667,-77.09575167,"(39.05408667, -77.09575167)"
MCP2436003L,170514889,Montgomery County Police,Injury Crash,06/21/2017 08:00:00 AM,Yes,Maryland (State),West,,3.0,West,200.0,FEET,LEVEL,UNIVERSITY BLVD E,E FRANKLIN AVE,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,,,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.01282333,-77.00306118,"(39.01282333, -77.00306118)"
MCP3191002Z,210032906,Montgomery County Police,Property Damage Crash,08/23/2021 05:15:00 PM,No,County,North,,3.0,South,0.25,MILE,LEVEL,SHADY GROVE RD,BRIARDALE RD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,,,OTHER VEHICLE,OTHER VEHICLE,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.13147833,-77.16053833,"(39.13147833, -77.16053833)"
DM84470029,170545094,Takoma Park Police Depart,Injury Crash,11/27/2017 07:00:00 AM,No,Maryland (State),West,LEFT TURN LANE,4.0,East,50.0,FEET,LEVEL,ETHAN ALLEN AVE,NEW HAMPSHIRE AVE,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAWN,,"ALCOHOL PRESENT, NONE DETECTED",,OTHER VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",38.975346,-76.994098,"(38.975346, -76.994098)"
DD56070027,170548852,Rockville Police Departme,Property Damage Crash,12/15/2017 10:00:00 PM,No,Maryland (State),East,,3.0,East,50.0,FEET,LEVEL,W MONTGOMERY AVE,HURLEY AVE,,ROCKVILLE,,DRIVER,SAME DIR REAR END,OTHER,ICE,DARK LIGHTS ON,,NONE DETECTED,,OTHER VEHICLE,OTHER VEHICLE,,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08373167,-77.153235,"(39.08373167, -77.153235)"
DD55220035,170506366,Rockville Police Departme,Injury Crash,05/06/2017 11:31:00 PM,Yes,Maryland (State),East,,2.0,West,70.0,FEET,LEVEL,W MONTGOMERY AVE,IN CORP LMTS ROCKVILLE,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,"NONE DETECTED, UNKNOWN",,OTHER VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.08572,-77.17120667,"(39.08572, -77.17120667)"
DM8476000J,190043691,Takoma Park Police Depart,Injury Crash,09/12/2019 01:00:00 PM,No,Maryland (State),South,,3.0,North,0.0,FEET,HILL CREST,NEW HAMPSHIRE AVE,HOLTON LA,,TAKOMA PARK,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",38.98645866,-76.98813988,"(38.98645866, -76.98813988)"
MCP2116009Q,190027817,Montgomery County Police,Property Damage Crash,06/11/2019 09:40:00 AM,No,Maryland (State),West,,2.0,East,0.0,FEET,GRADE DOWNHILL,VEIRS MILL RD,CLAGETT DR,,ROCKVILLE,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.078055,-77.12784167,"(39.078055, -77.12784167)"
