Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Honda,2009,Accord,USED Dealer ad,2009 Honda Accord 8th Gen Luxury Sedan 4dr Auto 5sp 2.4i,USED,Automatic,-,Other,-,-,159159,White / -,"Bass Hill, NSW",-,,,,10000-20000 AUD
Volkswagen,2014,Golf,Hatchback,2014 Volkswagen Golf 90 TSI,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.4 L / 100 km,101565,White / Black,"Hendra, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Mercedes-Benz,2011,E250,Sedan,2011 Mercedes-Benz E250 CGI Avantgarde,USED,Automatic,"4 cyl, 1.8 L",Rear,Premium,7.6 L / 100 km,120209,Silver / Black,"Granville, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2014,X-Trail,SUV,2014 Nissan X-Trail ST (fwd),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,108818,- / -,"Wickham, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Subaru,2011,Impreza,USED Dealer ad,2011 Subaru Impreza R Special Edition,USED,Automatic,-,Other,-,-,85654,White / Grey,"Blacktown, NSW",-,,,,10000-20000 AUD
Subaru,2014,Impreza,Hatchback,2014 Subaru Impreza 2.0I (awd),USED,Manual,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,151835,Blue / Grey,"West Gosford, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Holden,2014,Cruze,Sedan,2014 Holden Cruze Z-Series,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,65108,Grey / -,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Fiat,2017,Doblo,Commercial,2017 Fiat Doblo SWB (low),USED,Automatic,"4 cyl, 1.6 L",Front,Diesel,4.9 L / 100 km,96260,White / Grey,"Hamilton North, NSW",4 cyl,Commercial, 2 Doors, 2 Seats,10000-20000 AUD
Toyota,2012,Hilux,Ute / Tray,2012 Toyota Hilux SR,USED,Manual,"4 cyl, 3 L",Rear,Diesel,8.1 L / 100 km,323542,White / Grey,"Blacktown, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Toyota,2009,Kluger,SUV,2009 Toyota Kluger KX-R (fwd) 7 Seat,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11 L / 100 km,267212,Silver / -,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
BMW,2012,X3,SUV,2012 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6 L / 100 km,109459,Black / -,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2014,2,Hatchback,2014 Mazda 2 NEO Sport,USED,Manual,"4 cyl, 1.5 L",Front,Unleaded,6.4 L / 100 km,34774,Red / -,"Thomastown, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Suzuki,2021,Ignis,SUV,2021 Suzuki Ignis GL,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,4.9 L / 100 km,30935,White / Black,"Nundah, QLD",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Honda,2012,Odyssey,Wagon,2012 Honda Odyssey,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.9 L / 100 km,151000,- / -,"Wollongong, NSW",4 cyl,Wagon, 4 Doors, 7 Seats,10000-20000 AUD
Mazda,2010,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Unleaded,11.5 L / 100 km,110702,Silver / Grey,"Mayfield West, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Kia,2016,Cerato,Sedan,2016 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.1 L / 100 km,140267,Grey / Grey,"Castle Hill, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Mini,2012,Countryman,SUV,2012 Mini Countryman Cooper S,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.5 L / 100 km,103833,Blue / -,"Mayfield West, NSW",4 cyl,SUV, 4 Doors, 4 Seats,10000-20000 AUD
BMW,2007,X5,SUV,2007 BMW X5 3.0SI,USED,Automatic,"6 cyl, 3 L",4WD,Premium,11.7 L / 100 km,207192,Silver / -,"Campbelltown, NSW",6 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Kia,2013,Rondo,Wagon,2013 Kia Rondo Platinum,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,111419,Black / Black,"Brooklyn, VIC",4 cyl,Wagon, 4 Doors, 7 Seats,10000-20000 AUD
Audi,2015,A3,Sedan,2015 Audi A3 1.8 Tfsi Ambition,USED,Automatic,"4 cyl, 1.8 L",Front,Premium,5.6 L / 100 km,159613,Black / Black,"Cabramatta, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2014,X-Trail,SUV,2014 Nissan X-Trail ST-L 7 Seat (fwd),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,164973,White / Grey,"Moorooka, QLD",4 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
Suzuki,2014,Swift,Hatchback,2014 Suzuki Swift GL,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.2 L / 100 km,226000,White / -,"Archerfield, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Subaru,2012,XV,SUV,2012 Subaru XV 2.0I,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,245712,White / Grey,"Ravenhall, VIC",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Isuzu,2018,D-MAX,Ute / Tray,2018 Isuzu D-MAX SX HI-Ride (4X2),USED,Automatic,"4 cyl, 3 L",Rear,Diesel,7.7 L / 100 km,325685,White / -,"Windang, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
MG,2018,6,Hatchback,2018 MG 6 Plus Excite,USED,Automatic,"4 cyl, 1.8 L",Front,Premium,7.8 L / 100 km,65920,Silver / -,"South Bunbury, WA",4 cyl,Hatchback, 4 Doors, 5 Seats,10000-20000 AUD
Mitsubishi,2015,Outlander,SUV,2015 Mitsubishi Outlander XLS (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.6 L / 100 km,138682,White / Grey,"Yallah, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Toyota,2011,Hilux,Ute / Tray,2011 Toyota Hilux Workmate,USED,Manual,"4 cyl, 2.7 L",Rear,Unleaded,11.2 L / 100 km,197212,Blue / Black,"Slacks Creek, QLD",4 cyl,Ute / Tray, 2 Doors, 3 Seats,10000-20000 AUD
Jeep,2013,Grand,SUV,2013 Jeep Grand Cherokee Limited (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,203000,- / -,"Avondale Heights, VIC",6 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Jeep,2011,Grand,Kingz Motors,2011 Jeep Grand Cherokee Laredo,USED,Automatic,-,Other,Premium,-,149108,White / -,"Minchinbury, NSW",-,Wagon,,,10000-20000 AUD
Kia,2014,Sportage,SUV,2014 Kia Sportage SLI (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,8.8 L / 100 km,188808,Bronze / -,"Bellevue, WA",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2016,3,Sedan,2016 Mazda 3 SP25,USED,Manual,"4 cyl, 2.5 L",Front,Unleaded,6.5 L / 100 km,70553,Black / Cloth,"Belconnen, ACT",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
BMW,2008,X5,SUV,2008 BMW X5 3.0SD,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,8.8 L / 100 km,147538,Black / Black,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2014,Navara,Ute / Tray,2014 Nissan Navara ST (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,172899,White / Black,"Wangara, WA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Great,2012,Wall,Ute / Tray,2012 Great Wall V200 (4X2),USED,Manual,"4 cyl, 2 L",Rear,Diesel,8.3 L / 100 km,120074,White / Grey,"Edgeworth, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Honda,2017,Civic,Sedan,2017 Honda Civic VTI,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.4 L / 100 km,103747,Grey / -,"Narellan, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Volkswagen,2015,Jetta,Sedan,2015 Volkswagen Jetta 118 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.2 L / 100 km,126124,Grey / Black,"Fyshwick, ACT",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Audi,2010,A4,Sedan,2010 Audi A4 3.0 TDI Quattro,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6.9 L / 100 km,172195,White / -,"Five Dock, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Toyota,2016,Corolla,Hatchback,2016 Toyota Corolla Ascent Sport,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.1 L / 100 km,85617,Blue / Cloth,"Mile End, SA",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Hyundai,2012,I30,Hatchback,2012 Hyundai I30 Elite 1.6 Crdi,USED,Automatic,"4 cyl, 1.6 L",Front,Diesel,5.6 L / 100 km,213233,Silver / -,"Bentley, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Toyota,2009,Estima,Don Frost Car Sales,2009 Toyota Estima ACR50,USED,Automatic,-,Other,Unleaded,-,112800,White / -,"Arundel, QLD",-,Wagon,,,10000-20000 AUD
Mercedes-Benz,2013,C250,Sedan,2013 Mercedes-Benz C250 Elegance BE,USED,Automatic,"4 cyl, 1.8 L",Rear,Premium,6.8 L / 100 km,123517,Black / -,"Five Dock, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2012,BT-50,Ute / Tray,2012 Mazda BT-50 XTR (4X2),USED,Manual,"5 cyl, 3.2 L",Rear,Diesel,8.4 L / 100 km,180950,White / -,"Smithfield, NSW",5 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
BMW,2012,X1,Mr Car,2012 BMW X1 E84 LCI xDrive20d Wagon 4dr Man 6sp AWD 2.0DT,USED,Automatic,-,Other,Diesel,-,159987,Grey / -,"Rouse Hill, NSW",-,Wagon,,,10000-20000 AUD
Peugeot,2015,308,Mr Car,2015 Peugeot 308 T9 Allure Touring 5dr Spts Auto 6sp 2.0DT,USED,Automatic,-,Other,Unleaded,-,167127,White / -,"Rouse Hill, NSW",-,Hatchback,,,10000-20000 AUD
Audi,2012,A1,Hatchback,2012 Audi A1 1.4 Tfsi Ambition,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.3 L / 100 km,114382,Blue / Cloth,"Lilydale, VIC",4 cyl,Hatchback, 3 Doors, 4 Seats,10000-20000 AUD
Volkswagen,2015,Golf,Hatchback,2015 Volkswagen Golf 110 TDI Highline,USED,Automatic,"4 cyl, 2 L",Front,Diesel,4.9 L / 100 km,167500,Black / -,"St Albans, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Suzuki,2018,Swift,Hatchback,2018 Suzuki Swift GL Navigator,USED,Automatic,"4 cyl, 1.2 L",Front,Unleaded,4.8 L / 100 km,95573,Silver / -,"Liverpool, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Volkswagen,2009,Tiguan,SUV,2009 Volkswagen Tiguan 125 TSI,USED,Automatic,"4 cyl, 2 L",4WD,Premium,9.2 L / 100 km,123040,Silver / Black,"Mordialloc, VIC",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2014,Barina,Hatchback,2014 Holden Barina Spark CD,USED,Manual,"4 cyl, 1.2 L",Front,Unleaded,5.2 L / 100 km,142142,Red / Black,"Ringwood, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Mercedes-Benz,2012,C200,Sedan,2012 Mercedes-Benz C200 CDI BE,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,5.4 L / 100 km,137000,Black / Black,"Strathpine, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2008,Navara,Ute / Tray,2008 Nissan Navara ST-X (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,198000,Grey / -,"Moorabbin, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2012,3,Hatchback,2012 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,67639,Red / Grey,"Castle Hill, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Hyundai,2013,IX35,SUV,2013 Hyundai IX35 SE (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.5 L / 100 km,224493,Grey / -,"Labrador, QLD",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2013,CX-5,SUV,2013 Mazda CX-5 Grand Tourer (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,149666,Silver / -,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2015,Captiva,Taree City Car Sales,2015 Holden Captiva CG 7 LTZ Wagon 7st 5dr Spts Auto 6sp 4x4 3.0i MY15,USED,Automatic,-,Other,-,-,96853,White / -,"Taree, NSW",-,Wagon,,,10000-20000 AUD
BMW,2007,325I,Coupe,2007 BMW 325I,USED,Automatic,"6 cyl, 2.5 L",Rear,Premium,9 L / 100 km,241871,Grey / -,"Osborne Park, WA",6 cyl,Coupe, 2 Doors, 4 Seats,10000-20000 AUD
Suzuki,2018,Baleno,Hatchback,2018 Suzuki Baleno GL,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.4 L / 100 km,64017,Grey / Black,"Gosnells, WA",4 cyl,Hatchback, 4 Doors, 5 Seats,10000-20000 AUD
Hyundai,2012,I20,Hatchback,2012 Hyundai I20 Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.4 L / 100 km,125446,White / -,"Lidcombe, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Toyota,2007,RAV4,SUV,2007 Toyota RAV4 Cruiser (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.6 L / 100 km,205676,White / -,"Blair Athol, SA",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2014,Qashqai,SUV,2014 Nissan Qashqai TI (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,123413,Black / -,"East Maitland, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2008,CX-7,SUV,2008 Mazda CX-7 Luxury (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Premium,11.5 L / 100 km,187840,- / -,"Osborne Park, WA",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Kia,2015,Sportage,SUV,2015 Kia Sportage SI Premium (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.8 L / 100 km,155953,White / -,"Bentley, WA",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Volkswagen,2017,Polo,Hatchback,2017 Volkswagen Polo 66 TSI Trendline,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,4.8 L / 100 km,79037,Silver / Black,"Cannington, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Holden,2015,Cruze,Hatchback,2015 Holden Cruze Equipe,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,84754,Red / -,"Cardiff, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Holden,2016,Cruze,Sedan,2016 Holden Cruze Equipe,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,92565,Red / Black,"Liverpool, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2014,Juke,SUV,2014 Nissan Juke ST (fwd),USED,Automatic,"4 cyl, 1.6 L",Front,Premium,6.3 L / 100 km,116603,Red / Black Cloth,"Pennant Hills, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Hyundai,2013,Veloster,Hatchback,2013 Hyundai Veloster +,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.4 L / 100 km,155244,White / -,"Minchinbury, NSW",4 cyl,Hatchback, 3 Doors, 4 Seats,10000-20000 AUD
Holden,2016,Captiva,SUV,2016 Holden Captiva 7 LS (fwd),USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,9 L / 100 km,1,Blue / -,"Pinelands, NT",4 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
BMW,2011,X1,SUV,2011 BMW X1 Sdrive 20D,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,5.9 L / 100 km,78907,Silver / Black,"Auburn, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2012,CX-9,SUV,2012 Mazda CX-9 Luxury (fwd),USED,Automatic,"6 cyl, 3.7 L",Front,Unleaded,11 L / 100 km,163355,White / Black,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
LDV,2016,V80,Commercial,2016 LDV V80 SWB LOW,USED,Manual,"4 cyl, 2.5 L",Front,Diesel,8.9 L / 100 km,88951,White / Black,"Welshpool, WA",4 cyl,Commercial, 4 Doors, 3 Seats,10000-20000 AUD
Hyundai,2009,I30,Hatchback,2009 Hyundai I30 SX,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.6 L / 100 km,174945,White / -,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Volkswagen,2008,Golf,Hatchback,2008 Volkswagen Golf GTI,USED,Manual,"4 cyl, 2 L",Front,Premium,8.1 L / 100 km,155839,Silver / -,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Mazda,2008,CX-7,SUV,2008 Mazda CX-7 Classic (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Premium,11.5 L / 100 km,160000,Silver / -,"Clontarf, QLD",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2016,Trax,SUV,2016 Holden Trax LTZ,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.9 L / 100 km,151000,White / -,"North Hobart, TAS",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Kia,2016,Picanto,Hatchback,2016 Kia Picanto SI,USED,Automatic,"4 cyl, 1.2 L",Front,Unleaded,5.3 L / 100 km,108364,Silver / -,"Mcgraths Hill, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Ford,2014,Ranger,Melbourne Quality Cars,2014 Ford Ranger XL,USED,Automatic,-,Other,Diesel,-,300903,White / -,"Moorabbin, VIC",-,Ute / Tray,,,10000-20000 AUD
Mazda,2013,2,Hatchback,2013 Mazda 2 Maxx,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.8 L / 100 km,51735,Blue / Grey,"Lidcombe, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Hyundai,2014,I30,Hatchback,2014 Hyundai I30 Premium,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.1 L / 100 km,83257,White / Black,"Ravenhall, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Volkswagen,2016,Tiguan,SUV,2016 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.8 L / 100 km,80771,Beige / -,"Cardiff, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mitsubishi,2016,ASX,SUV,2016 Mitsubishi ASX LS (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,172724,Blue / Cloth,"Kedron, QLD",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
