Source,Company Name,ICB Industry,Admission Date,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd),wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
London,AA PLC,Consumer Discretionary,2014-6-26 0:00,Automobiles and Parts,United Kingdom,Europe,MAIN MARKET,No,141.69,,,,,,,,The AA,https://en.wikipedia.org/wiki/The_AA,,Private limited company,1905 (1905),,"Plant, Basingstoke, England",Automotive services,,£107 million (2020),"7,454 (2017)",£257 million (2020),,TowerBrook Capital PartnersWarburg Pincus,,£995 million (2020),,,,,https://www.theaa.com/
London,ABBEY PLC,Consumer Discretionary,2004-11-16 0:00,Consumer Products and Services,Ireland,Europe,AIM,Yes,323.59,,,,,,,,Abbey National,https://en.wikipedia.org/wiki/Abbey_National,,Subsidiary,1944,,United Kingdom,Financial Services,Lord BurnsChairmanAntónio Horta OsórioChief Executive,,"20,000",,,Santander Group,Banking and Insurance,,Abbey National Treasury ServicesAbbey InternationalCahootCater Allen,,,LSE: ABBY (until 2005) FTSE 100 component (until 2005),www.abbey.com
London,ABCAM PLC,Health Care,2005-11-3 0:00,Health Care,United Kingdom,Europe,AIM,No,3337.11,,,,,,,,Abcam,https://en.wikipedia.org/wiki/Abcam,,Subsidiary,1998; 27 years ago (1998),Jonathan MilnerTony KouzaridesDavid Cleevely,"Cambridge Biomedical Campus, Cambridge, UK",BiotechnologyLife sciences,Markus Lusser (president),£(8.5) million (2022),"1,760 (2022)",£(10.1) million (2022),,Danaher Corporation (2023–present),Research antibodiesKits and assays for biological research,£361.7 million (2022),,"£1,057 million (2022)",£726.9 million (2022),AIM: ABCNasdaq: ABCM,abcam.comabcamplc.com
London,AB DYNAMICS PLC,Industrials,2013-5-22 0:00,Industrial Goods and Services,United Kingdom,Europe,AIM,No,447.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN ASIAN INCOME FUND LTD,Financials,2005-12-20 0:00,Financial Services,Jersey,Europe,MAIN MARKET,No,335.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,Financials,1952-3-24 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,295.08,,,,,,,,Aberdeen Diversified Income and Growth Trust,https://en.wikipedia.org/wiki/Aberdeen_Diversified_Income_and_Growth_Trust,,,,,,,,,,,,,,,,,,,
London,ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,Financials,2009-11-10 0:00,Financial Services,Guernsey,Europe,MAIN MARKET,No,278.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN JAPAN INVESTMENT TRUST PLC,Financials,1998-10-1 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,89.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,Financials,2010-8-16 0:00,Financial Services,Jersey,Europe,MAIN MARKET,No,28.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN NEW DAWN INVESTMENT TRUST PLC,Financials,2013-9-3 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,306.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN NEW INDIA INVESTMENT TRUST PLC,Financials,1994-3-31 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,270.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN NEW THAI INVESTMENT TRUST PLC,Financials,1989-12-22 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,60.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,Financials,1992-8-28 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,58.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN STANDARD ASIA FOCUS PLC,Financials,1995-10-19 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,322.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN STANDARD EQUITY INCOME TRUST PLC,Financials,1991-11-14 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,116.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,Real Estate,2017-12-15 0:00,Real Estate,United Kingdom,Europe,MAIN MARKET,No,256.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ABERFORTH SMALLER COMPANIES TRUST PLC,Financials,1990-12-10 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,769.21,,,,,,,,Aberforth Smaller Companies Trust,https://en.wikipedia.org/wiki/Aberforth_Smaller_Companies_Trust,,Public,30 July 1990; 35 years ago (1990-07-30),,,Investment trust,,,,,,,,,,,,LSE: ASLFTSE 250 Component,Official Webpage
London,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,Financials,2017-7-3 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,80.86,,,,,,,,Aberforth Smaller Companies Trust,https://en.wikipedia.org/wiki/Aberforth_Smaller_Companies_Trust,,Public,30 July 1990; 35 years ago (1990-07-30),,,Investment trust,,,,,,,,,,,,LSE: ASLFTSE 250 Component,Official Webpage
London,"AB ""IGNITIS GRUPE""",Utilities,2020-10-7 0:00,Utilities,Lithuania,Europe,MAIN MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ACCESS INTELLIGENCE PLC,Technology,2005-6-28 0:00,Technology,United Kingdom,Europe,AIM,No,58.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ACCESSO TECHNOLOGY GROUP PLC,Technology,2002-4-24 0:00,Technology,United Kingdom,Europe,AIM,No,113.34,,,,,,,,Accesso,https://en.wikipedia.org/wiki/Accesso,Worldwide,Public,August 2000; 25 years ago (2000-08) (Lo-Q),Leonard Sim,"Berkshire, England","leisure, cultural, entertainment, theme park, technology","Steve Brown (CEO), Andrew Jacobs (CCO), Fern MacDonald (CFO), Bill Russell (Non-Executive Chairman)",US$25.1 million (2018): 3,"406 Seasonal (2018, avg monthly number): 79 518 Non-seasonal (2018, avg monthly number): 79",US$88.2 million (2018): 3,,,,US$118.7 million (2018): 3 [dead link][failed verification],Located in Europe and North America and Australia,US$257.5 million (2018): 55,US$181.5 million (2018): 55,LSE: ACSO,www.accesso.com
London,ACCROL GROUP HOLDINGS PLC,Consumer Staples,2016-6-10 0:00,"Personal Care, Drug and Grocery Stores",United Kingdom,Europe,AIM,No,86.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ACCSYS TECHNOLOGIES PLC,Industrials,2005-10-26 0:00,Construction and Materials,United Kingdom,Europe,AIM,No,151.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ACER INCORPORATED,Technology,1995-11-2 0:00,Technology,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,,,,,,,,,Acer Inc.,https://en.wikipedia.org/wiki/Acer_Inc.,Worldwide,Public,1 August 1976; 49 years ago (1976-08-01) in Taiwan,Stan ShihCarolyn YehLemuel Girma,"Xizhi District, New Taipei, Taiwan",Electronics,Stan Shih (Co-founder and Honorary Chairman) George Huang (Chairman) Jason Chen (CEO and President),NT$6.1 billion (2020),"9,026 (2024 December)",NT$8.9 billion (2020),,,Personal computerssmartphonesserversstoragehandheldsmonitorsLEDsLCDstelevisionsvideo projectorse-business,NT$277.1 billion (2020),"Gateway, Inc.Packard BelleMachines (now-defunct)Escom (now-defunct)",NT$183.9 billion (2020),NT$61.9 billion (2020),TWSE: 2353,acer.com
London,ACORN INCOME FUND LD,Financials,1999-2-11 0:00,Financial Services,Guernsey,Europe,MAIN MARKET,No,73.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ACTIVE ENERGY GROUP PLC,Energy,1997-10-6 0:00,Energy,United Kingdom,Europe,AIM,No,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ACTUAL EXPERIENCE PLC,Technology,2014-2-13 0:00,Technology,United Kingdom,Europe,AIM,No,46.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ADAMAS FINANCE ASIA LIMITED,Financials,2014-2-19 0:00,Financial Services,British Virgin Islands,North America,AIM,Yes,23.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ADAMS PLC,Real Estate,2005-7-26 0:00,Real Estate,Isle of Man,Europe,AIM,No,5.26,,,,,,,,Adams v Cape Industries plc,https://en.wikipedia.org/wiki/Adams_v_Cape_Industries_plc,,,,,,,,,,,,,,,,,,,
London,ADEPT TECHNOLOGY GROUP PLC,Telecommunications,2006-2-15 0:00,Telecommunications,United Kingdom,Europe,AIM,No,58.32,,,,,,,,Omron Adept,https://en.wikipedia.org/wiki/Omron_Adept,,Subsidiary,1983 (1983),,,"Robotics, industrial automation","Rob Cain (CEO), John D. Dulchinos","US$ -410,000 (4Q 2014)",158,"US$ -520,000 (4Q 2014)",,Omron,,US$ 14.3 million (4Q 2014),,US$ 29.609 million (4Q 2014),US$ 20.167 million (4Q 2014),,www.adept.com
London,ADES INTERNATIONAL HOLDING PLC,Energy,2017-5-9 0:00,Energy,United Arab Emirates,Middle East,MAIN MARKET,Yes,306.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ADM ENERGY PLC,Energy,2005-12-16 0:00,Energy,United Kingdom,Europe,AIM,No,5.0,,,,,,,,ADM Capital,https://en.wikipedia.org/wiki/ADM_Capital,,Private,1998; 27 years ago (1998),Chris BotsfordDenys FirthRobert Appleby,Hong Kong,Investment management,Neil Harvey (Chairman),,,,,,Private creditDistressed debtPrivate equity,,ADM Capital FoundationCibus,,,,admcapital.com
London,ADMIRAL GROUP PLC,Financials,2004-9-28 0:00,Insurance,United Kingdom,Europe,MAIN MARKET,No,8159.03,,,,,,,,Admiral Group,https://en.wikipedia.org/wiki/Admiral_Group,,Public,1991; 34 years ago (1991),,"Cardiff, Wales, UK",Insurance,Annette Court (Chairperson)Milena Mondini de Focatiis (CEO),£662.9 million (2024),,£865.7 million (2024),,,,"£4,776.2 million (2024)",,,,LSE: ADMFTSE 100 Component,admiralgroup.co.uk
London,ADRIATIC METALS PLC,Basic Materials,2019-12-12 0:00,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,222.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ADVANCED MEDICAL SOLUTIONS GROUP PLC,Health Care,2002-4-30 0:00,Health Care,United Kingdom,Europe,AIM,No,452.08,,,,,,,,Advanced Energy,https://en.wikipedia.org/wiki/Advanced_Energy,Worldwide,Public,"1981; 44 years ago (1981), in Fort Collins, Colorado",,"Denver, Colorado, US, WW headquarters",thin-film renewables (solar and glass): semiconductorFlat panel display and OEDHigh-brightness LED (HBLED)SolarData storageArchitectural glassIndustrial coatingAnalytical instrumentsMedical equipmentTelecommunications networkAerospaceAutomotiveFood industryIntrinsically safeMetrologyOil and gasPharmaceuticalPlasticsResearch and others,"Steve Kelley (president & CEO)Paul Oldham (executive vice president & CFO)Eduardo Bernal (EVP and COO)Tom McGimpsey (EVP and general counsel)Rory O’Byrne (SVP & chief people officer)Randy Heckman (SVP and CTO)Juergen Braun (SVP, Plasma Power Products)John Donaghey (SVP and global head of sales)Kevin Fairbairn (SVP, corporate development)Peter Gillespie (SVP of strategic and corporate marketing)Emdrem Tan (SVP High Volume Products)John Williams (SVP, industrial and medical products)",US$ 244.8 Million (FY 2022),"~12,000 (end of FY 2022)",US$ $299.5 Million (FY 2022),,,"High and low voltage power systemsthermal measuring instrumentsplasma power generatorsremote plasma sources, electrostatic productsAC-DC and DC-DC power suppliesthyristor power controlsglobal support servicesDigital Thermometers and Temperature Probes & SensorsIntrinsically Safe Test & Measuring InstrumentsHumidity Measurement InstrumentsMicrowave & RF InstrumentsLCR MetersOhmmetersGrounding & Bonding InstrumentsSignal Source & Waveform AmplifiersRatio Standards and Electrical Safety Instruments",US$ 1.85 Billion (FY 2022),SL Power Electronics,"US$ 1,992.2 Million (end of FY 2022)","US$1,066.3 Million (end of FY 2022)",Nasdaq: AEISS&P 600 component,advancedenergy.com
London,ADVANCED ONCOTHERAPY PLC,Health Care,2006-8-4 0:00,Health Care,United Kingdom,Europe,AIM,No,101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ADVANCE ENERGY PLC,Energy,2016-5-16 0:00,Energy,Isle of Man,Europe,AIM,No,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ADVFN PLC,Financials,2000-3-20 0:00,Financial Services,United Kingdom,Europe,AIM,No,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AECI LD,Basic Materials,1938-7-27 0:00,Chemicals,South Africa,Africa,MAIN MARKET,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AEOREMA COMMUNICATIONS PLC,Consumer Discretionary,2002-5-1 0:00,Media,United Kingdom,Europe,AIM,No,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AEW UK REIT PLC,Real Estate,2015-5-12 0:00,Real Estate,United Kingdom,Europe,MAIN MARKET,No,120.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AEX GOLD INC.,Basic Materials,2020-7-31 0:00,Basic Resources,Canada,North America,AIM,Yes,73.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AFARAK GROUP PLC,Basic Materials,2010-7-26 0:00,Basic Resources,Finland,Europe,MAIN MARKET,Yes,50.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AFC ENERGY PLC,Energy,2007-4-24 0:00,Energy,United Kingdom,Europe,AIM,No,116.81,,,,,,,,AFC Energy,https://en.wikipedia.org/wiki/AFC_Energy,,Public,2006 (2006),,"Cranleigh, Surrey, England",Alternative energy,Gary Bullard (Chairman)Adam Bond (CEO),,120+,,,,Fuel cells,£4 million,,,,LSE: AFC,www.afcenergy.com
London,AFH FINANCIAL GROUP PLC,Financials,2014-6-30 0:00,Financial Services,United Kingdom,Europe,AIM,No,128.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AFRICA OPPORTUNITY FUND LIMITED,Financials,2007-7-24 0:00,Financial Services,Cayman Islands,North America,MAIN MARKET,Yes,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AFRITIN MINING LIMITED,Basic Materials,2017-11-9 0:00,Basic Resources,Guernsey,Europe,AIM,No,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AGGREKO PLC,Industrials,1997-9-29 0:00,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET,No,1130.55,,,,,,,,Aggreko,https://en.wikipedia.org/wiki/Aggreko,,Private,1962; 63 years ago (1962),,"Glasgow, Scotland, UK",Generator hire,Mike Smith (chairman)Blair Illingworth (CEO),£(111) million (2020),"6,000 (2022)",£136 million (2020),,,,"£1,365 million (2020)",,,,,www.aggreko.com
London,AGRITERRA LD,Consumer Staples,2009-2-5 0:00,"Food, Beverage and Tobacco",Guernsey,Europe,AIM,No,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AGRONOMICS LIMITED,Health Care,2011-9-15 0:00,Health Care,Isle of Man,Europe,AIM,No,27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AIB GROUP PLC,Financials,2017-12-11 0:00,Banks,Ireland,Europe,MAIN MARKET,Yes,2342.65,,,,,,,,AIB (NI),https://en.wikipedia.org/wiki/AIB_(NI),,Division of AIB Group (UK) plc,1991,,"Belfast, Northern Ireland",,"Adrian Moynihan, Head of AIB – Northern Ireland",,,,,,Various banking products,,,,,,aibni.co.uk
London,AIQ LIMITED,Financials,2018-1-9 0:00,Financial Services,Cayman Islands,North America,MAIN MARKET,Yes,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AIR CHINA LD,Consumer Discretionary,2004-12-15 0:00,Travel and Leisure,China,Asia,MAIN MARKET,Yes,3316.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AIREA PLC,Consumer Discretionary,2005-12-21 0:00,Consumer Products and Services,United Kingdom,Europe,AIM,No,11.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,AIR PARTNER PLC,Consumer Discretionary,1995-11-23 0:00,Travel and Leisure,United Kingdom,Europe,MAIN MARKET,No,41.0,,,,,,,,Air Partner,https://en.wikipedia.org/wiki/Air_Partner,Worldwide,,1961,Tony Mack,"2 City Place, Beehive Ring Road, Gatwick, West Sussex, RH6 0PA United Kingdom",Aviation,Mark Briffa (CEO),,,,,Wheels Up,,,,,,,Official website
London,AIRTEL AFRICA PLC,Telecommunications,2019-6-28 0:00,Telecommunications,United Kingdom,Europe,MAIN MARKET,No,2318.78,,,,,,,,Airtel Africa,https://en.wikipedia.org/wiki/Airtel_Africa,Africa,Public,8 June 2010; 15 years ago (2010-06-08),,"London, England",Telecommunications,Sunil Bharti Mittal (chairman)Sunil Taldar (CEO),$(0.089) billion (2024),,$1.640 billion (2024),,Bharti Airtel (67.2%),Mobile TelephonyMobile phoneBroadbandInternet Services,$5.000 billion (2024),Airtel ChadAirtel CongoAirtel DRCAirtel GabonAirtel KenyaAirtel MadagascarAirtel MalawiAirtel NigerAirtel NigeriaAirtel RwandaAirtel SeychellesAirtel TanzaniaAirtel UgandaAirtel Zambia,$9.861 billion (2024),$2.160 billion (2024),LSE: AAFNGX: AIRTELAFRIFTSE 100 Constituent,airtel.africa
London,AJ BELL PLC,Financials,2018-12-7 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,1722.71,,,,,,,,AJ Bell,https://en.wikipedia.org/wiki/AJ_Bell,,Public limited company,"1995 (1995) in Manchester, United Kingdom",Andrew James BellNicholas Littlefair,"Salford, United Kingdom, M5 3EE",Financial services,Fiona Clutterbuck (Chairman)Michael Summersgill (Chief Executive),£84.3 million (2024),"1,421 (2024)",£107.3 million (2024),,,SIPPISASSAS,£269.4 million (2024),,£288.9 million (2024),£204.0 million (2024),LSE: AJBFTSE 250 component,ajbell.co.uk
London,ALBA MINERAL RESOURCES PLC,Basic Materials,2005-4-4 0:00,Basic Resources,United Kingdom,Europe,AIM,No,27.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALBION DEVELOPMENT VCT PLC,Financials,1999-1-27 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALBION ENTERPRISE VCT PLC,Financials,2007-4-5 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALBION TECHNOLOGY & GENERAL VCT PLC,Financials,2001-1-17 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,72.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALBION VENTURE CAPITAL TST PLC,Financials,1996-4-4 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,65.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALCENTRA EUROPEAN FLOATING RATE INCOME FUND LIMITED,Financials,2012-3-6 0:00,Financial Services,Guernsey,Europe,MAIN MARKET,No,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.,Energy,2018-10-18 0:00,Energy,Egypt,Middle East,ADMISSION TO TRADING ONLY,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALFA FINANCIAL SOFTWARE HOLDINGS PLC,Technology,2017-5-26 0:00,Technology,United Kingdom,Europe,MAIN MARKET,No,406.8,,,,,,,,Alfa Financial Software,https://en.wikipedia.org/wiki/Alfa_Financial_Software,,Public,1990,,"London, United Kingdom",Information Technology,Andrew Page (Chairman)Andrew Denton (CEO),£15.8 million (2024),,£25.1 million (2024),,,Software,£235.5 million (2024),,,,LSE: ALFA,www.alfasystems.com
London,ALIEN METALS LIMITED,Basic Materials,2006-5-25 0:00,Basic Resources,British Virgin Islands,North America,AIM,Yes,48.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALL ACTIVE ASSET CAPITAL LIMITED,Financials,2013-5-2 0:00,Financial Services,United Kingdom,Europe,AIM,No,60.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALLERGY THERAPEUTICS PLC,Health Care,2004-10-11 0:00,Health Care,United Kingdom,Europe,AIM,No,82.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALLIANCE PHARMA PLC,Health Care,2015-12-17 0:00,Health Care,United Kingdom,Europe,AIM,No,391.16,,,,,,,,Alliance Boots,https://en.wikipedia.org/wiki/Alliance_Boots,Global,Gesellschaft mit beschränkter Haftung,2007 (Alliance Boots)1849 (Boots)1997 (Alliance UniChem),,"Bern, Switzerland(Registered office)Nottingham, United KingdomWeybridge, United Kingdom(Operational headquarters)",PharmaceuticalsRetailing,Stefano Pessina (Executive Chairman) Aubrey Jackson (CEO - Alliance HealthCare),£805 million (2012/13),"Over 120,000 (2013/14)",,,,"BootsNo7 – skincare and cosmeticsSoltan – Suncaredrug store/pharmacy, other specialty",£23.4 billion (2013/14),Alliance HealthcareBoots UKBoots OpticiansGuangzhou Pharmaceuticals (50%),,,,
London,ALLIANCE TRUST PLC,Financials,1947-7-17 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,2588.86,,,,,,,,Star Alliance,https://en.wikipedia.org/wiki/Star_Alliance,,,,,"Frankfurt, Germany",,,,,,,,,,,,,,staralliance.com
London,ALLIANZ TECHNOLOGY TRUST PLC,Financials,1995-12-4 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,1034.52,,,,,,,,Allianz Technology Trust,https://en.wikipedia.org/wiki/Allianz_Technology_Trust,Worldwide,Public company,18 October 1995; 30 years ago (1995-10-18),,,Investment Management,,,,,,,,,,,,LSE: ATTFTSE 250 component,allianztechnologytrust.com
London,ALLIED MINDS PLC,Financials,2014-6-25 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,87.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALPHA FINANCIAL MARKETS CONSULTING PLC,Industrials,2017-10-11 0:00,Industrial Goods and Services,United Kingdom,Europe,AIM,No,229.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,ALPHA FX GROUP PLC,Financials,2017-4-7 0:00,Financial Services,United Kingdom,Europe,AIM,No,421.3,,,,,,,,Alpha Group International,https://en.wikipedia.org/wiki/Alpha_Group_International,,Public,2009; 16 years ago (2009),,"London, England",Financial services,Clive Khan (Chairman)Morgan Tillbrook (CEO),£92.7 million (2024),,£118.3 million (2024),,,,£135.6 million (2024),,,,LSE: ALPA,www.alphagroup.com
London,ALPHA GROWTH PLC,Financials,2017-12-20 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,3.25,,,,,,,,Alpha Kappa Alpha,https://en.wikipedia.org/wiki/Alpha_Kappa_Alpha,,Social,"January 15, 1908; 117 years ago (1908-01-15)Howard University",,"5656 S. Stony Island AvenueChicago, Illinois 60637 United States",,,,,,,,,,,,,,www.aka1908.com
London,ALPHA REAL TRUST LIMITED,Real Estate,2006-12-21 0:00,Real Estate,Guernsey,Europe,MAIN MARKET,No,93.15,,,,,,,,Alpha Bank,https://en.wikipedia.org/wiki/Alpha_Bank,Greece and Cyprus,Public,"10 March 1918; 107 years ago (1918-03-10) in Kalamata, Greece",Yannis Costopoulos,"Athens, Greece",Financial services,Vassilios Psaltis (CEO)Vassilis Rapanos (chairperson),€860.9 million (2024),"8,487",€2.219 billion (2024),UniCredit (29.5%),,,,,"€74,516 billion (Q3 2025)",€7.473 billion (2024),Athex: ALPHA,www.alphaholdings.gr
London,ALTERNATIVE CREDIT INVESTMENTS PLC,Financials,2014-5-30 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,637.87,,,,,,,,Alternative Credit Investments,https://en.wikipedia.org/wiki/Alternative_Credit_Investments,,,,,,,,,,,,,,,,,,,
