Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Volkswagen,2016,Polo,Hatchback,2016 Volkswagen Polo 66 TSI Trendline,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,4.8 L / 100 km,83470,Grey / -,"Alexandria, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Honda,2012,Accord,Sedan,2012 Honda Accord Euro Luxury Navi,USED,Automatic,"4 cyl, 2.4 L",Front,Premium,8.5 L / 100 km,92597,Silver / Black,"Helensvale, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Hyundai,2014,I30,Hatchback,2014 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.1 L / 100 km,60329,White / Black,"Brooklyn, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Hyundai,2013,IX35,SUV,2013 Hyundai IX35 SE (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.5 L / 100 km,224493,Grey / -,"Labrador, QLD",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Ford,1990,Maverick,SUV,1990 Ford Maverick XL (4X4),USED,Manual,"6 cyl, 4.2 L",4WD,Diesel,0 L / 100 km,382463,Silver / -,"Coopers Plains, QLD",6 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
Nissan,2014,X-Trail,SUV,2014 Nissan X-Trail ST (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Unleaded,8.3 L / 100 km,203806,Silver / Cloth,"Elderslie, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Toyota,2015,Corolla,Hatchback,2015 Toyota Corolla Ascent Sport,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,7.1 L / 100 km,97000,White / Cloth,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Volkswagen,2009,Tiguan,SUV,2009 Volkswagen Tiguan 125 TSI,USED,Automatic,"4 cyl, 2 L",4WD,Premium,9.2 L / 100 km,123040,Silver / Black,"Mordialloc, VIC",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Toyota,2012,Prius,USED Dealer ad,2012 Toyota Prius G,USED,Automatic,-,Other,-,-,137187,Blue / Black,"Braeside, VIC",-,,,,10000-20000 AUD
Audi,2013,A1,Hatchback,2013 Audi A1 Sportback 1.4 Tfsi S Line Comp,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.3 L / 100 km,160861,White / Black,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
LDV,2015,V80,Commercial,2015 LDV V80 LWB High,USED,Manual,"4 cyl, 2.5 L",Front,Diesel,8.9 L / 100 km,307894,White / Black,"Minchinbury, NSW",4 cyl,Commercial, 4 Doors, 3 Seats,10000-20000 AUD
Mazda,2007,BT-50,Ute / Tray,2007 Mazda BT-50 B2500 DX,USED,Manual,"4 cyl, 2.5 L",Rear,Diesel,8.3 L / 100 km,90855,White / -,"Garbutt, QLD",4 cyl,Ute / Tray, 2 Doors, 3 Seats,10000-20000 AUD
Jeep,2012,Grand,SUV,2012 Jeep Grand Cherokee Overland (4X4),USED,Automatic,"6 cyl, 3.6 L",AWD,Premium,11 L / 100 km,140521,Grey / Black,"Dudley Park, WA",6 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2015,X-Trail,SUV,2015 Nissan X-Trail TS (fwd),USED,Automatic,"4 cyl, 1.6 L",Front,Diesel,5.3 L / 100 km,156574,Silver / -,"Coffs Harbour, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2015,Captiva,Taree City Car Sales,2015 Holden Captiva CG 7 LTZ Wagon 7st 5dr Spts Auto 6sp 4x4 3.0i MY15,USED,Automatic,-,Other,-,-,96853,White / -,"Taree, NSW",-,Wagon,,,10000-20000 AUD
Toyota,2012,Hilux,Ute / Tray,2012 Toyota Hilux SR,USED,Manual,"4 cyl, 3 L",Rear,Diesel,8.1 L / 100 km,323542,White / Grey,"Blacktown, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Ford,2013,Fiesta,Hatchback,2013 Ford Fiesta LX,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,6.1 L / 100 km,123373,Blue / -,"Osborne Park, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Honda,2008,Civic,Hatchback,2008 Honda Civic Type R,USED,Manual,"4 cyl, 2 L",Front,Premium,9.3 L / 100 km,165450,Silver / -,"Minchinbury, NSW",4 cyl,Hatchback, 3 Doors, 4 Seats,10000-20000 AUD
Hyundai,2012,I20,Hatchback,2012 Hyundai I20 Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.4 L / 100 km,125446,White / -,"Lidcombe, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Nissan,2014,Juke,SUV,2014 Nissan Juke ST (fwd),USED,Manual,"4 cyl, 1.6 L",Front,Premium,6 L / 100 km,61783,Grey / -,"Campbelltown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Honda,2015,Jazz,Hatchback,2015 Honda Jazz VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8 L / 100 km,201156,Yellow / -,"Oak Flats, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Ford,2010,Falcon,Sedan,2010 Ford Falcon G6E 50TH Anniversary,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,9.9 L / 100 km,117800,Black / Black,"New Lambton, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2011,Navara,Ute / Tray,2011 Nissan Navara ST-R (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.2 L / 100 km,211820,White / -,"Blair Athol, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Ford,2014,Ranger,Melbourne Quality Cars,2014 Ford Ranger XL,USED,Automatic,-,Other,Diesel,-,300903,White / -,"Moorabbin, VIC",-,Ute / Tray,,,10000-20000 AUD
Mitsubishi,2013,Outlander,SUV,2013 Mitsubishi Outlander ES (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.6 L / 100 km,141211,Blue / Black,"Granville, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
MG,2021,MG3,Hatchback,2021 MG MG3 Auto Core,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7 L / 100 km,26480,White / -,"Sandgate, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Holden,2018,Captiva,SUV,2018 Holden Captiva 7 LTZ (awd),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.1 L / 100 km,114737,White / Black,"Nunawading, VIC",4 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
Nissan,2014,Navara,Ute / Tray,2014 Nissan Navara ST (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,217934,Black / -,"Rocklea, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2014,BT-50,Ute / Tray,2014 Mazda BT-50 XT (4X2),USED,Manual,"4 cyl, 2.2 L",Rear,Diesel,7.6 L / 100 km,150495,Blue / Cloth,"Ipswich, QLD",4 cyl,Ute / Tray, 2 Doors, 3 Seats,10000-20000 AUD
BMW,2008,X5,SUV,2008 BMW X5 3.0SD,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,8.8 L / 100 km,147538,Black / Black,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2016,CX-5,SUV,2016 Mazda CX-5 Maxx (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.4 L / 100 km,109390,Grey / Black,"Boolaroo, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Ford,2016,Focus,Hatchback,2016 Ford Focus Titanium,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.4 L / 100 km,167037,White / -,"Penrith, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Toyota,2017,Corolla,Autoproject,2017 Toyota Corolla Wagon,USED,Automatic,-,Other,-,-,147801,Silver / Black,"Braeside, VIC",-,Wagon,,,10000-20000 AUD
Hyundai,2019,I30,Hatchback,2019 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,50745,White / -,"Tweed Heads South, NSW",4 cyl,Hatchback, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2014,Juke,SUV,2014 Nissan Juke ST (fwd),USED,Automatic,"4 cyl, 1.6 L",Front,Premium,6.3 L / 100 km,116603,Red / Black Cloth,"Pennant Hills, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2018,BT-50,Ute / Tray,2018 Mazda BT-50 XT (4X2),USED,Manual,"4 cyl, 2.2 L",Rear,Diesel,8 L / 100 km,163565,White / Black,"Penrith, NSW",4 cyl,Ute / Tray, 2 Doors, 3 Seats,10000-20000 AUD
Honda,2009,Accord,USED Dealer ad,2009 Honda Accord 8th Gen Luxury Sedan 4dr Auto 5sp 2.4i,USED,Automatic,-,Other,-,-,159159,White / -,"Bass Hill, NSW",-,,,,10000-20000 AUD
Toyota,2010,Hilux,Ute / Tray,2010 Toyota Hilux SR,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,12.1 L / 100 km,252569,White / Grey,"Granville, NSW",6 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Toyota,2009,Estima,Sydney City Traders,2009 Toyota Estima Aeras,USED,Automatic,-,Other,-,-,112418,Silver / Black,"Five Dock, NSW",-,Wagon,,,10000-20000 AUD
Kia,2013,Sorento,SUV,2013 Kia Sorento SLI (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.3 L / 100 km,195013,White / Black,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
BMW,2007,X5,SUV,2007 BMW X5 3.0SI,USED,Automatic,"6 cyl, 3 L",4WD,Premium,11.7 L / 100 km,207192,Silver / -,"Campbelltown, NSW",6 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Toyota,2008,Kluger,SUV,2008 Toyota Kluger KX-S (4X4),USED,Automatic,"6 cyl, 3.5 L",4WD,Unleaded,11 L / 100 km,279105,Black / -,"Braybrook, VIC",6 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
BMW,2011,X1,SUV,2011 BMW X1 Sdrive 20D,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,5.9 L / 100 km,78907,Silver / Black,"Auburn, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Lexus,2011,IS250,Sedan,2011 Lexus IS250 F Sport,USED,Automatic,"6 cyl, 2.5 L",Rear,Premium,9.1 L / 100 km,150679,Grey / Black,"Sutherland, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
BMW,2008,X5,SUV,2008 BMW X5 3.0D,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,8.7 L / 100 km,213322,Grey / -,"Campbellfield, VIC",6 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2014,Commodore,Sedan,2014 Holden Commodore SV6,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.5 L / 100 km,207234,Black / -,"Minchinbury, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Lexus,2006,RX350,SUV,2006 Lexus RX350 Sports Luxury,USED,Automatic,"6 cyl, 3.5 L",4WD,Unleaded,17.2 L / 100 km,199571,White / -,"Auburn, NSW",6 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mitsubishi,2013,Lancer,Sedan,2013 Mitsubishi Lancer LX,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,165306,Grey / Black,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Suzuki,2014,Swift,Hatchback,2014 Suzuki Swift GL,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.2 L / 100 km,226000,White / -,"Archerfield, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Holden,2014,Barina,Hatchback,2014 Holden Barina CD,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.6 L / 100 km,119252,Grey / Grey,"West Footscray, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Nissan,2012,Navara,Ute / Tray,2012 Nissan Navara RX (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,10.5 L / 100 km,288216,White / -,"Minto, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Suzuki,2015,Celerio,Hatchback,2015 Suzuki Celerio,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,4.8 L / 100 km,23316,Blue / -,"Blacktown, NSW",3 cyl,Hatchback, 5 Doors, 4 Seats,10000-20000 AUD
Nissan,2003,Patrol,SUV,2003 Nissan Patrol ST (4X4),USED,Manual,"4 cyl, 3 L",4WD,Diesel,0 L / 100 km,332861,Gold / Grey,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
Nissan,2014,Navara,Ute / Tray,2014 Nissan Navara ST (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,172899,White / Black,"Wangara, WA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Mitsubishi,2010,Lancer,Hatchback,2010 Mitsubishi Lancer ES Sportback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.3 L / 100 km,107135,Black / -,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Nissan,2016,Navara,Ute / Tray,2016 Nissan Navara RX (4X4),USED,Manual,"4 cyl, 2.3 L",4WD,Diesel,6.6 L / 100 km,223020,Silver / -,"Five Dock, NSW",4 cyl,Ute / Tray, 2 Doors, 2 Seats,10000-20000 AUD
Ford,2011,Territory,SUV,2011 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,12.8 L / 100 km,107752,Silver / Black,"Leichhardt, NSW",6 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
Mazda,2012,BT-50,Ute / Tray,2012 Mazda BT-50 XTR (4X2),USED,Manual,"5 cyl, 3.2 L",Rear,Diesel,8.4 L / 100 km,180950,White / -,"Smithfield, NSW",5 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Mitsubishi,2011,Triton,Ute / Tray,2011 Mitsubishi Triton GLX (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.1 L / 100 km,225536,White / -,"Camden, NSW",4 cyl,Ute / Tray, 2 Doors, 3 Seats,10000-20000 AUD
Mitsubishi,2014,Mirage,Hatchback,2014 Mitsubishi Mirage LS,USED,Automatic,"3 cyl, 1.2 L",Front,Unleaded,4.9 L / 100 km,38416,Red / Grey,"Lansvale, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Holden,2014,Cruze,Sedan,2014 Holden Cruze Z-Series,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,65108,Grey / -,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2014,Qashqai,SUV,2014 Nissan Qashqai TI (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,123413,Black / -,"East Maitland, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Ford,2011,Falcon,Sedan,2011 Ford Falcon XR6 Limited Edition,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,9.9 L / 100 km,303453,White / -,"Osborne Park, WA",6 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Hyundai,2013,I30,Hatchback,2013 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9 L / 100 km,91365,Grey / -,"South Tamworth, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Mitsubishi,2012,Triton,Ute / Tray,2012 Mitsubishi Triton GL-R (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,9.9 L / 100 km,213925,Silver / -,"Slacks Creek, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2013,Pulsar,Sedan,2013 Nissan Pulsar TI,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.7 L / 100 km,144459,White / Black,"Brown Hill, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2012,CX-9,SUV,2012 Mazda CX-9 Luxury (fwd),USED,Automatic,"6 cyl, 3.7 L",Front,Unleaded,11 L / 100 km,163355,White / Black,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
Ford,2008,Territory,SUV,2008 Ford Territory Ghia (4X4),USED,Automatic,"6 cyl, 4 L",AWD,Unleaded,12.2 L / 100 km,178187,Red / -,"Loganholme, QLD",6 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Suzuki,2016,Swift,Hatchback,2016 Suzuki Swift GL,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.2 L / 100 km,134605,White / Black,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Toyota,2012,Corolla,Sedan,2012 Toyota Corolla Ascent,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,112241,Silver / -,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2013,Dualis,SUV,2013 Nissan Dualis +2 TI-L (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.5 L / 100 km,153055,White / Black,"Eagle Farm, QLD",4 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
