Source,Company Name,ICB Industry,Admission Date,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd)
London,JSC HALYK BANK,Financials,2006-12-20 0:00,Kazakhstan,Asia,MAIN MARKET,Yes,,,,,,,,
London,LIONTRUST ASSET MANAGEMENT PLC,Financials,1999-7-21 0:00,United Kingdom,Europe,MAIN MARKET,No,761.84,,,,,,,
London,ALLIANZ TECHNOLOGY TRUST PLC,Financials,1995-12-4 0:00,United Kingdom,Europe,MAIN MARKET,No,1034.52,,,,,,,
London,RIT CAPITAL PARTNERS PLC,Financials,1988-8-1 0:00,United Kingdom,Europe,MAIN MARKET,No,2886.0,,,,,,,
London,BLUE PLANET INVESTMENT TRUST PLC,Financials,1999-3-24 0:00,United Kingdom,Europe,MAIN MARKET,No,10.64,,,,,,,
Hong Kong,"Hang Seng Bank, Limited",Financials,,,,,,,11.0,Current,CHENG Wai Sun Edward,Independent Non Executive Director,Chairman,2025-04-01,
London,"HUATAI SECURITIES CO., LTD.",Financials,2019-6-17 0:00,China,Asia,MAIN MARKET,Yes,,,,,,,,
London,JPMORGAN RUSSIAN SECURITIES PLC,Financials,2002-12-20 0:00,United Kingdom,Europe,MAIN MARKET,No,236.42,,,,,,,
London,FEDERAL BANK LIMITED (THE),Financials,2006-1-31 0:00,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,,,,,,,,
London,GUARANTY TRUST BANK PLC,Financials,2007-7-26 0:00,Nigeria,Africa,MAIN MARKET,Yes,,,,,,,,
London,MYANMAR INVESTMENTS INTERNATIONAL LIMITED,Financials,2013-6-27 0:00,British Virgin Islands,North America,AIM,Yes,21.8,,,,,,,
London,JPMORGAN EMERGING MARKETS INVESTMENT TRUST PLC,Financials,1991-7-16 0:00,United Kingdom,Europe,MAIN MARKET,No,1382.82,,,,,,,
Hong Kong,Minerva Group Holding Limited,Financials,,,,,,,397.0,Current,CHAN Lai Ping,Independent Non Executive Director - A/F,,2021-09-30,
London,NON-STANDARD FINANCE PLC,Financials,2016-4-14 0:00,United Kingdom,Europe,MAIN MARKET,No,12.19,,,,,,,
London,BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY,Financials,2017-1-19 0:00,Ireland,Europe,MAIN MARKET,Yes,182.7,,,,,,,
London,GLOBAL RESOURCES INVESTMENT TRUST PLC,Financials,2014-3-7 0:00,United Kingdom,Europe,MAIN MARKET,No,1.15,,,,,,,
Hong Kong,Allied Group Limited,Financials,,,,,,,373.0,Current,BARTLETT David Craig,Independent Non Executive Director,,1999-12-17,
London,DIAMOND BANK PLC,Financials,2007-12-11 0:00,Nigeria,Africa,PROFESSIONAL SECURITIES MARKET,Yes,,,,,,,,
London,ADMIRAL GROUP PLC,Financials,2004-9-28 0:00,United Kingdom,Europe,MAIN MARKET,No,8159.03,,,,,,,
London,SABRE INSURANCE GROUP PLC,Financials,2017-12-6 0:00,United Kingdom,Europe,MAIN MARKET,No,572.5,,,,,,,
Hong Kong,"The Bank of East Asia, Limited",Financials,,,,,,,23.0,Current,DOO William Junior Guilherme,Independent Non Executive Director,,2019-11-01,
London,HANSA INVESTMENT COMPANY LIMITED,Financials,2019-8-29 0:00,Bermuda,North America,MAIN MARKET,Yes,200.4,,,,,,,
London,CURTIS BANKS GROUP PLC,Financials,2015-5-7 0:00,United Kingdom,Europe,AIM,No,132.83,,,,,,,
London,EDINBURGH INVESTMENT TRUST PLC,Financials,1952-2-8 0:00,United Kingdom,Europe,MAIN MARKET,No,753.3,,,,,,,
London,ABERFORTH SMALLER COMPANIES TRUST PLC,Financials,1990-12-10 0:00,United Kingdom,Europe,MAIN MARKET,No,769.21,,,,,,,
London,QUILTER PLC,Financials,2018-4-13 0:00,United Kingdom,Europe,MAIN MARKET,No,2193.38,,,,,,,
London,STATE BANK OF INDIA,Financials,1996-10-11 0:00,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,,,,,,,,
London,BEGBIES TRAYNOR GROUP PLC,Financials,2004-10-1 0:00,United Kingdom,Europe,AIM,No,106.91,,,,,,,
London,POLAR CAPITAL GLOBAL FINANCIALS TRUST PLC,Financials,2013-7-1 0:00,United Kingdom,Europe,MAIN MARKET,No,130.04,,,,,,,
Hong Kong,China Reinsurance (Group) Corporation,Financials,,,,,,,1508.0,Current,DAI De Ming,Independent Non Executive Director,,2023-08-29,
Hong Kong,"Bank of Tianjin Co., Ltd.",Financials,,,,,,,1578.0,Current,BULLOCH Marshall Alistair,Non Executive Director,,2009-06-15,
London,CLOSE BROTHERS GROUP PLC,Financials,1962-7-24 0:00,United Kingdom,Europe,MAIN MARKET,No,1627.36,,,,,,,
London,BAILLIE GIFFORD UK GROWTH FUND PLC,Financials,1994-3-10 0:00,United Kingdom,Europe,MAIN MARKET,No,273.95,,,,,,,
London,ZENITH BANK PLC,Financials,2013-3-21 0:00,Nigeria,Africa,MAIN MARKET,Yes,,,,,,,,
London,OTP BANK PLC,Financials,2004-9-27 0:00,Hungary,Europe,ADMISSION TO TRADING ONLY,Yes,,,,,,,,
London,TRIAN INVESTORS 1 LIMITED,Financials,2018-9-27 0:00,Guernsey,Europe,MAIN MARKET,No,281.22,,,,,,,
London,ECCLESIASTICAL INSURANCE OFFICE PLC,Financials,1995-9-21 0:00,United Kingdom,Europe,MAIN MARKET,No,167.66,,,,,,,
London,CALEDONIA INVESTMENTS PLC,Financials,1960-6-1 0:00,United Kingdom,Europe,MAIN MARKET,No,1508.93,,,,,,,
London,PRUDENTIAL PLC,Financials,1978-12-29 0:00,United Kingdom,Europe,MAIN MARKET,No,24597.09,,,,,,,
London,BMO PRIVATE EQUITY TRUST PLC,Financials,1999-3-22 0:00,United Kingdom,Europe,MAIN MARKET,No,217.39,,,,,,,
Hong Kong,True Partner Capital Holding Limited,Financials,,,,,,,8657.0,Current,CHAN Heng Fai Ambrose,Non Executive Director,,2025-06-30,
Hong Kong,Public Financial Holdings Limited,Financials,,,,,,,626.0,Current,CHANG Kat Kiam,Non Executive Director,,2004-03-26,
London,BEAZLEY PLC,Financials,2002-11-12 0:00,United Kingdom,Europe,MAIN MARKET,No,1790.06,,,,,,,
Hong Kong,"China Bohai Bank Co., Ltd.",Financials,,,,,,,9668.0,Current,AU Siu Luen,Non Executive Director,,2023-09-26,
Hong Kong,Imperium Financial Group Limited,Financials,,,,,,,8029.0,Current,CHAN Tin Lup Trevor,Independent Non Executive Director,,2011-03-14,
Hong Kong,"Ping An Insurance (Group) Company of China, Ltd.",Financials,,,,,,,2318.0,Current,CAI Fang Fang,Executive Director,,2014-07-02,
London,TCS GROUP HOLDING PLC,Financials,2013-10-25 0:00,Cyprus,Europe,MAIN MARKET,Yes,,,,,,,,
London,NATIONWIDE BUILDING SOCIETY,Financials,1986-7-11 0:00,United Kingdom,Europe,MAIN MARKET,No,17.27,,,,,,,
London,CITY OF LONDON INVESTMENT TRUST PLC,Financials,1955-5-4 0:00,United Kingdom,Europe,MAIN MARKET,No,1307.04,,,,,,,
London,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,Financials,1996-7-31 0:00,Egypt,Middle East,MAIN MARKET,Yes,,,,,,,,
London,ARBUTHNOT BANKING GROUP PLC,Financials,2005-6-27 0:00,United Kingdom,Europe,AIM,No,93.8,,,,,,,
London,CHALLENGER ACQUISITIONS LIMITED,Financials,2015-12-18 0:00,Guernsey,Europe,MAIN MARKET,No,0.54,,,,,,,
London,HENDERSON INTERNATIONAL INCOME TRUST PLC,Financials,2011-4-28 0:00,United Kingdom,Europe,MAIN MARKET,No,269.47,,,,,,,
London,AJ BELL PLC,Financials,2018-12-7 0:00,United Kingdom,Europe,MAIN MARKET,No,1722.71,,,,,,,
London,JPMORGAN CHINA GROWTH & INCOME PLC,Financials,1993-10-19 0:00,United Kingdom,Europe,MAIN MARKET,No,449.31,,,,,,,
Hong Kong,Standard Chartered Plc,Financials,,,,,,,2888.0,Current,APTE Shirish Moreshwar,Independent Non Executive Director - A/F,,2022-05-04,
Hong Kong,"Harbin Bank Co., Ltd.",Financials,,,,,,,6138.0,Current,CHEN Ming,Independent Non Executive Director,,2024-12-12,
Hong Kong,Global International Credit Group Limited,Financials,,,,,,,1669.0,Current,JIN Xiao Qin,Executive Director,,2014-04-09,
London,CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,Financials,2013-6-25 0:00,Jersey,Europe,MAIN MARKET,No,292.39,,,,,,,
London,SCHRODER ASIAPACIFIC FUND PLC,Financials,1995-11-20 0:00,United Kingdom,Europe,MAIN MARKET,No,894.16,,,,,,,
London,SANNE GROUP PLC,Financials,2015-4-1 0:00,Jersey,Europe,MAIN MARKET,No,888.72,,,,,,,
Hong Kong,Asia Financial Holdings Limited,Financials,,,,,,,662.0,Current,AU YANG Chi Chun Evan,Independent Non Executive Director,,2021-05-21,
London,BRISTOL & WEST PLC,Financials,1997-7-28 0:00,United Kingdom,Europe,MAIN MARKET,No,,,,,,,,
London,FUNDSMITH EMERGING EQUITIES TRUST PLC,Financials,2014-6-25 0:00,United Kingdom,Europe,MAIN MARKET,No,315.68,,,,,,,
London,TP ICAP PLC,Financials,2006-12-19 0:00,United Kingdom,Europe,MAIN MARKET,No,1074.85,,,,,,,
London,FIDELITY JAPAN TRUST PLC,Financials,1994-3-15 0:00,United Kingdom,Europe,MAIN MARKET,No,265.08,,,,,,,
Hong Kong,AIA Group Limited,Financials,,,,,,,1299.0,Current,CHOW Chung Kong,Independent Non Executive Director,,2010-09-28,
London,JSC VTB BANK,Financials,2007-5-17 0:00,Russian Federation,Europe,MAIN MARKET,Yes,,,,,,,,
London,ARDEN PARTNERS PLC,Financials,2006-7-19 0:00,United Kingdom,Europe,AIM,No,3.63,,,,,,,
London,ATHELNEY TRUST PLC,Financials,2008-9-24 0:00,United Kingdom,Europe,MAIN MARKET,No,3.99,,,,,,,
Hong Kong,"China Minsheng Banking Corp., Ltd.",Financials,,,,,,,1988.0,Current,CHENG Feng Chao,Independent Non Executive Director - A/F,,2024-02-22,
London,JPMORGAN INDIAN INVESTMENT TRUST PLC,Financials,1994-5-26 0:00,United Kingdom,Europe,MAIN MARKET,No,461.57,,,,,,,
Hong Kong,"China CITIC Financial Asset Management Co., Ltd.",Financials,,,,,,,2799.0,Current,CHEN Yuan Ling,Independent Non Executive Director,,2020-10-29,
Hong Kong,New China Life Insurance Company Ltd.,Financials,,,,,,,1336.0,Current,GONG Xing Feng,Executive Director,,2024-12-13,
Hong Kong,ZHONGTAI FUTURES Company Limited,Financials,,,,,,,1461.0,Current,CHEN Hua,Independent Non Executive Director,,2022-03-10,
Hong Kong,China Construction Bank Corporation,Financials,,,,,,,939.0,Current,COEN William,Independent Non Executive Director,,2021-06-25,
London,WITAN INVESTMENT TRUST PLC,Financials,1950-10-27 0:00,United Kingdom,Europe,MAIN MARKET,No,1549.74,,,,,,,
London,KINGSWOOD HOLDINGS LIMITED,Financials,2005-2-24 0:00,United Kingdom,Europe,AIM,No,68.33,,,,,,,
London,SBERBANK OF RUSSIA,Financials,2011-7-1 0:00,Russian Federation,Europe,MAIN MARKET,Yes,,,,,,,,
London,ARTEMIS ALPHA TRUST PLC,Financials,1998-10-16 0:00,United Kingdom,Europe,MAIN MARKET,No,106.08,,,,,,,
London,POLAR CAPITAL TECHNOLOGY TRUST PLC,Financials,1996-12-16 0:00,United Kingdom,Europe,MAIN MARKET,No,2876.75,,,,,,,
London,DIRECT LINE INSURANCE GROUP PLC,Financials,2012-10-16 0:00,United Kingdom,Europe,MAIN MARKET,No,3595.59,,,,,,,
Hong Kong,Greater China Financial Holdings Limited,Financials,,,,,,,431.0,Current,CHEN Zheng,Executive Director,,2021-12-08,
London,ARROW GLOBAL GROUP PLC,Financials,2013-10-11 0:00,United Kingdom,Europe,MAIN MARKET,No,222.43,,,,,,,
London,JPMORGAN EUROPEAN INVESTMENT TRUST PLC,Financials,1955-6-23 0:00,United Kingdom,Europe,MAIN MARKET,No,288.06,,,,,,,
Hong Kong,G-Resources Group Limited,Financials,,,,,,,1051.0,Current,CHEN Gong,Independent Non Executive Director - A/F,,2017-02-03,
London,BAILLIE GIFFORD JAPAN TRUST PLC,Financials,1981-12-14 0:00,United Kingdom,Europe,MAIN MARKET,No,841.42,,,,,,,
Hong Kong,Imagi International Holdings Limited,Financials,,,,,,,585.0,Current,CHAN Hak Kan,Independent Non Executive Director,,2019-05-10,
London,STANDARD CHARTERED PLC,Financials,1970-2-2 0:00,United Kingdom,Europe,MAIN MARKET,No,11103.45,,,,,,,
London,NB PRIVATE EQUITY PARTNERS LIMITED,Financials,2009-6-30 0:00,Guernsey,Europe,MAIN MARKET,No,500.65,,,,,,,
London,WALKER CRIPS GROUP PLC,Financials,1996-8-22 0:00,United Kingdom,Europe,MAIN MARKET,No,11.28,,,,,,,
Hong Kong,Shenwan Hongyuan (H.K.) Limited,Financials,,,,,,,218.0,Current,CHIU Lai Kuen Susanna,Independent Non Executive Director - A/F,,2025-04-11,
London,LAW DEBENTURE CORPORATION PLC,Financials,1946-7-10 0:00,United Kingdom,Europe,MAIN MARKET,No,596.91,,,,,,,
London,B.P. MARSH & PARTNERS PLC,Financials,2006-2-2 0:00,United Kingdom,Europe,AIM,No,93.18,,,,,,,
London,HANSARD GLOBAL PLC,Financials,2006-12-18 0:00,Isle of Man,Europe,MAIN MARKET,No,43.74,,,,,,,
London,ACCESSO TECHNOLOGY GROUP PLC,Technology,2002-4-24 0:00,United Kingdom,Europe,AIM,No,113.34,,,,,,,
London,ACER INCORPORATED,Technology,1995-11-2 0:00,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,,,,,,,,
London,ALFA FINANCIAL SOFTWARE HOLDINGS PLC,Technology,2017-5-26 0:00,United Kingdom,Europe,MAIN MARKET,No,406.8,,,,,,,
London,AUTO TRADER GROUP PLC,Technology,2015-3-24 0:00,United Kingdom,Europe,MAIN MARKET,No,5593.59,,,,,,,
London,AVAST PLC,Technology,2018-5-10 0:00,United Kingdom,Europe,MAIN MARKET,No,4876.88,,,,,,,
London,AVEVA GROUP PLC,Technology,1996-12-5 0:00,United Kingdom,Europe,MAIN MARKET,No,6935.45,,,,,,,
London,BLACKBIRD PLC,Technology,2000-2-29 0:00,United Kingdom,Europe,AIM,No,69.94,,,,,,,
London,BLANCCO TECHNOLOGY GROUP PLC,Technology,2005-3-31 0:00,United Kingdom,Europe,AIM,No,143.94,,,,,,,
London,BLUE PRISM GROUP PLC,Technology,2016-3-18 0:00,United Kingdom,Europe,AIM,No,1449.88,,,,,,,
London,BRAVE BISON GROUP PLC,Technology,2013-11-12 0:00,United Kingdom,Europe,AIM,No,5.52,,,,,,,
London,CERILLION PLC,Technology,2016-3-18 0:00,United Kingdom,Europe,AIM,No,87.06,,,,,,,
London,COMPAL ELECTRONICS INC,Technology,2009-12-21 0:00,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,,,,,,,,
London,COMPUTACENTER PLC,Technology,1998-5-29 0:00,United Kingdom,Europe,MAIN MARKET,No,2595.57,,,,,,,
London,DOTDIGITAL GROUP PLC,Technology,2011-3-29 0:00,United Kingdom,Europe,AIM,No,439.38,,,,,,,
London,FIRST DERIVATIVES PLC,Technology,2002-3-28 0:00,United Kingdom,Europe,AIM,No,810.75,,,,,,,
London,FUNDING CIRCLE HOLDINGS PLC,Technology,2018-9-28 0:00,United Kingdom,Europe,MAIN MARKET,No,276.91,,,,,,,
London,GB GROUP PLC,Technology,2010-8-27 0:00,United Kingdom,Europe,AIM,No,1734.98,,,,,,,
London,GRESHAM TECHNOLOGIES PLC,Technology,1995-2-27 0:00,United Kingdom,Europe,MAIN MARKET,No,77.89,,,,,,,
London,ICONIC LABS PLC,Technology,2016-7-27 0:00,United Kingdom,Europe,MAIN MARKET,No,4.05,,,,,,,
London,INGENTA PLC,Technology,2007-2-28 0:00,United Kingdom,Europe,AIM,No,14.42,,,,,,,
London,IOMART GROUP PLC,Technology,2000-4-19 0:00,United Kingdom,Europe,AIM,No,343.42,,,,,,,
London,IQE PLC,Technology,2003-9-30 0:00,United Kingdom,Europe,AIM,No,438.34,,,,,,,
London,KAINOS GROUP PLC,Technology,2015-7-10 0:00,United Kingdom,Europe,MAIN MARKET,No,1509.57,,,,,,,
London,LEARNING TECHNOLOGIES GROUP PLC,Technology,2013-11-8 0:00,United Kingdom,Europe,AIM,No,928.7,,,,,,,
London,LITE-ON TECHNOLOGY CORPORATION,Technology,1996-9-27 0:00,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,,,,,,,,
London,MICRO FOCUS INTERNATIONAL PLC,Technology,2014-11-20 0:00,United Kingdom,Europe,MAIN MARKET,No,722.87,,,,,,,
London,MINDS + MACHINES GROUP LIMITED,Technology,2007-11-14 0:00,British Virgin Islands,North America,AIM,Yes,39.69,,,,,,,
London,MONEYSUPERMARKET.COM GROUP PLC,Technology,2007-7-31 0:00,United Kingdom,Europe,MAIN MARKET,No,1305.19,,,,,,,
London,NASPERS LIMITED,Technology,2007-8-23 0:00,South Africa,Africa,MAIN MARKET,Yes,,,,,,,,
London,NATIONAL WORLD PLC,Technology,2019-9-19 0:00,United Kingdom,Europe,MAIN MARKET,No,5.94,,,,,,,
London,NCC GROUP PLC,Technology,2007-7-13 0:00,United Kingdom,Europe,MAIN MARKET,No,511.42,,,,,,,
London,ONLINE BLOCKCHAIN PLC,Technology,1996-12-18 0:00,United Kingdom,Europe,AIM,No,1.52,,,,,,,
London,ONTHEMARKET PLC,Technology,2018-2-9 0:00,United Kingdom,Europe,AIM,No,64.78,,,,,,,
London,POWERCHIP TECHNOLOGY CORPORATION,Technology,2006-11-14 0:00,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,,,,,,,,
London,PROMOS TECHNOLOGIES INC,Technology,2006-7-13 0:00,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,,,,,,,,
London,RICOH CO LTD,Technology,2008-11-5 0:00,Japan,Asia,ADMISSION TO TRADING ONLY,Yes,3819.73,,,,,,,
London,RIGHTMOVE PLC,Technology,2006-3-15 0:00,United Kingdom,Europe,MAIN MARKET,No,5395.77,,,,,,,
London,ROSSLYN DATA TECHNOLOGIES PLC,Technology,2014-4-29 0:00,United Kingdom,Europe,AIM,No,17.93,,,,,,,
London,SAGE GROUP PLC,Technology,2013-6-10 0:00,United Kingdom,Europe,MAIN MARKET,No,6946.76,,,,,,,
London,SDL PLC,Technology,1999-12-7 0:00,United Kingdom,Europe,MAIN MARKET,No,630.36,,,,,,,
London,SIMIGON LTD.,Technology,2006-11-2 0:00,Israel,Middle East,AIM,Yes,3.18,,,,,,,
London,STARCOM PLC,Technology,2013-2-27 0:00,Jersey,Europe,AIM,No,2.81,,,,,,,
London,TATUNG CO. LTD,Technology,2009-10-5 0:00,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,,,,,,,,
London,TRACSIS PLC,Technology,2008-8-5 0:00,United Kingdom,Europe,AIM,No,150.14,,,,,,,
London,TT ELECTRONICS PLC,Technology,1948-12-9 0:00,United Kingdom,Europe,MAIN MARKET,No,341.47,,,,,,,
London,UNISYS CORPORATION,Technology,1970-1-29 0:00,United States,North America,MAIN MARKET,Yes,414.89,,,,,,,
London,VIANET GROUP PLC,Technology,2006-10-26 0:00,United Kingdom,Europe,AIM,No,20.7,,,,,,,
London,ZOO DIGITAL GROUP PLC,Technology,2001-5-14 0:00,United Kingdom,Europe,AIM,No,41.01,,,,,,,
Hong Kong,Alco Holdings Limited,Technology,,,,,,,328.0,Current,CHU Hoi Kan,Independent Non Executive Director - A/F,,2022-09-09,
Hong Kong,AV Concept Holdings Limited,Technology,,,,,,,595.0,Current,AU YEUNG Kit Pang,Independent Non Executive Director,,2024-01-05,
Hong Kong,"Beijing Digital Telecom Co., Ltd.",Technology,,,,,,,6188.0,Current,CAI Chun Fai,Independent Non Executive Director - A/F,,2021-06-30,
Hong Kong,Black Sesame International Holding Limited,Technology,,,,,,,2533.0,Current,LI Qing Yuan,Independent Non Executive Director - A/F,,2024-07-31,
Hong Kong,BYD Electronic (International) Company Limited,Technology,,,,,,,285.0,Current,CHUNG Kwok Mo John,Independent Non Executive Director,,2013-06-07,
Hong Kong,Changhong Jiahua Holdings Limited,Technology,,,,,,,3991.0,Current,CHAN Ming Sun Jonathan,Independent Non Executive Director - A/F,,2007-02-12,
Hong Kong,China Display Optoelectronics Technology Holdings Limited,Technology,,,,,,,334.0,Current,HAI Hong,Executive Director,,2025-11-28,
Hong Kong,China Information Technology Development Limited,Technology,,,,,,,8178.0,Current,CHAN Do Do,Independent Non Executive Director,,2025-11-17,
Hong Kong,China United Venture Investment Limited,Technology,,,,,,,8159.0,Current,FAN Xiao Ling,Executive Director,,2019-12-05,
Hong Kong,Computer And Technologies Holdings Limited,Technology,,,,,,,46.0,Current,CHAN Yuen Shan Clara,Independent Non Executive Director,,2022-01-28,
Hong Kong,Coolpad Group Limited,Technology,,,,,,,2369.0,Current,CHEN Jia Jun,Executive Director,"Chairman, CEO",2019-01-17,
Hong Kong,Crypto Flow Technology Limited,Technology,,,,,,,8198.0,Current,CHU Ho Hwa Howard,Independent Non Executive Director,,2022-09-09,
Hong Kong,Digital China Holdings Limited,Technology,,,,,,,861.0,Current,CAI Ying Hua,Executive Director,,2025-11-28,
Hong Kong,Digital Hollywood Interactive Limited,Technology,,,,,,,2022.0,Current,CHAU Chi Wai,Independent Non Executive Director,,2021-06-02,
Hong Kong,FIH Mobile Limited,Technology,,,,,,,2038.0,Current,CHANG Chuan Wang,Non Executive Director,,2023-06-29,
Hong Kong,Founder Holdings Limited,Technology,,,,,,,418.0,Current,CHAK Chi Shing,Independent Non Executive Director - A/F,,2023-06-12,
Hong Kong,Gala Technology Holding Limited,Technology,,,,,,,2458.0,Current,CHAK Hoi Kee Clara,Independent Non Executive Director - A/F,,2022-12-20,
Hong Kong,Horizon Robotics,Technology,,,,,,,9660.0,Current,CHEN Li Ming,Executive Director,,2024-03-18,
Hong Kong,Hua Hong Semiconductor Limited,Technology,,,,,,,1347.0,Current,BAI Peng,Executive Director,Chairman,2025-01-01,
Hong Kong,IGG INC,Technology,,,,,,,799.0,Current,CAI Zong Jian,Executive Director,CEO,2007-10-31,
Hong Kong,"InnoScience (Suzhou) Technology Holding Co., Ltd.",Technology,,,,,,,2577.0,Current,CHAN Ching Ho Philip,Independent Non Executive Director,,2024-05-21,
Hong Kong,Kingdee International Software Group Company Limited,Technology,,,,,,,268.0,Current,BIDDLE Gary Clark,Non Executive Director,,2021-12-31,
Hong Kong,Kingsoft Corporation Limited,Technology,,,,,,,3888.0,Current,CHEN Zuo Tao,Independent Non Executive Director,,2023-04-20,
Hong Kong,Lenovo Group Limited,Technology,,,,,,,992.0,Current,MIDHA Amit,Non Executive Director,,2025-08-13,
Hong Kong,"MemeStrategy, Inc.",Technology,,,,,,,2440.0,Current,CHAN Chin Ching Ray,Executive Director,"Chairman, CEO",2025-04-01,
Hong Kong,Mobvoi Inc.,Technology,,,,,,,2438.0,Current,CHEN Yi Lyu,Independent Non Executive Director - A/F,,2024-04-24,
Hong Kong,NetDragon Websoft Holdings Limited,Technology,,,,,,,777.0,Current,CHEN Hong Zhan,Executive Director,,2008-06-24,
Hong Kong,"NetEase, Inc.",Technology,,,,,,,9999.0,Current,CHAN Kok Chung Johnny,Independent Non Executive Director,,2025-08-14,
Hong Kong,PAX Global Technology Limited,Technology,,,,,,,327.0,Current,CHEUNG Shi Yeung,Executive Director,,2024-03-14,
Hong Kong,PINE Technology Holdings Limited,Technology,,,,,,,1079.0,Current,CHEN Lei Yu,Executive Director,,2025-11-14,
Hong Kong,Pony AI Inc.,Technology,,,,,,,2026.0,Current,AHMED Asmau,Independent Non Executive Director,,2024-11-26,
Hong Kong,Prime Intelligence Solutions Group Limited,Technology,,,,,,,8379.0,Current,HE Zhi Qi,Independent Non Executive Director,,2025-09-26,
Hong Kong,Semiconductor Manufacturing International Corporation,Technology,,,,,,,981.0,Current,CHEN Shan Zhi,Non Executive Director,,2009-06-23,
Hong Kong,SenseTime Group Inc.,Technology,,,,,,,20.0,Current,CHIU Duncan,Independent Non Executive Director,,2025-05-30,
Hong Kong,SHENZHEN DOBOT CORP LTD,Technology,,,,,,,2432.0,Current,HOU Ling Ling,Independent Non Executive Director,,2022-12-01,
Hong Kong,SiS International Holdings Limited,Technology,,,,,,,529.0,Current,CHU Chung Yi,Independent Non Executive Director - A/F,,2024-10-01,
Hong Kong,SiS Mobile Holdings Limited,Technology,,,,,,,1362.0,Current,CHENG Tak Chung,Independent Non Executive Director,,2022-12-31,
Hong Kong,Telecom Digital Holdings Limited,Technology,,,,,,,6033.0,Current,CHEUNG King Chuen Bobby,Executive Director,,2015-09-08,
Hong Kong,Tencent Holdings Limited,Technology,,,,,,,700.0,Current,BEKKER Jacobus Petrus,Non Executive Director,,2012-11-14,
Hong Kong,TI Cloud Inc.,Technology,,,,,,,2167.0,Current,LI Peng Tao,Independent Non Executive Director,,2022-06-30,
