wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
First BanCorp,https://en.wikipedia.org/wiki/First_BanCorp,Public,NYSE: FBPS&P 600 component,1948; 77 years ago (1948),"San Juan, Puerto Rico",,,Aurelio Aleman(President and CEO),,1.201 billion USD$ (2008),,75.838 million USD$ (Q2 2024),,,"3,000 (2009)",,www.1firstbank.com,,,Checking accountsInsurance and mortgageInvestment banking & services Consumer finance + ABL,
Digital Chocolate,https://en.wikipedia.org/wiki/Digital_Chocolate,Private,,"October 18, 2003 (2003-10-18)","San Mateo, California, U.S.",,Worldwide,Marc Metis(President)Edmond Chui(VP of Engineering),,,,,,,129,,digitalchocolate.com (offline),Trip Hawkins,,,
MBIA,https://en.wikipedia.org/wiki/MBIA,Public company,NYSE: MBIRussell 2000 component,,"Purchase, New York, U.S.",,,,,US$154 million (2022),US$−148 million (2022),US$−195 million (2022),US$3.38 billion (2022),US$−876 million (2022),75 (2022),MBIA InsuranceMBIA Capital,mbia.com,,,,
List of entities involved in 2007–2008 financial crises,https://en.wikipedia.org/wiki/List_of_entities_involved_in_2007%E2%80%932008_financial_crises,,,,,,,,,,,,,,,,,,,,
Wikimedia Foundation,https://en.wikipedia.org/wiki/Wikimedia_Foundation,"501(c)(3), charitable organization",,"June 20, 2003; 22 years ago (2003-06-20), St. Petersburg, Florida, U.S.",,,Worldwide(banned in some territories),,,$185.4 million (2024) $180.2 million (2023) $167.9 million (2022),,,,,,,wikimediafoundation.org foundation.wikimedia.org (Governance),Jimmy Wales,,"Wikipedia, MediaWiki, Wikibooks, Wikidata, Wikifunctions, Wikimedia Commons, Wikinews, Wikiquote, Wikisource, Wikispecies, Wikiversity, Wikivoyage, Wiktionary",
Citigroup,https://en.wikipedia.org/wiki/Citigroup,Public,NYSE: CS&P 100 componentS&P 500 component DJIA component (until 2009),"October 8, 1998; 27 years ago (1998-10-08)","388 Greenwich StreetNew York City, U.S.",,Worldwide,Jane Fraser (chair & CEO)Viswas Raghavan (executive vice chair)Mark Mason (CFO),,US$81.14 billion (2024),US$17.05 billion (2024),US$12.68 billion (2024),US$2.353 trillion (2024),US$208.6 billion (2024),"c. 229,000 (2024)","List of subsidiaries Bank Handlowy (Poland) Citibank Argentina Citibank Australia Citibank (United States) Citibank Bahrain Citibank China Citibank Europe Citi Private Bank Citibank (Hong Kong) Citibank India Citigroup Global Markets Japan Citibank Indonesia Citibank Korea Citibank Malaysia Citibank Russia Citibank Singapore Citibank Uganda Citibank United Arab Emirates Citi Private Bank Citi Global Wealth Management Grupo Financiero Banamex Beymen Salomon Brothers Nikko Cordial Acciones y Valores de México (Acciones y Valores Banamex, Casa de Bolsa Integrante del Grupo Financiero Banamex) Discover Student Loans Yield Book Citigroup Global Markets Inc Metalmark Capital Lava Trading",citigroup.com,,,Asset managementBankingCommoditiesCredit cardsEquities tradingInsuranceInvestment managementMortgage loansPrivate equityWealth management,US1729674242
Bank of Montreal,https://en.wikipedia.org/wiki/Bank_of_Montreal,Public,TSX: BMONYSE: BMOS&P/TSX 60 component,"23 June 1817; 208 years ago (1817-06-23) in Montreal, Lower Canada (as Montreal Bank)","Bank of Montreal Head Office, Montreal, Quebec, Canada (formal headquarters) Toronto, Ontario, Canada (operating headquarters)",,,George Cope (chair) Darryl White (CEO) Tayfun Tuzun (CFO),,Can$32.8 billion (2024),,Can$7.33 billion (2024),Can$1.41 trillion (2024),Can$84.2 billion (2024),"53,597 (FTE, 2024)","BMO Capital MarketsBMO Bank, N.A.BMO Nesbitt BurnsMonerisDiners Club International (North America Operations)Clearpool GroupLloyd George ManagementLGM InvestmentsAIG Life Insurance Company of CanadaRadicle GroupAir Miles",bmo.com,,Montreal Bank (1817–1822),Asset managementBankingCommoditiesCredit cardsEquities tradingInsuranceInvestment managementMortgage loansPrivate equityWealth management,
Green Dot Corporation,https://en.wikipedia.org/wiki/Green_Dot_Corporation,Public,NYSE: GDOT (Class A),1999; 26 years ago (1999),"Austin, Texas, U.S.",,,George Gresham (CEO),,$1.25 billion(2020),,,,,"1,200",,greendot.com,Steve Streit,,Prepaid MasterCard and Visa cards,
Mario Gabelli,https://en.wikipedia.org/wiki/Mario_Gabelli,,,,,,,,,,,,,,,,,,,,
StoneX Group Inc.,https://en.wikipedia.org/wiki/StoneX_Group_Inc.,Public,Nasdaq: SNEXS&P 600 Component,1924; 101 years ago (1924),New York,,,Sean O’Connor (CEO)Bill Dunaway (CFO)Stuart Davison (COO),,US$64.38 billion (2023)[citation needed],,US$234.8 million (2023),,,"4,000 (2024)",,www.stonex.com/en/,,INTL FCStone,,
Jane Street Capital,https://en.wikipedia.org/wiki/Jane_Street_Capital,Private,,"August 31, 1999; 26 years ago (1999-08-31)","250 Vesey Street, New York City, U.S.",,,,,,,,,,3000,,www.janestreet.com,Tim ReynoldsRobert GranieriMarc GersteinMichael Jenkins,,"High-frequency trading, Market maker",
The Travelers Companies,https://en.wikipedia.org/wiki/The_Travelers_Companies,Public,NYSE: TRVDJIA componentS&P 500 component,1853; 172 years ago (1853) (as St. Paul Fire & Marine)2004 (2004) (as The Travelers Companies),"New York City, New York, U.S.",,,Alan D. Schnitzer(Chairman and CEO),,US$46.42 billion (2024),US$6.180 billion (2024),US$4.999 billion (2024),US$133.2 billion (2024),US$27.86 billion (2024),"c. 34,000 (2024)",,travelers.com,,,Insurance policiesRisk management,
Wells Fargo,https://en.wikipedia.org/wiki/Wells_Fargo,Public,NYSE: WFCS&P 100 componentS&P 500 component,"January 24, 1929 (96 years ago) (1929-01-24) in Minneapolis, Minnesota, U.S. (as Northwest Bancorporation)April 1983 (as Norwest Corporation)November 2, 1998 (as Wells Fargo & Company)","San Francisco, California, U.S. (corporate)30 Hudson YardsNew York City, U.S. (executive)","4,177 branches (2024)13,000 ATMs (2021)",Worldwide,Steven Black (chairman)Charles Scharf (president and CEO),,US$82.3 billion (2024),US$23.4 billion (2024),US$19.7 billion (2024),US$1.93 trillion (2024),US$181 billion (2024),"217,000 (2024)","Wells Fargo AdvisorsWells Fargo Bank, N.A.Wells Fargo RailWells Fargo SecuritiesWachoviaFirst UnionCoreStates Financial",wellsfargo.com,Henry WellsWilliam Fargo (Wells Fargo Bank),,Asset managementBankingCommoditiesCredit cardsEquities tradingInsuranceInvestment managementMortgage loansPrivate equityWealth management,US9497461015
JAB Holding Company,https://en.wikipedia.org/wiki/JAB_Holding_Company,Private,,1828; 197 years ago (1828),"Luxembourg City, Luxembourg",,,Peter Harf (chairman)Olivier Goudet (CEO),,,,,,,29 (2019),"CotyJDE Peet's, Stumptown CoffeeEspresso HouseKeurig Dr Pepper (27%)Krispy KremePanera Brands Panera Bread Einstein Bros. Bagels Caribou CoffeeBruegger'sPret A MangerCompassion-First Pet HospitalsNational Veterinary AssociatesIndependence Pet Holdings",jabholco.com,Ludwig ReimannJohann Benckiser,,,
Prenetics,https://en.wikipedia.org/wiki/Prenetics,Public,Nasdaq: PRE,2014,Hong KongUnited States,,,Danny Yeung (CEO),,,,,,,,,prenetics.com,Danny YeungLawrence Tzang,,,KYG722451229
Nelnet,https://en.wikipedia.org/wiki/Nelnet,Public,NYSE: NNIRussell 2000 component,1996; 29 years ago (1996),"Lincoln, Nebraska, U.S.",,,Michael S. Dunlap (chairman)Jeff Noordhoek (CEO),,US$969 million (2022),US$1.5 billion (2022),US$396 million (2022),US$19.4 billion (2022),US$3.2 billion (2022),,,nelnet.com,,,,
Brighthouse Financial,https://en.wikipedia.org/wiki/Brighthouse_Financial,Public,Nasdaq: BHFS&P 400 component,2017; 8 years ago (2017),"Charlotte, North Carolina, U.S.",,,Chuck Chaplin (Chairman) Eric T. Steigerwalt (CEO),,US$8.503 billion (2020),,,,,"1,500 (December 31, 2021)",,brighthousefinancial.com,,,Life Insurance and Annuities,US10922N1037
Glacier Bancorp,https://en.wikipedia.org/wiki/Glacier_Bancorp,Public,NYSE: GBCIS&P 400 componentRussell 2000 Index component,1990; 35 years ago (1990),"49 Commons LoopKalispell, Montana, U.S.",221,"Arizona, Colorado, Idaho, Montana, Nevada, Utah, Washington, and Wyoming",Randall M. Chesler (president & CEO)Craig A. Lange (chairman),"Retail bankingBusiness bankingReal estate, commercial, agriculture, and consumer loansMortgage origination and loan servicing",US$ 82.8 million (2022),US$ 79.6 million (2022),US$ 303 million (2022),US$ 26.6 billion (2022),US$ 1.816 billion (2022),3552 (2022),,glacierbancorp.com,,,,
Banco Latinoamericano de Comercio Exterior,https://en.wikipedia.org/wiki/Banco_Latinoamericano_de_Comercio_Exterior,,NYSE: BLXRussell 2000 Component,,"Panama City, Panama",,,,Multinational banking,,,,,,,,bladex.com/en,,"Banco Latinoamericano de Exportaciones, S.A.",,
CorVel Corporation,https://en.wikipedia.org/wiki/CorVel_Corporation,Public,Nasdaq: CRVLS&P 600 component,1987; 38 years ago (1987),"Irvine, California, United States",,,V Gordon Clemons (chairman)Michael Combs (president and CEO),,$592 million USD (2020)$596 million USD (2019)$558 million USD (2018)$519 million USD (2017)$504 million USD (2016)$492 million USD (2015)$478 million USD (2014)$429 million USD (2013)$413 million USD (2012)$380 million USD (2011),,$47.4 million USD (2020)$46.7 million USD (2019)$35.7 million USD (2018)$29.5 million USD (2017)$28.5 million USD (2016)$29.5 million USD (2015)$34.3 million USD (2014)$26.7 million USD (2013)$26.5 million USD (2012)$24.6 million USD (2011),$416 million (2020),$189 million (2020),"3,500 (2017)",,corvel.com,,,Claims Management and Healthcare Management,
Applied Logic Corporation,https://en.wikipedia.org/wiki/Applied_Logic_Corporation,,,"1962; 63 years ago (1962) in Princeton, New Jersey",,,,Richard M. Colgate (president),,,,,,,,,,,,,
U.S. Bancorp,https://en.wikipedia.org/wiki/U.S._Bancorp,Public,NYSE: USBS&P 100 componentS&P 500 component,"July 13, 1863; 162 years ago (1863-07-13)","U.S. Bancorp Center, Minneapolis, Minnesota, U.S.","3,661 branches (2024) 4,771 ATMs (2024)",,Andrew Cecere(chairman) Gunjan Kediapresident and CEO),,US$27.46 billion (2024),US$7.84 billion (2023),US$6.33 billion (2024),US$678.32 billion (2024),US$58.9 billion (2024),"70,000+ (2024)",ElavonTalechSyncada,www.usbank.com,,,bankingasset managementwealth managementcredit cardsinsuranceinvestment managementmortgage loansprivate equity,US9029733048
First Interstate BancSystem,https://en.wikipedia.org/wiki/First_Interstate_BancSystem,Public,Nasdaq: FIBK (Class A)Russell 2000 Component,"1968; 57 years ago (1968), in Sheridan, Wyoming, United States","First Interstate CenterBillings, Montana, US",307 (2022),,David L. Jahnke (chairman)Kevin P. Riley (president and CEO),,US$656 million (2021),US$259 million (2021),US$192 million (2021),US$32.06 billion (2022),US$1.99 billion (2021),"2,358 (2021)",,firstinterstatebank.com,"Homer Scott, Sr.",,Checking accounts Savings accountsMortgage loansCommercial loansInsuranceTreasury managementInvestmentsEscrow servicesConsumer finance,
Fifth Third Bank,https://en.wikipedia.org/wiki/Fifth_Third_Bank,Public,Nasdaq: FITBS&P 500 component,"June 17, 1858; 167 years ago (1858-06-17), in Cincinnati, Ohio, U.S. (as Bank of the Ohio Valley)","Fifth Third Center, Cincinnati, Ohio, U.S.","1,100 branches and 2,400 automated teller machines",Regional,"Timothy N. Spence (chairman, CEO and president)Bryan D. Preston (CFO)",,"5,609,000,000 United States dollar (2022)","3,093,000,000 United States dollar (2022)",US$2.212 billion (2023),US$214.574 billion (2023),US$19.172 billion (2023),"18,724 (December 2023)",,53.com,,,"Consumer banking, corporate banking, private banking, financial analysis, insurance, investment banking, mortgage loans, private equity, wealth management, credit cards",
United Bank (West Virginia),https://en.wikipedia.org/wiki/United_Bank_(West_Virginia),Public,Nasdaq: UBSIS&P 400 component,"March 17, 1839; 186 years ago (1839-03-17), in Parkersburg, Virginia (now West Virginia)","Charleston, West Virginia, United StatesFairfax, Virginia, United States",,West VirginiaVirginiaDistrict of ColumbiaMarylandOhioPennsylvaniaNorth CarolinaSouth CarolinaGeorgia,"Richard M. Adams (chairman)Richard M. Adams, Jr. (CEO)W. Mark Tatterson (CFO)",,,,$289 million (2020),$26.184 billion (2020),$4.297 billion (2020),"Over 3,000 (2022)",,ubsi-inc.comwww.bankwithunited.com,,,,
GoHealth,https://en.wikipedia.org/wiki/GoHealth,Public,Nasdaq: GOCO,"2001; 24 years ago (2001), in Chicago, Illinois, U.S.","Chicago, Illinois, U.S.",,United States,"Vijay Kotte (CEO)Brandon Cruz, (co-executive chairman)Jason Schulz (CFO)",,US$800 million (2020),,,,,"1,500",,gohealth.com,Clint JonesBrandon Cruz,,Medicare AdvantageMediGapMedicare Part DIndividual Health InsuranceFinal Expense Insurance,
Charles R. Schwab,https://en.wikipedia.org/wiki/Charles_R._Schwab,,,,,,,,,,,,,,,,,,,,
Boston Opera Company,https://en.wikipedia.org/wiki/Boston_Opera_Company,,,,,,,,,,,,,,,,,,,,
Northern Trust,https://en.wikipedia.org/wiki/Northern_Trust,Public,Nasdaq: NTRSS&P 500 Index component,"August 12, 1889; 136 years ago (1889-08-12)","Chicago, Illinois, U.S.",,,Michael G. O'Grady (chairman and CEO),,$6.59 billion (2021),"1,766,300,000 United States dollar (2022)",$1.46 billion (2021),"US$14.2 trillion (March 31, 2023)",$11.13 billion (2021),"35,000 (2023)",,www.northerntrust.com,Byron Laflin Smith,,"Consumer banking, corporate banking, insurance, investment banking, client valuations, asset servicing, private banking, private equity, wealth management, credit cards, financial analysis",
Perella Weinberg Partners,https://en.wikipedia.org/wiki/Perella_Weinberg_Partners,Public,Nasdaq: PWP,2006; 19 years ago (2006),"767 Fifth Avenue, New York City, US",,,Andrew Bednar (CEO)Dietrich Becker (president)Robert K. Steel (Vice Chairman),,US$878 million (2024),,,,,700 (2024),,pwpartners.com,Joseph R. PerellaPeter A. WeinbergTarek “Terry” Abdel-Meguid,,,
Blue Owl Capital,https://en.wikipedia.org/wiki/Blue_Owl_Capital,Public,NYSE: OWL (Class A)Russell 1000 component,"May 19, 2021;4 years ago (2021-05-19)","399 Park Avenue, New York City, United States",,,,,US$1.73 billion (2023),,US$221 million (2023),US$8.82 billion (2023),US$5.28 billion (2023),725 (2024),,blueowl.com,Doug OstroverMarc LipschultzMichael ReesCraig Packer,,Private equityPrivate equity real estatePrivate credit,
Donegal fiddle tradition,https://en.wikipedia.org/wiki/Donegal_fiddle_tradition,,,,,,,,,,,,,,,,,,,,
Westwood One,https://en.wikipedia.org/wiki/Westwood_One,Subsidiary,,2006; 19 years ago (2006),Candler BuildingNew York City,,United States,Suzanne M. Grimes (president),,,,,,,,,westwoodone.com,,,,
LoanDepot,https://en.wikipedia.org/wiki/LoanDepot,Public,NYSE: LDI,2009; 16 years ago (2009),"Irvine, California, U.S.",,,Anthony Hsieh (interim CEO)David Hayes (CFO)Jeff DerGurahian (CIO and head economist)Darren Graeler (CAO),,$1.8billion (2022 forecast),,,,,"4,532 (as of September 1, 2023)",,www.loandepot.com,Anthony Hsieh,,"consumer mortgages, mello mortgage technology platform",
Invesco,https://en.wikipedia.org/wiki/Invesco,Public,NYSE: IVZS&P 500 component LSE: IVZ (until 2007) FTSE 100 component (until 2007),1978; 47 years ago (1978),"Atlanta, Georgia, U.S.",,,Rick Wagoner (chairman)Andrew Schlossberg (CEO),,US$6.067 billion (2024),US$832 million (2024),US$538 million (2024),US$27.01 billion (2024),US$14.56 billion (2024),"8,508 (2024)",Invesco PerpetualInvesco PowerShares,invesco.com,Charles W. Brady,,Asset managementWealth managementAlternative investment,BMG491BT1088
Principal Financial Group,https://en.wikipedia.org/wiki/Principal_Financial_Group,Public,Nasdaq: PFGS&P 500 component,1879; 146 years ago (1879),"Des Moines, Iowa, U.S.",,Global,Deanna Strable-Soethout (CEO),,"US$14.263 Billion (Fiscal Year Ended December 31, 2021)","US$2.084 Billion (Fiscal Year Ended December 31, 2021)","US$1.711 Billion (Fiscal Year Ended December 31, 2021)","US$304.657 Billion (Fiscal Year Ended December 31, 2021)","US$16.125 Billion (Fiscal Year Ended December 31, 2021)","~18,600 (As of December 31, 2022)",Principal Mutual Fund,principal.com,Edward Temple,,retirement planning insurance asset management,
Acquisition of Twitter by Elon Musk,https://en.wikipedia.org/wiki/Acquisition_of_Twitter_by_Elon_Musk,All-cash full acquisition,,,,,,,,,,,,,,,,,,,
First National Financial Corporation,https://en.wikipedia.org/wiki/First_National_Financial_Corporation,Public,TSX: FN,1988; 37 years ago (1988),"Toronto, Canada",,,"Stephen Smith, Executive Chairman and Co-Founder Jason Ellis, President and Chief Executive Officer Moray Tawse, Senior Executive Vice President and Co-Founder Rob Inglis, Chief Financial Officer",,$2.2 billion (2024),,$203.3 million (2024),,,"1,771 (2024)",First National Financial LP,www.firstnational.ca,Stephen Smith & Moray Tawse,,,
180 Degree Capital,https://en.wikipedia.org/wiki/180_Degree_Capital,Public,Nasdaq: TURN,1981; 44 years ago (1981),"Montclair, New Jersey, USA",,,,,,,,,,,,180degreecapital.com,,Harris & Harris Group,Asset Management,
Reinsurance Group of America,https://en.wikipedia.org/wiki/Reinsurance_Group_of_America,Public,NYSE: RGAS&P 400 Component,1973 (1973),"Chesterfield, Missouri, United States",,,Tony Cheng (CEO),,"$22.1 billion (2024*) *As of December 31, 2024",,$717 million (2024*),$118.7 billion (2024*),,4000 (2023),,www.rgare.com,,,"Life reinsurance, living benefits reinsurance, health reinsurance, underwriting, financial solutions",US7593516047
Morgan Stanley,https://en.wikipedia.org/wiki/Morgan_Stanley,Public,NYSE: MSS&P 100 componentS&P 500 component,1935; 90 years ago (1935),"Morgan Stanley BuildingNew York City, New York, U.S.",,International service,James P. Gorman (chairman emeritus)Ted Pick (chairman and CEO)Andy Saperstein (co-president)Dan Simkowitz (co-president)Sharon Yeshaya (CFO),,US$61.8 billion (2024),US$17.6 billion (2024),US$13.4 billion (2024),US$1.22 trillion (2024),US$105 billion (2024),"80,000 (2024)",Morgan Stanley Wealth ManagementE-TradeEaton VanceSolium,morganstanley.com,Henry Sturgis MorganHarold Stanley,,Asset managementWealth managementInvestment managementInvestment bankingSales and tradingCommoditiesPrime brokerage,
Jefferies Financial Group,https://en.wikipedia.org/wiki/Jefferies_Financial_Group,Public,NYSE: JEFS&P 400 component,1979; 46 years ago (1979),New York City,,,Richard B. Handler (CEO)Brian P. Friedman (president)Joseph S. Steinberg (chairman),,US$7.03 billion (2024),US$1.01 billion (2024),US$669 million (2024),US$64.4 billion (2024),US$10.2 billion (2024),"7,822 (2024)",,jefferies.com,Ian M. CummingJoseph S. Steinberg,Leucadia National Corporation (1979–2018) Talcott National Corporation (1968–1979),,
Royal Bank of Canada,https://en.wikipedia.org/wiki/Royal_Bank_of_Canada,Public,TSX: RY NYSE: RY S&P/TSX 60 component,"1864; 161 years ago (1864) in Halifax, Nova Scotia","Montreal, Quebec, Canada Toronto, Ontario, Canada[note 1]",,,David I. McKay (president and CEO),Asset managementBankingCommoditiesCredit cardsEquities tradingInsuranceInvestment managementMortgage loansPrivate equityWealth management,CA$57.34 billion (2024),,CA$16.24 billion (2024),CA$2.172 trillion (2024),CA$127.09 billion (2024),"94,838 (2024)",City National BankRBC BankRBC Royal TrustRoyal Bank of Trinidad and TobagoBrewin Dolphin,rbc.com,,,,CA7800871021
Credicorp,https://en.wikipedia.org/wiki/Credicorp,Public,BVL:BAPNYSE: BAP,1995,Peru,,,Luis Romero Belismelis (chairman)Gianfranco Ferrari (CEO),,,,,,,,,,,,,
Synchrony Financial,https://en.wikipedia.org/wiki/Synchrony_Financial,Public,NYSE: SYFS&P 500 component,"September 12, 2003; 22 years ago (2003-09-12)","Stamford, Connecticut, U.S.",,,Margaret M. Keane (Executive Chairman)Brian Doubles (CEO),,US$24.17 billion (2024),,US$3.427 billion (2024),US$119.5 billion (2024),US$16.58 billion (2024),"20,000 (2024)",,synchrony.com,,,Credit cards Payment systems,
First Citizens BancShares,https://en.wikipedia.org/wiki/First_Citizens_BancShares,Public,Nasdaq: FCNCA (Class A)Russell 1000 component,1898; 127 years ago (1898),"Raleigh, North Carolina, U.S.",,United States,Frank B. Holding Jr. (CEO & chairperson),,US$5.55 billion (2022),,US$1.05 billion (2022),US$209 billion (Q2 2023),US$19.771 billion (Q2 2023),"10,375 (2022)",SVB Global Services India LLP,firstcitizens.com,,,Commercial bankInvestment bank,
Goldman Sachs,https://en.wikipedia.org/wiki/Goldman_Sachs,Public,NYSE: GSDJIA componentS&P 100 componentS&P 500 component,1869; 156 years ago (1869),"200 West Street, New York City, New York, U.S.",,Worldwide,David M. Solomon (chairman and CEO),,US$53.5 billion (2024),US$18.4 billion (2024),US$14.3 billion (2024),US$1.68 trillion (2024),US$122 billion (2024),"46,500 (2024)",Goldman Sachs Alternatives,www.goldmansachs.com,Marcus GoldmanSamuel Sachs,,Investment bankingGlobal marketsAsset managementWealth managementDirect bank,US38141G1040
